snapshot_time,experiment_id,state,queue_class,jobs,cpus,requested_ram_gib,dominant_reason
2026-08-31T08:45:37+03:00,MAIN-EXT6-MPRIME,PENDING,ordinary,16,96,768.0,QOSMaxMemoryPerUser
2026-08-31T08:45:37+03:00,MAIN-EXT6-MPRIME-POLICY-CONTROLLER,PENDING,ordinary,1,2,1.0,Dependency
2026-08-31T08:45:37+03:00,MAIN-TERM-EXT6-MPRIME,PENDING,ordinary,20,120,960.0,None
2026-08-31T08:45:37+03:00,MAIN-TERM-EXT6-MPRIME-POLICY-CONTROLLER,PENDING,ordinary,1,2,1.0,Dependency
2026-08-31T08:45:37+03:00,MAIN-VAL-S2-MCTS,PENDING,ordinary,10,60,1200.0,QOSMaxMemoryPerUser
2026-08-31T08:45:37+03:00,MCTS-HORIZON-COUNTERS,PENDING,ordinary,8,48,960.0,QOSMaxMemoryPerUser
2026-08-31T08:45:37+03:00,MCTS-PW70-CROSS-DOMAIN,PENDING,ordinary,12,72,1440.0,QOSMaxMemoryPerUser
2026-08-31T08:45:37+03:00,MCTS-RESOURCE-FO-HELD,PENDING,held,20,120,2400.0,JobHeldUser
2026-08-31T08:45:37+03:00,PRESERVE-3-TERM,PENDING,ordinary,42,252,2016.0,QOSMaxMemoryPerUser
2026-08-31T08:45:37+03:00,PRESERVE-3-TERM-DELIVERY-POLICY-CONTROLLER,PENDING,ordinary,1,2,1.0,Dependency
2026-08-31T08:45:37+03:00,PRESERVE-3-TERM-TPP-POLICY-CONTROLLER,PENDING,ordinary,1,2,1.0,Dependency
2026-08-31T08:45:37+03:00,PRESERVE-3-TERM-ZENO-POLICY-CONTROLLER,PENDING,ordinary,1,2,1.0,Dependency
2026-08-31T08:45:37+03:00,PRESERVE-TPP-S2-POLICY,PENDING,ordinary,21,210,420.0,None
2026-08-31T08:45:37+03:00,PRESERVE-TPP-S2-POLICY-CONTROLLER,PENDING,ordinary,1,2,1.0,Dependency
2026-08-31T08:45:37+03:00,MAIN-VAL-S2-MCTS,RUNNING,ordinary,6,36,720.0,None
2026-08-31T08:45:37+03:00,MCTS-PW-CROSS-DOMAIN,RUNNING,ordinary,13,78,1560.0,None
2026-08-31T08:45:37+03:00,MCTS-RESOURCE-ROVER,RUNNING,ordinary,21,126,2520.0,None
2026-08-31T08:45:37+03:00,MCTS-WIDTH-COUNTERS-S2,RUNNING,ordinary,3,18,360.0,None
2026-08-31T08:45:37+03:00,PRESERVE-3-TERM,RUNNING,ordinary,18,108,864.0,None
2026-08-31T08:45:37+03:00,PRESERVE-TPP-S2,RUNNING,ordinary,2,12,96.0,None
2026-08-31T08:45:37+03:00,PRESERVE-TPP-S2-POLICY,RUNNING,ordinary,1,10,20.0,None
