rq_group,estimand,experiment_id,domain,value_head,n,mean_difference,ci95_low,ci95_high,raw_signflip_p,holm_p_within_rq,significant_raw_0_05,significant_holm_0_05
RQ1-MAIN-VAL,validation-selected S1 to validation-selected S2,MAIN-VAL,block_grouping,off,10,-0.3,-1.195388,0.595388,0.625,1.0,False,False
RQ1-MAIN-VAL,validation-selected S1 to validation-selected S2,MAIN-VAL,drone,off,10,0.8,-1.273301,2.873301,0.50390625,1.0,False,False
RQ1-MAIN-VAL,validation-selected S1 to validation-selected S2,MAIN-VAL,fo_counters,off,10,-1.3,-2.369054,-0.230946,0.046875,0.234375,True,False
RQ1-MAIN-VAL,validation-selected S1 to validation-selected S2,MAIN-VAL,rover,off,10,0.0,0.0,0.0,1.0,1.0,False,False
RQ1-MAIN-VAL,validation-selected S1 to validation-selected S2,MAIN-VAL,counters,off,10,4.4,-17.436816,26.236816,0.66015625,1.0,False,False
RQ3-MAIN-VAL,difference-in-differences: VH-on change minus VH-off change (validation-selected S1 to validation-selected S2),MAIN-VAL,block_grouping,on-minus-off,10,-2.8,-4.609726,-0.990274,0.01757812,0.0878906,True,False
RQ3-MAIN-VAL,difference-in-differences: VH-on change minus VH-off change (validation-selected S1 to validation-selected S2),MAIN-VAL,drone,on-minus-off,10,-0.9,-2.879298,1.079298,0.37695312,1.0,False,False
RQ3-MAIN-VAL,difference-in-differences: VH-on change minus VH-off change (validation-selected S1 to validation-selected S2),MAIN-VAL,fo_counters,on-minus-off,10,0.7,-0.256785,1.656785,0.203125,0.8125,False,False
RQ3-MAIN-VAL,difference-in-differences: VH-on change minus VH-off change (validation-selected S1 to validation-selected S2),MAIN-VAL,rover,on-minus-off,10,0.1,-0.30607,0.50607,1.0,1.0,False,False
RQ3-MAIN-VAL,difference-in-differences: VH-on change minus VH-off change (validation-selected S1 to validation-selected S2),MAIN-VAL,counters,on-minus-off,10,-1.2,-25.872152,23.472152,0.9375,1.0,False,False
RQ1-MAIN-TERM,terminal S1 to validation-selected S2,MAIN-TERM,block_grouping,off,10,0.0,-0.953809,0.953809,1.0,1.0,False,False
RQ1-MAIN-TERM,terminal S1 to validation-selected S2,MAIN-TERM,drone,off,10,0.4,-1.326105,2.126105,0.6875,1.0,False,False
RQ1-MAIN-TERM,terminal S1 to validation-selected S2,MAIN-TERM,fo_counters,off,10,-0.8,-1.457368,-0.142632,0.0546875,0.21875,False,False
RQ1-MAIN-TERM,terminal S1 to validation-selected S2,MAIN-TERM,rover,off,10,0.0,-0.337222,0.337222,1.0,1.0,False,False
RQ1-MAIN-TERM,terminal S1 to validation-selected S2,MAIN-TERM,counters,off,10,16.4,3.092738,29.707262,0.02734375,0.13671875,True,False
RQ3-MAIN-TERM,difference-in-differences: VH-on change minus VH-off change (terminal S1 to validation-selected S2),MAIN-TERM,block_grouping,on-minus-off,10,-3.4,-5.126105,-1.673895,0.00390625,0.01953125,True,True
RQ3-MAIN-TERM,difference-in-differences: VH-on change minus VH-off change (terminal S1 to validation-selected S2),MAIN-TERM,drone,on-minus-off,10,-1.1,-3.565417,1.365417,0.41796875,0.8359375,False,False
RQ3-MAIN-TERM,difference-in-differences: VH-on change minus VH-off change (terminal S1 to validation-selected S2),MAIN-TERM,fo_counters,on-minus-off,10,1.3,0.081791,2.518209,0.0625,0.1875,False,False
RQ3-MAIN-TERM,difference-in-differences: VH-on change minus VH-off change (terminal S1 to validation-selected S2),MAIN-TERM,rover,on-minus-off,10,-0.1,-0.50607,0.30607,1.0,1.0,False,False
RQ3-MAIN-TERM,difference-in-differences: VH-on change minus VH-off change (terminal S1 to validation-selected S2),MAIN-TERM,counters,on-minus-off,10,-16.8,-29.644591,-3.955409,0.01953125,0.078125,True,False
RQ2-STAGE1-SECONDARY,Stage-1 validation-selected policy to MCTS,MAIN-VAL,block_grouping,off,10,-0.9,-1.880268,0.080268,0.109375,0.22265625,False,False
RQ2-STAGE1-SECONDARY,Stage-1 validation-selected policy to MCTS,MAIN-VAL,drone,off,10,1.0,0.046191,1.953809,0.07421875,0.22265625,False,False
RQ2-STAGE1-SECONDARY,Stage-1 validation-selected policy to MCTS,MAIN-VAL,fo_counters,off,10,3.6,2.201441,4.998559,0.00390625,0.01953125,True,True
RQ2-STAGE1-SECONDARY,Stage-1 validation-selected policy to MCTS,MAIN-VAL,rover,off,10,1.0,0.245948,1.754052,0.03125,0.125,True,False
RQ2-STAGE1-SECONDARY,Stage-1 validation-selected policy to MCTS,MAIN-VAL,counters,off,10,-10.6,-23.639657,2.439657,0.125,0.22265625,False,False
RQ4-STAGE1-SECONDARY,Stage-1 validation-selected policy to MCTS,MAIN-VAL,block_grouping,on,10,0.3,-0.288934,0.888934,0.453125,0.90625,False,False
RQ4-STAGE1-SECONDARY,Stage-1 validation-selected policy to MCTS,MAIN-VAL,drone,on,10,5.3,3.420911,7.179089,0.00195312,0.0097656,True,True
RQ4-STAGE1-SECONDARY,Stage-1 validation-selected policy to MCTS,MAIN-VAL,fo_counters,on,10,2.0,1.046191,2.953809,0.00390625,0.015625,True,True
RQ4-STAGE1-SECONDARY,Stage-1 validation-selected policy to MCTS,MAIN-VAL,rover,on,10,0.6,-0.003242,1.203242,0.125,0.375,False,False
RQ4-STAGE1-SECONDARY,Stage-1 validation-selected policy to MCTS,MAIN-VAL,counters,on,10,-1.9,-13.952815,10.152815,0.70117188,0.90625,False,False
