experiment_id,domain,value_head,n,mean_before,mean_after,mean_difference,ci95_low,ci95_high,raw_p,holm_p,source_results_file
MAIN-TERM,block_grouping,off,10,16.3,16.3,0.0,-0.9537429423067831,0.9537429423067831,1.0,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-TERM,block_grouping,on,10,15.0,11.6,-3.4,-5.2530614236986315,-1.5469385763013683,0.0078125,0.078125,experiment_tracking/policy_paired_seed_results.csv
MAIN-TERM,drone,off,10,7.4,7.8,0.4,-1.325984889852747,2.1259848898527474,0.6875,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-TERM,drone,on,10,7.2,6.5,-0.7,-1.76897949465834,0.36897949465834,0.25,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-TERM,fo_counters,off,10,3.6,2.8,-0.8,-1.4573219606859338,-0.14267803931406642,0.0546875,0.4375,experiment_tracking/policy_paired_seed_results.csv
MAIN-TERM,fo_counters,on,10,3.3,3.8,0.5,-0.4079362312409389,1.407936231240939,0.34375,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-TERM,rover,off,10,3.8,3.8,0.0,-0.33719905100696823,0.33719905100696823,1.0,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-TERM,rover,on,10,4.1,4.0,-0.1,-0.3262,0.12619999999999998,1.0,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-TERM,counters,off,10,21.5,37.9,16.4,3.093662297987473,29.706337702012526,0.02734375,0.24609375,experiment_tracking/policy_paired_seed_results.csv
MAIN-TERM,counters,on,10,17.2,16.8,-0.4,-11.436252436402494,10.636252436402494,0.9609375,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-VAL,block_grouping,off,10,16.3,16.0,-0.3,-1.1953253933626589,0.5953253933626588,0.625,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-VAL,block_grouping,on,10,15.9,12.8,-3.1,-5.163536973257324,-1.0364630267426755,0.015625,0.15625,experiment_tracking/policy_paired_seed_results.csv
MAIN-VAL,drone,off,10,5.9,6.7,0.8,-1.273157244398022,2.873157244398022,0.50390625,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-VAL,drone,on,10,5.1,5.0,-0.1,-1.336651947800997,1.1366519478009969,1.0,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-VAL,fo_counters,off,10,4.2,2.9,-1.3,-2.36897949465834,-0.23102050534166008,0.046875,0.421875,experiment_tracking/policy_paired_seed_results.csv
MAIN-VAL,fo_counters,on,10,3.7,3.1,-0.6,-1.5048,0.30479999999999996,0.25,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-VAL,rover,off,10,4.0,4.0,0.0,0.0,0.0,1.0,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-VAL,rover,on,10,3.8,3.9,0.1,-0.30604142645794163,0.5060414264579416,1.0,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-VAL,counters,off,10,32.5,36.9,4.4,-17.435298446323095,26.2352984463231,0.66015625,1.0,experiment_tracking/policy_paired_seed_results.csv
MAIN-VAL,counters,on,10,18.6,21.8,3.2,-6.149599999999999,12.549599999999998,0.5625,1.0,experiment_tracking/policy_paired_seed_results.csv
