source_log,instance,step,elapsed_seconds,current_action,proposed_action,network_argmax_action,max_visit_count,number_tied_at_max_visits,tie_break_reason,current_policy_rank,proposed_policy_rank
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,881,1137.2180745601654,78,99,99,9,4,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,882,1138.3707783222198,79,99,99,7,4,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,898,1160.6222796440125,80,100,100,10,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,899,1161.7812285423279,81,100,100,7,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,900,1162.9861629009247,82,100,100,7,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,901,1164.182235956192,83,100,100,6,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,904,1168.2434368133545,84,100,100,5,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,905,1169.5676233768463,86,100,100,5,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,908,1174.3634436130524,87,100,100,5,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,909,1176.0516483783722,88,100,100,5,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,912,1181.248254776001,53,101,101,8,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,941,1261.4931559562683,58,101,101,14,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,944,1266.2552580833435,53,101,101,11,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,955,1284.7459893226624,54,56,56,6,4,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,957,1289.012066602707,56,101,101,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,962,1298.2990918159485,53,57,57,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,970,1313.8299369812012,54,56,56,6,2,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,971,1315.6625921726227,53,56,56,5,5,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,972,1317.3297669887543,55,56,56,5,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,975,1323.118852853775,54,101,101,5,5,policy_prior,5,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,976,1324.9217035770416,57,101,101,5,4,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,977,1326.9592461585999,55,101,101,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,978,1328.5850157737732,56,101,101,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,980,1342.30321931839,58,101,101,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,981,1343.5792775154114,57,101,101,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,982,1344.9166896343231,58,101,101,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,986,1390.5696454048157,54,101,101,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,993,1400.3735558986664,54,59,59,6,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,995,1403.6154472827911,55,60,60,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,997,1406.6617941856384,56,101,101,6,4,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,998,1408.240924835205,57,101,101,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,999,1409.6500735282898,58,101,101,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1000,1411.3963181972504,59,101,101,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1003,1417.22359085083,54,60,60,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1004,1419.1351146697998,55,60,60,5,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1005,1421.1618676185608,56,60,60,5,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1006,1423.2168958187103,57,60,60,5,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1008,1426.9887416362762,58,61,61,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1010,1430.309252023697,55,59,59,6,5,policy_prior,5,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1013,1434.2529513835907,56,61,61,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1015,1437.064232826233,57,62,62,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1016,1438.3748638629913,58,62,62,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1017,1439.7541508674622,59,62,62,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1018,1441.1022651195526,60,62,62,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1020,1443.8905625343323,56,61,61,6,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1022,1456.823745727539,57,62,62,6,4,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1023,1458.2208790779114,58,62,62,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1025,1461.3188712596893,59,64,64,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1026,1462.80153298378,60,64,64,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1027,1464.2719230651855,61,64,64,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1028,1465.9194447994232,62,64,64,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1030,1469.3957314491272,57,64,64,6,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1031,1470.9811713695526,58,64,64,6,3,policy_prior,3,1
