"arm","value_head","source_log","instance","cumulative_milestone","root_searches_completed","last_external_step","mean_child_count","mean_total_edge_visits","mean_visit_entropy","mean_top1_top2_visit_margin","policy_mcts_disagreement_rate","mean_selected_policy_rank","mean_selected_visit_share","mean_policy_visit_js_divergence"
"failure","off","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178320_failure_off.txt","[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl","30m","1163","1162","5.0","33.95786758383491","1.454319465330042","9.00085984522786","0.13671539122957868","1.2484952708512467","0.3920779566805727","0.0005589258539700304"
"failure","off","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178320_failure_off.txt","[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl","2h","3063","3062","5.0","154.65654587006202","1.2927760098822425","41.344760039177274","0.43290891283055827","2.0329742082925235","0.3459763986354753","0.021284547189192808"
"failure","off","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178320_failure_off.txt","[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl","6h","10000","9999","5.0","353.9771","0.6388561981222575","83.7686","0.7176","2.447","0.2177606261601408","0.033628553574208596"
"failure","off","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178320_failure_off.txt","[53] ../problems/numeric/counters/vanilla/fz_instance_55.pddl","30m","1603","1602","5.0","32.51091703056768","1.4824386976484347","7.444167186525265","0.18215845290081098","1.4004990642545228","0.36084851285133523","0.0005623811708322125"
"failure","off","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178320_failure_off.txt","[53] ../problems/numeric/counters/vanilla/fz_instance_55.pddl","2h","4204","4203","5.0","265.79448144624166","1.3242310477361743","60.48453853472883","0.4379162702188392","2.0371075166508086","0.34562391612066495","0.050976579590222955"
"failure","off","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178320_failure_off.txt","[53] ../problems/numeric/counters/vanilla/fz_instance_55.pddl","6h","10000","9999","5.0","14467.9933","1.3301665791504798","347.1561","0.5727","2.3117","0.2777648178001017","0.1329736393111308"
"failure","off","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178320_failure_off.txt","[57] ../problems/numeric/counters/vanilla/fz_instance_59.pddl","30m","1525","1524","5.0","33.52459016393443","1.4641454322059935","8.554754098360656","0.10426229508196722","1.161967213114754","0.38316502832783983","0.0005756032098123087"
"failure","off","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178320_failure_off.txt","[57] ../problems/numeric/counters/vanilla/fz_instance_59.pddl","2h","3394","3393","5.0","84.87212728344137","1.4156446831127283","26.984678845020625","0.4001178550383029","2.1231585150265175","0.3357849231238942","0.022185595289717197"
"failure","off","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178320_failure_off.txt","[57] ../problems/numeric/counters/vanilla/fz_instance_59.pddl","6h","10000","9999","5.0","11267.7127","1.3318290599289366","1261.0074","0.6445","2.4685","0.33805240841369116","0.1282719412899661"
"parallel_control","on","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178321_parallel_control_on.txt","[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl","30m","1300","1299","5.0","314.27153846153846","1.259521792963998","66.21615384615384","0.6323076923076923","2.3615384615384616","0.40272142929999977","0.0751317076794626"
"parallel_control","on","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178321_parallel_control_on.txt","[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl","2h","4219","4218","5.0","1278.291538279213","1.3065482999013984","178.3206921071344","0.7169945484712017","2.6669826973216404","0.36013190104587256","0.07191131423048706"
"parallel_control","on","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178321_parallel_control_on.txt","[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl","6h","10000","9999","5.0","5232.2878","1.3096039480564408","787.3623","0.7219","2.6334","0.3690869653031425","0.07453996884537914"
"parallel_control","on","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178321_parallel_control_on.txt","[53] ../problems/numeric/counters/vanilla/fz_instance_55.pddl","30m","3296","3295","5.0","1238.9007888349515","1.28577110565464","256.3856189320388","0.7348300970873787","2.8058252427184467","0.3625793822416658","0.08227429951859035"
"parallel_control","on","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178321_parallel_control_on.txt","[53] ../problems/numeric/counters/vanilla/fz_instance_55.pddl","2h","5105","5104","5.0","2733.631733594515","1.2844728125037022","490.46777668952006","0.7572967678746327","2.8193927522037217","0.3604895083499858","0.08435707650153595"
"parallel_control","on","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178321_parallel_control_on.txt","[53] ../problems/numeric/counters/vanilla/fz_instance_55.pddl","6h","7223","7222","5.0","2992.5741381697358","1.24987400252225","676.9709262079468","0.7719784023259033","2.880243666066731","0.3580889172207505","0.09378956062332555"
"parallel_control","on","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178321_parallel_control_on.txt","[57] ../problems/numeric/counters/vanilla/fz_instance_59.pddl","30m","1731","1730","5.0","371.80820335066437","1.2608641816923585","72.35586366262277","0.6291161178509532","2.3333333333333335","0.4026273441724076","0.07252265163683454"
"parallel_control","on","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178321_parallel_control_on.txt","[57] ../problems/numeric/counters/vanilla/fz_instance_59.pddl","2h","3539","3538","5.0","716.5227465385702","1.2407279023643933","189.34642554393898","0.6908731280022605","2.5529810680983327","0.38577737797217004","0.08483731349580217"
"parallel_control","on","/home/hersco/training_new_domains/2026-09-10/counters_visit_audit/21178321_parallel_control_on.txt","[57] ../problems/numeric/counters/vanilla/fz_instance_59.pddl","6h","5393","5392","5.0","1117.6013350639719","1.2035556821667621","385.85740775078807","0.6866308177266828","2.561468570368997","0.3758181517869376","0.09513257890256067"
