rq,domain,cutoff,n,estimand,vh_off_policy_mean,vh_on_policy_mean,vh_off_fixed_mcts_mean,vh_on_fixed_mcts_mean,vh_off_pw70_mean,vh_on_pw70_mean,effect,ci95_low,ci95_high,raw_p,holm_p,status,seed_level_provenance
RQ4,fo_counters,30m,10,VH-on PW70 - VH-on policy,4.2,3.7,7.5,5.3,8.4,7.3,3.6,2.6951371349036037,4.504862865096396,0.001953125,0.00390625,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,fo_counters,30m,10,VH-on PW70 - parallel VH-off policy,4.2,3.7,7.5,5.3,8.4,7.3,3.1,2.1795617593823913,4.020438240617609,0.001953125,0.00390625,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,fo_counters,30m,10,(VH-on PW70-policy benefit) - (VH-off PW70-policy benefit),4.2,3.7,7.5,5.3,8.4,7.3,-0.6,-1.8707516709146184,0.6707516709146185,0.4140625,0.828125,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,fo_counters,2h,10,VH-on PW70 - VH-on policy,4.2,3.7,7.8,5.7,8.4,7.3,3.6,2.6951371349036037,4.504862865096396,0.001953125,0.00390625,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,fo_counters,2h,10,VH-on PW70 - parallel VH-off policy,4.2,3.7,7.8,5.7,8.4,7.3,3.1,2.1795617593823913,4.020438240617609,0.001953125,0.00390625,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,fo_counters,2h,10,(VH-on PW70-policy benefit) - (VH-off PW70-policy benefit),4.2,3.7,7.8,5.7,8.4,7.3,-0.6,-1.8707516709146184,0.6707516709146185,0.4140625,0.828125,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,fo_counters,6h,10,VH-on PW70 - VH-on policy,4.2,3.7,7.8,5.7,8.4,7.3,3.6,2.6951371349036037,4.504862865096396,0.001953125,0.00390625,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,fo_counters,6h,10,VH-on PW70 - parallel VH-off policy,4.2,3.7,7.8,5.7,8.4,7.3,3.1,2.1795617593823913,4.020438240617609,0.001953125,0.00390625,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,fo_counters,6h,10,(VH-on PW70-policy benefit) - (VH-off PW70-policy benefit),4.2,3.7,7.8,5.7,8.4,7.3,-0.6,-1.8707516709146184,0.6707516709146185,0.4140625,0.828125,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,rover,30m,10,VH-on PW70 - VH-on policy,4.0,3.8,4.8,4.4,4.7,4.5,0.7,-0.19538760016765466,1.5953876001676546,0.25,0.25,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,rover,30m,10,VH-on PW70 - parallel VH-off policy,4.0,3.8,4.8,4.4,4.7,4.5,0.5,-0.1952019510424704,1.1952019510424705,0.25,0.25,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,rover,30m,10,(VH-on PW70-policy benefit) - (VH-off PW70-policy benefit),4.0,3.8,4.8,4.4,4.7,4.5,0.0,-1.066391113255917,1.066391113255917,1.0,1.0,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,rover,2h,10,VH-on PW70 - VH-on policy,4.0,3.8,5.0,4.4,4.7,4.6,0.8,-0.0793686396348301,1.6793686396348302,0.125,0.125,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,rover,2h,10,VH-on PW70 - parallel VH-off policy,4.0,3.8,5.0,4.4,4.7,4.6,0.6,-0.09110042880980862,1.2911004288098087,0.125,0.125,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,rover,2h,10,(VH-on PW70-policy benefit) - (VH-off PW70-policy benefit),4.0,3.8,5.0,4.4,4.7,4.6,0.1,-0.8802681038544296,1.0802681038544295,1.0,1.0,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,rover,6h,10,VH-on PW70 - VH-on policy,4.0,3.8,5.0,4.4,4.7,4.6,0.8,-0.0793686396348301,1.6793686396348302,0.125,0.125,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,rover,6h,10,VH-on PW70 - parallel VH-off policy,4.0,3.8,5.0,4.4,4.7,4.6,0.6,-0.09110042880980862,1.2911004288098087,0.125,0.125,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
RQ4,rover,6h,10,(VH-on PW70-policy benefit) - (VH-off PW70-policy benefit),4.0,3.8,5.0,4.4,4.7,4.6,0.1,-0.8802681038544296,1.0802681038544295,1.0,1.0,complete_declared_budget,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv
