domain,value_head,stage,epoch,mean,min,max,n
block_grouping,off,stage1,5,82.5,70.0,95.0,10
block_grouping,off,stage1,8,80.0,80.0,80.0,1
block_grouping,off,stage1,10,81.5,75.0,95.0,10
block_grouping,off,stage1,12,85.0,85.0,85.0,1
block_grouping,off,stage1,15,76.0,60.0,90.0,10
block_grouping,off,stage1,17,85.0,85.0,85.0,1
block_grouping,off,stage1,18,75.0,75.0,75.0,1
block_grouping,off,stage1,20,72.5,50.0,90.0,10
block_grouping,off,stage1,23,75.0,75.0,75.0,1
block_grouping,off,stage1,25,82.5,70.0,90.0,10
block_grouping,off,stage1,27,85.0,85.0,85.0,1
block_grouping,off,stage1,30,80.0,60.0,95.0,10
block_grouping,off,stage1,34,90.0,90.0,90.0,1
block_grouping,off,stage1,35,79.5,65.0,90.0,10
block_grouping,off,stage1,40,78.5,70.0,90.0,10
block_grouping,off,stage1,44,90.0,90.0,90.0,1
block_grouping,off,stage1,45,80.0,55.0,95.0,10
block_grouping,off,stage1,50,78.0,60.0,95.0,10
block_grouping,off,stage1,55,80.5,50.0,95.0,10
block_grouping,off,stage1,60,81.11111111111111,70.0,90.0,9
block_grouping,off,stage1,65,76.875,60.0,90.0,8
block_grouping,off,stage1,70,79.16666666666667,60.0,90.0,6
block_grouping,off,stage1,75,81.0,65.0,90.0,5
block_grouping,off,stage1,80,82.5,80.0,90.0,4
block_grouping,off,stage1,85,85.0,80.0,90.0,2
block_grouping,off,stage1,90,72.5,60.0,85.0,2
block_grouping,off,stage2,0,67.72727272727273,65.0,75.0,22
block_grouping,off,stage2,5,63.86363636363637,50.0,75.0,22
block_grouping,off,stage2,10,61.81818181818182,50.0,75.0,22
block_grouping,off,stage2,15,61.13636363636363,45.0,75.0,22
block_grouping,off,stage2,20,61.36363636363637,45.0,75.0,22
block_grouping,off,stage2,25,60.90909090909091,45.0,75.0,22
block_grouping,off,stage2,30,60.45454545454545,45.0,75.0,22
block_grouping,off,stage2,35,60.90909090909091,45.0,75.0,22
block_grouping,off,stage2,40,60.68181818181818,45.0,75.0,22
block_grouping,off,stage2,45,59.77272727272727,45.0,75.0,22
block_grouping,off,stage2,50,60.45454545454545,45.0,75.0,22
block_grouping,off,stage2,55,60.22727272727273,45.0,75.0,22
block_grouping,off,stage2,60,60.22727272727273,45.0,75.0,22
block_grouping,off,stage2,65,60.22727272727273,45.0,75.0,22
block_grouping,off,stage2,70,60.0,45.0,75.0,22
block_grouping,off,stage2,75,60.22727272727273,45.0,75.0,22
block_grouping,off,stage2,80,60.0,45.0,75.0,22
block_grouping,off,stage2,85,60.22727272727273,45.0,75.0,22
block_grouping,off,stage2,90,60.22727272727273,45.0,75.0,22
block_grouping,off,stage2,95,59.77272727272727,45.0,75.0,22
block_grouping,off,stage2,99,60.0,45.0,75.0,22
block_grouping,on,stage1,2,85.0,85.0,85.0,1
block_grouping,on,stage1,4,85.0,85.0,85.0,1
block_grouping,on,stage1,5,71.0,40.0,90.0,10
block_grouping,on,stage1,10,79.0,65.0,90.0,10
block_grouping,on,stage1,11,72.5,70.0,75.0,2
block_grouping,on,stage1,15,73.5,55.0,85.0,10
block_grouping,on,stage1,19,85.0,85.0,85.0,1
block_grouping,on,stage1,20,74.5,55.0,90.0,10
