manifest_id,domain,value_head,seed,case,arm,coefficient_protocol,source_role,status,source_evidence,next_gate
anchor-kl-tpp-off-1972442430-constant,tpp,off,1972442430,catastrophic_outlier,constant,frozen_tpp_off_coefficient,stage1_validation_selected,held_design,experiment_tracking/tpp_stage2_vh_off_regression_audit_20260902.md,implement_and_smoke_test
anchor-kl-tpp-off-1972442430-adaptive,tpp,off,1972442430,catastrophic_outlier,adaptive_target,PPO_target_KL_multiplicative_controller,stage1_validation_selected,held_design,experiment_tracking/tpp_stage2_vh_off_regression_audit_20260902.md,implement_and_smoke_test
anchor-kl-tpp-off-1972442430-linear,tpp,off,1972442430,catastrophic_outlier,linear_decay,Kickstarting_linear_teacher_weight_to_zero,stage1_validation_selected,held_design,experiment_tracking/tpp_stage2_vh_off_regression_audit_20260902.md,implement_and_smoke_test
anchor-kl-tpp-off-1963100312-constant,tpp,off,1963100312,stable_control,constant,frozen_tpp_off_coefficient,stage1_validation_selected,held_design,experiment_tracking/four_domain_preservation/stable_domain_stage2_seed_pairs_20260902.csv,implement_and_smoke_test
anchor-kl-tpp-off-1963100312-adaptive,tpp,off,1963100312,stable_control,adaptive_target,PPO_target_KL_multiplicative_controller,stage1_validation_selected,held_design,experiment_tracking/four_domain_preservation/stable_domain_stage2_seed_pairs_20260902.csv,implement_and_smoke_test
anchor-kl-tpp-off-1963100312-linear,tpp,off,1963100312,stable_control,linear_decay,Kickstarting_linear_teacher_weight_to_zero,stage1_validation_selected,held_design,experiment_tracking/four_domain_preservation/stable_domain_stage2_seed_pairs_20260902.csv,implement_and_smoke_test
anchor-kl-bg-on-1963100312-constant,block_grouping,on,1963100312,tuning_seed,constant,frozen_block_grouping_on_coefficient,stage1_validation_selected,held_design,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv,implement_and_smoke_test
anchor-kl-bg-on-1963100312-adaptive,block_grouping,on,1963100312,tuning_seed,adaptive_target,PPO_target_KL_multiplicative_controller,stage1_validation_selected,held_design,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv,implement_and_smoke_test
anchor-kl-bg-on-1963100312-linear,block_grouping,on,1963100312,tuning_seed,linear_decay,Kickstarting_linear_teacher_weight_to_zero,stage1_validation_selected,held_design,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv,implement_and_smoke_test
anchor-kl-bg-on-2011206605-constant,block_grouping,on,2011206605,tuning_seed,constant,frozen_block_grouping_on_coefficient,stage1_validation_selected,held_design,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv,implement_and_smoke_test
anchor-kl-bg-on-2011206605-adaptive,block_grouping,on,2011206605,tuning_seed,adaptive_target,PPO_target_KL_multiplicative_controller,stage1_validation_selected,held_design,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv,implement_and_smoke_test
anchor-kl-bg-on-2011206605-linear,block_grouping,on,2011206605,tuning_seed,linear_decay,Kickstarting_linear_teacher_weight_to_zero,stage1_validation_selected,held_design,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv,implement_and_smoke_test
