rq,stage,value_head,domain,cutoff,baseline_mean,ceiling,perfect_gain,effective_nonzero_pairs,best_raw_p,targetwise_six_domain_holm_p,passes_raw_0_05,passes_holm_0_05,interpretation
RQ1,stage2,off,Block Grouping,endpoint,16.3,20,3.7,10,0.001953125,0.01171875,yes,yes,current n can detect a perfectly consistent improvement
RQ1,stage2,off,Drone,endpoint,5.9,20,14.1,10,0.001953125,0.01171875,yes,yes,current n can detect a perfectly consistent improvement
RQ1,stage2,off,FO Counters,endpoint,4.2,20,15.8,10,0.001953125,0.01171875,yes,yes,current n can detect a perfectly consistent improvement
RQ1,stage2,off,Rover,endpoint,4.0,20,16.0,10,0.001953125,0.01171875,yes,yes,current n can detect a perfectly consistent improvement
RQ1,stage2,off,Counters,endpoint,32.5,59,26.5,7,0.015625,0.09375,yes,no,three baseline-perfect ties make the current Holm family incapable of significance even at perfect follow-up coverage
RQ1,stage2,off,MPrime,endpoint,16.3,20,3.7,9,0.00390625,0.0234375,yes,yes,one ceiling tie does not prevent significance
RQ3,stage2,on,Block Grouping,endpoint,15.9,20,4.1,10,0.001953125,0.01171875,yes,yes,current n can detect a perfectly consistent improvement
RQ3,stage2,on,Drone,endpoint,5.1,20,14.9,10,0.001953125,0.01171875,yes,yes,current n can detect a perfectly consistent improvement
RQ3,stage2,on,FO Counters,endpoint,3.7,20,16.3,10,0.001953125,0.01171875,yes,yes,current n can detect a perfectly consistent improvement
RQ3,stage2,on,Rover,endpoint,3.8,20,16.2,10,0.001953125,0.01171875,yes,yes,current n can detect a perfectly consistent improvement
RQ3,stage2,on,Counters,endpoint,18.6,59,40.4,8,0.0078125,0.046875,yes,yes,barely capable under perfect follow-up coverage
RQ3,stage2,on,MPrime,endpoint,15.7,20,4.3,10,0.001953125,0.01171875,yes,yes,current n can detect a perfectly consistent improvement
RQ2,stage1,off,Block Grouping,30m/2h/6h,16.3,20,3.7,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ2,stage1,off,Drone,30m/2h/6h,5.9,20,14.1,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ2,stage1,off,FO Counters,30m/2h/6h,4.2,20,15.8,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ2,stage1,off,Rover,30m/2h/6h,4.0,20,16.0,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ2,stage1,off,Counters,30m/2h/6h,32.5,59,26.5,7,0.015625,0.046875/0.078125/0.078125,yes,mixed,passes best-case Holm at 30m but not at 2h or 6h because family rank changes
RQ2,stage1,off,MPrime,30m/2h/6h,16.3,20,3.7,9,0.00390625,0.01953125/0.0234375/0.0234375,yes,yes,current n sufficient at every cutoff
RQ2,stage2,off,Block Grouping,30m/2h/6h,16.0,20,4.0,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ2,stage2,off,Drone,30m/2h/6h,6.7,20,13.3,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ2,stage2,off,FO Counters,30m/2h/6h,2.9,20,17.1,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ2,stage2,off,Rover,30m/2h/6h,4.0,20,16.0,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ2,stage2,off,Counters,30m/2h/6h,36.9,59,22.1,8,0.0078125,0.03125/0.0390625/0.0390625,yes,yes,current n sufficient at every cutoff under perfect coverage
RQ2,stage2,off,MPrime,30m/2h/6h,16.5,20,3.5,8,0.0078125,0.03125/0.0390625/0.0390625,yes,yes,current n sufficient at every cutoff under perfect coverage
RQ4,stage1,on,Block Grouping,30m/2h/6h,15.9,20,4.1,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ4,stage1,on,Drone,30m/2h/6h,5.1,20,14.9,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ4,stage1,on,FO Counters,30m/2h/6h,3.7,20,16.3,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ4,stage1,on,Rover,30m/2h/6h,3.8,20,16.2,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ4,stage1,on,Counters,30m/2h/6h,18.6,59,40.4,8,0.0078125,0.0234375/0.03125/0.03125,yes,yes,current n sufficient at every cutoff under perfect coverage
RQ4,stage1,on,MPrime,30m/2h/6h,15.7,20,4.3,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ4,stage2,on,Block Grouping,30m/2h/6h,12.8,20,7.2,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ4,stage2,on,Drone,30m/2h/6h,5.0,20,15.0,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ4,stage2,on,FO Counters,30m/2h/6h,3.1,20,16.9,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ4,stage2,on,Rover,30m/2h/6h,3.9,20,16.1,10,0.001953125,0.01171875/0.01171875/0.01171875,yes,yes,current n sufficient at every cutoff
RQ4,stage2,on,Counters,30m/2h/6h,21.8,59,37.2,9,0.00390625,0.015625/0.01953125/0.01953125,yes,yes,current n sufficient at every cutoff
RQ4,stage2,on,MPrime,30m/2h/6h,16.7,20,3.3,9,0.00390625,0.015625/0.01953125/0.01953125,yes,yes,current n sufficient at every cutoff
