snapshot_time,experiment_id,state,jobs,cpus,requested_ram_gib,reason
2026-09-01T16:01:59+03:00,MCTS-HORIZON-COUNTERS,RUNNING,8,48,960,
2026-09-01T16:01:59+03:00,MCTS-PW70-CROSS-DOMAIN,RUNNING,12,72,1440,
2026-09-01T16:01:59+03:00,MAIN-VAL-S2-MCTS,RUNNING,1,6,120,
2026-09-01T16:01:59+03:00,MPRIME-ANCHOR-CORRECTED-VAL,RUNNING,3,18,60,
2026-09-01T16:01:59+03:00,PRESERVE-3-TERM-DELIVERY,RUNNING,7,42,336,
2026-09-01T16:01:59+03:00,PRESERVE-3-TERM-TPP,RUNNING,19,114,912,
2026-09-01T16:01:59+03:00,PRESERVE-3-TERM-ZENOTRAVEL,RUNNING,1,6,48,
2026-09-01T16:01:59+03:00,MCTS-DETERMINISM-AUDIT,PENDING,2,12,240,Resources/ReqNodeNotAvail
2026-09-01T16:01:59+03:00,PRESERVE-3-POLICY-CONTROLLERS,PENDING,5,10,5,Dependency
2026-09-01T16:01:59+03:00,MAIN-EXT6-MPRIME,HELD,16,96,768,JobHeldUser-invalid-anchor
2026-09-01T16:01:59+03:00,MAIN-TERM-EXT6-MPRIME,HELD,20,120,960,JobHeldUser-invalid-anchor
2026-09-01T16:01:59+03:00,MPRIME-POLICY-CONTROLLERS,HELD,2,4,2,JobHeldUser-invalid-anchor
2026-09-01T16:01:59+03:00,MCTS-RESOURCE-FO,HELD,20,120,2400,JobHeldUser
2026-09-01T16:01:59+03:00,ALL-RUNNING,RUNNING,51,306,3876,
2026-09-01T16:01:59+03:00,ALL-ORDINARY-PENDING,PENDING,7,22,245,
2026-09-01T16:01:59+03:00,ALL-HELD,HELD,58,340,4130,
