snapshot_time_idt,experiment,job_id,job_name,state,cpus,memory_gib,elapsed,time_limit,node_or_reason,log_path
2026-09-06T12:31:30+03:00,MPrime Phase B validation,21039342,MPRIME_PHASEB_FREEZE,PENDING,1,1.0,0:00,10:00,(Dependency),/home/hersco/training_new_domains/2026-09-06/mprime_phase_b/
2026-09-06T12:31:30+03:00,FO Counters terminal-led Stage-2 MCTS,20559579,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCM_src20489463_e0069,RUNNING,6,120.0,2-10:11:29,3-00:00:00,ise-cpu256-27,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559579_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCM_src20489463_e0069.txt
2026-09-06T12:31:30+03:00,PW70 two-seed correction,20755796,pw70-kmin3-counters-off-2011206605-s1,RUNNING,6,120.0,2-21:40:36,3-00:00:00,ise-cpu-intl-04,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20755796_pw70-kmin3-counters-off-2011206605-s1.txt
2026-09-06T12:31:30+03:00,FO Counters terminal-led Stage-2 MCTS,20559575,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077,RUNNING,6,120.0,2-22:10:27,3-00:00:00,ise-cpu128-02,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559575_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — FO Counters validation-led,20945846,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430378_e0046,RUNNING,6,120.0,1-22:10:47,3-00:00:00,ise-cpu256-07,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945846_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430378_e0046.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — FO Counters validation-led,20945845,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430395_e0009,RUNNING,6,120.0,1-22:14:18,3-00:00:00,ise-cpu256-17,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945845_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430395_e0009.txt
2026-09-06T12:31:30+03:00,MPrime Phase B validation,21039224_2,MPRIME_PHASEB_PLANNER,RUNNING,2,8.0,21:18,1:30:00,ise-cpu128-12,/home/hersco/training_new_domains/2026-09-06/mprime_phase_b/
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974364,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20489422_e0028,RUNNING,6,120.0,6:28:25,3-00:00:00,ise-cpu-intl-22,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974364_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20489422_e0028.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974542,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20489410_e0045,RUNNING,6,120.0,23:21:22,3-00:00:00,ise-cpu128-05,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974542_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20489410_e0045.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974546,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20489416_e0030,RUNNING,6,120.0,23:21:22,3-00:00:00,ise-cpu128-11,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974546_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20489416_e0030.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974538,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20489407_e0031,RUNNING,6,120.0,23:21:27,3-00:00:00,ise-cpu128-02,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974538_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20489407_e0031.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974539,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20489408_e0018,RUNNING,6,120.0,23:21:27,3-00:00:00,ise-cpu128-02,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974539_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20489408_e0018.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974540,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20489409_e0002,RUNNING,6,120.0,23:21:27,3-00:00:00,ise-cpu128-05,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974540_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20489409_e0002.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974354,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20489412_e0094,RUNNING,6,120.0,23:33:41,3-00:00:00,ise-cpu-intl-19,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974354_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20489412_e0094.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974359,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20489417_e0070,RUNNING,6,120.0,23:33:41,3-00:00:00,ise-cpu-intl-06,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974359_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20489417_e0070.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974360,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20489418_e0062,RUNNING,6,120.0,23:33:41,3-00:00:00,ise-cpu-intl-06,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974360_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20489418_e0062.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974361,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20489419_e0070,RUNNING,6,120.0,23:33:41,3-00:00:00,ise-cpu-intl-02,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974361_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20489419_e0070.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974362,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20489420_e0001,RUNNING,6,120.0,23:33:41,3-00:00:00,ise-cpu-intl-04,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974362_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20489420_e0001.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974366,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489425_e0002,RUNNING,6,120.0,23:33:41,3-00:00:00,ise-cpu128-08,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974366_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489425_e0002.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — Counters terminal-led,20974346,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20489405_e0036,RUNNING,6,120.0,23:33:56,3-00:00:00,cs-cpu-05,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974346_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20489405_e0036.txt
2026-09-06T12:31:30+03:00,Stage-2 MCTS branch completion — FO Counters validation-led,20943885,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430393_e0017,RUNNING,6,120.0,2-01:38:54,3-00:00:00,ise-cpu128-10,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943885_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430393_e0017.txt
