snapshot_time_idt,experiment,job_id,job_name,state,cpus,memory_gib,elapsed,time_limit,hard_remaining,node_or_reason,progress,log_path
2026-09-07T16:53:24+03:00,MPrime validation adequacy Phase B preflight,21084274,MPRIME_PHASEB_RESCORE,RUNNING,4,20,00:58:11,02:00:00,01:01:49,ise-cpu-intl-23,One-checkpoint repaired-tier preflight running; score not emitted yet,/home/hersco/training_new_domains/2026-09-06/mprime_phase_b/rescore_21084274_4294967294.log
2026-09-07T16:53:24+03:00,MPrime validation adequacy Phase B full rescore,21084275_[0-59%12],MPRIME_PHASEB_RESCORE,PENDING,180,1200,00:00:00,1-00:00:00,1-00:00:00,Dependency,Sixty lineage tasks gated on successful preflight; at most12 concurrent,/home/hersco/training_new_domains/2026-09-06/mprime_phase_b/rescore_21084275_%a.log
2026-09-07T16:53:24+03:00,TPP catastrophic-seed MCTS,21084616,tppbad-fixed-normal,RUNNING,6,120,00:47:23,3-00:00:00,2-23:12:37,ise-cpu256-06,Fixed normal20/70 exact Stage2 validation-selected seed1972442430,/home/hersco/training_new_domains/2026-09-07/tpp_catastrophic_seed_mcts/21084616_tpp-catastrophic-fixed-normal.txt
2026-09-07T16:53:24+03:00,TPP catastrophic-seed MCTS,21084617,tppbad-fixed-narrow,RUNNING,6,120,00:47:23,3-00:00:00,2-23:12:37,ise-cpu256-17,Fixed narrow5/20 exact Stage2 validation-selected seed1972442430,/home/hersco/training_new_domains/2026-09-07/tpp_catastrophic_seed_mcts/21084617_tpp-catastrophic-fixed-narrow.txt
2026-09-07T16:53:24+03:00,TPP catastrophic-seed MCTS,21084618,tppbad-pw20,RUNNING,6,120,00:47:23,3-00:00:00,2-23:12:37,ise-cpu256-18,PW Kmin3 c0.6 alpha0.5 with20 simulations exact seed1972442430,/home/hersco/training_new_domains/2026-09-07/tpp_catastrophic_seed_mcts/21084618_tpp-catastrophic-pw20.txt
2026-09-07T16:53:24+03:00,TPP catastrophic-seed MCTS,21084619,tppbad-pw70,RUNNING,6,120,00:47:23,3-00:00:00,2-23:12:37,ise-cpu256-18,PW Kmin3 c0.6 alpha0.5 with70 simulations exact seed1972442430,/home/hersco/training_new_domains/2026-09-07/tpp_catastrophic_seed_mcts/21084619_tpp-catastrophic-pw70.txt
2026-09-07T16:53:24+03:00,PW70 two-seed correction,20755796,pw70-kmin3-counters-off-2011206605-s1,RUNNING,6,120,1-03:23:30,3-00:00:00,1-20:36:30,ise-cpu256-13,21/59 classified and successful at30m 2h and6h,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20755796_pw70-kmin3-counters-off-2011206605-s1.txt
2026-09-07T16:53:24+03:00,FO Counters terminal-led Stage2 MCTS,20559575,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077,RUNNING,6,120,1-04:19:27,3-00:00:00,1-19:40:33,ise-cpu256-13,5/20 classified and successful at30m 2h and6h,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559575_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077.txt
2026-09-07T16:53:24+03:00,Counters terminal-led Stage2 MCTS,20974542,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20489410_e0045,RUNNING,6,120,2-03:43:16,3-00:00:00,20:16:44,ise-cpu128-05,42 classified;34 successes at every cutoff,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974542_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20489410_e0045.txt
2026-09-07T16:53:24+03:00,Counters terminal-led Stage2 MCTS,20974546,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20489416_e0030,RUNNING,6,120,2-03:43:16,3-00:00:00,20:16:44,ise-cpu128-11,40 classified;6 successes at every cutoff,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974546_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20489416_e0030.txt
