snapshot_time_idt,experiment,state,jobs,requested_cpus,requested_memory_gib,scheduler_source
2026-09-05T13:36:12+03:00,Stage-2 MCTS branch completion — Counters terminal-led,RUNNING,20,120,2400,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv
2026-09-05T13:36:12+03:00,Stage-2 MCTS branch completion — Rover validation-led,RUNNING,19,114,2280,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv
2026-09-05T13:36:12+03:00,Stage-2 MCTS branch completion — FO Counters validation-led,RUNNING,5,30,600,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv
2026-09-05T13:36:12+03:00,FO Counters terminal-led Stage-2 MCTS,RUNNING,2,12,240,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv
2026-09-05T13:36:12+03:00,PW70 two-seed correction,RUNNING,1,6,120,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv
2026-09-05T13:36:12+03:00,PW70 five-seed confirmation,RUNNING,1,6,120,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv
2026-09-05T13:36:12+03:00,Counters exact-snapshot PW70 divergence recovery,RUNNING,3,18,360,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv
2026-09-05T13:36:12+03:00,ALL,RUNNING,51,306,6120,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv
2026-09-05T13:36:12+03:00,ALL,PENDING,0,0,0,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv
2026-09-05T13:36:12+03:00,ALL,HELD,0,0,0,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv

