domain,value_head,seed,policy_score,mcts_30m,mcts_2h,mcts_6h,classified_instances,scheduler_state,declared_budget_censored,mcts_job_id,source_training_job,source_policy_job,source_policy_log,source_mcts_log
counters,off,1073581256,38.0,36,36,36,57,OUT_OF_MEMORY,true,20974538,20489407,20541390,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541390_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10TCP_src20489407_e0031.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974538_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20489407_e0031.txt
counters,off,1239739722,36.0,37,37,37,59,COMPLETED,false,20974539,20489408,20541391,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541391_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10TCP_src20489408_e0018.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974539_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20489408_e0018.txt
counters,off,1472491096,35.0,35,35,35,56,TIMEOUT,true,20974540,20489409,20541392,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541392_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10TCP_src20489409_e0002.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974540_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20489409_e0002.txt
counters,off,1510771779,34.0,34,34,34,58,OUT_OF_MEMORY,true,20974542,20489410,20523734,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523734_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10TCP_src20489410_e0045.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974542_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20489410_e0045.txt
counters,off,1963100312,56.0,39,51,57,59,COMPLETED,false,20974353,20489411,20541393,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541393_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10TCP_src20489411_e0042.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974353_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20489411_e0042.txt
counters,off,1972442430,29.0,30,30,30,58,OUT_OF_MEMORY,true,20974354,20489412,20541394,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541394_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10TCP_src20489412_e0094.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974354_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20489412_e0094.txt
counters,off,2011206605,59.0,52,59,59,59,COMPLETED,false,20974543,20489413,20541395,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541395_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10TCP_src20489413_e0003.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974543_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20489413_e0003.txt
counters,off,2082152039,27.0,29,29,29,59,OUT_OF_MEMORY,true,20974544,20489414,20541396,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541396_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10TCP_src20489414_e0082.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974544_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20489414_e0082.txt
counters,off,534933607,6.0,8,8,8,59,OUT_OF_MEMORY,true,20974346,20489405,20541388,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541388_Ev_counters_counters_orig_novh_c.1_s534933607_SR10TCP_src20489405_e0036.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974346_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20489405_e0036.txt
counters,off,923500475,59.0,49,59,59,59,COMPLETED,false,20974537,20489406,20541389,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541389_Ev_counters_counters_orig_novh_c.1_s923500475_SR10TCP_src20489406_e0024.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974537_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20489406_e0024.txt
counters,on,1073581256,4.0,7,7,7,59,COMPLETED,false,20974359,20489417,20524060,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20524060_Ev_counters_counters_orig_vh_c.1_s1073581256_SR10TCP_src20489417_e0070.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974359_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20489417_e0070.txt
counters,on,1239739722,11.0,18,19,19,59,COMPLETED,false,20974360,20489418,20541419,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541419_Ev_counters_counters_orig_vh_c.1_s1239739722_SR10TCP_src20489418_e0062.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974360_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20489418_e0062.txt
counters,on,1472491096,3.0,8,8,8,58,OUT_OF_MEMORY,true,20974361,20489419,20541542,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541542_Ev_counters_counters_orig_vh_c.1_s1472491096_SR10TCP_src20489419_e0070.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974361_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20489419_e0070.txt
counters,on,1510771779,24.0,31,31,31,59,OUT_OF_MEMORY,true,20974362,20489420,20541572,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541572_Ev_counters_counters_orig_vh_c.1_s1510771779_SR10TCP_src20489420_e0001.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974362_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20489420_e0001.txt
counters,on,1963100312,5.0,19,22,22,24,FAILED,true,20974363,20489421,20541573,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541573_Ev_counters_counters_orig_vh_c.1_s1963100312_SR10TCP_src20489421_e0000.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974363_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20489421_e0000.txt
counters,on,1972442430,31.0,34,35,35,59,OUT_OF_MEMORY,true,20974364,20489422,20541615,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541615_Ev_counters_counters_orig_vh_c.1_s1972442430_SR10TCP_src20489422_e0028.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974364_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20489422_e0028.txt
counters,on,2011206605,8.0,17,17,17,59,COMPLETED,false,20974365,20489424,20541740,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541740_Ev_counters_counters_orig_vh_c.1_s2011206605_SR10TCP_src20489424_e0029.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974365_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20489424_e0029.txt
counters,on,2082152039,15.0,20,20,20,59,COMPLETED,false,20974366,20489425,20541763,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541763_Ev_counters_counters_orig_vh_c.1_s2082152039_SR10TCP_src20489425_e0002.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974366_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489425_e0002.txt
counters,on,534933607,59.0,39,55,59,59,COMPLETED,false,20974545,20489415,20541397,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541397_Ev_counters_counters_orig_vh_c.1_s534933607_SR10TCP_src20489415_e0006.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974545_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20489415_e0006.txt
counters,on,923500475,8.0,6,6,6,45,TIMEOUT,true,20974546,20489416,20523947,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523947_Ev_counters_counters_orig_vh_c.1_s923500475_SR10TCP_src20489416_e0030.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974546_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20489416_e0030.txt
