array_index,tie_break,seed,value_head,stage,endpoint,policy_score,source_training_job_id,source_policy_job_id,checkpoint,source_training_log,source_policy_log,search,instances,workers,cpus,ram_gib,instance_timeout,job_walltime,nice,remote_output
0,action_id,534933607,off,stage1,validation_selected,59,20401263,20429101,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.114960/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_43_1.000",/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401263_Tr_counters_counters_orig_novh_c.1_s534933607_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429101_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20401263_e0043.txt,narrow_5_children_20_simulations,1-59,3,6,120,6h,72h,10000,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/534933607
1,action_id,923500475,off,stage1,validation_selected,59,20401266,20429173,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094323/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-5194f74/snapshots/snapshot_12_1.000",/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401266_Tr_counters_counters_orig_novh_c.1_s923500475_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429173_Ev_counters_counters_orig_novh_c.1_s923500475_SR10P_src20401266_e0012.txt,narrow_5_children_20_simulations,1-59,3,6,120,6h,72h,10000,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/923500475
2,action_id,1073581256,off,stage1,validation_selected,59,20401260,20428778,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.106124/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_3_1.000",/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401260_Tr_counters_counters_orig_novh_c.1_s1073581256_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428778_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10P_src20401260_e0003.txt,narrow_5_children_20_simulations,1-59,3,6,120,6h,72h,10000,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1073581256
3,action_id,1239739722,off,stage1,validation_selected,17,20401261,20428780,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.097949/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-7d9a779/snapshots/snapshot_5_1.000",/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401261_Tr_counters_counters_orig_novh_c.1_s1239739722_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428780_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10P_src20401261_e0005.txt,narrow_5_children_20_simulations,1-59,3,6,120,6h,72h,10000,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1239739722
4,action_id,1472491096,off,stage1,validation_selected,38,20401262,20428811,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.101726/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-43e0a7a/snapshots/snapshot_20_1.000",/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401262_Tr_counters_counters_orig_novh_c.1_s1472491096_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428811_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10P_src20401262_e0020.txt,narrow_5_children_20_simulations,1-59,3,6,120,6h,72h,10000,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1472491096
5,action_id,1510771779,off,stage1,validation_selected,10,20401265,20429156,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094320/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-17cc32a/snapshots/snapshot_1_0.000",/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401265_Tr_counters_counters_orig_novh_c.1_s1510771779_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429156_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10P_src20401265_e0001.txt,narrow_5_children_20_simulations,1-59,3,6,120,6h,72h,10000,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1510771779
6,action_id,1963100312,off,stage1,validation_selected,17,20401258,20428710,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.096138/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_101_1.000",/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401258_Tr_counters_counters_orig_novh_c.1_s1963100312_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,narrow_5_children_20_simulations,1-59,3,6,120,6h,72h,10000,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1963100312
7,action_id,1972442430,off,stage1,validation_selected,12,20401267,20429194,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094310/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-72aea46/snapshots/snapshot_53_1.000",/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401267_Tr_counters_counters_orig_novh_c.1_s1972442430_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429194_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10P_src20401267_e0053.txt,narrow_5_children_20_simulations,1-59,3,6,120,6h,72h,10000,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1972442430
8,action_id,2011206605,off,stage1,validation_selected,19,20401259,20428752,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.112993/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_37_1.000",/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401259_Tr_counters_counters_orig_novh_c.1_s2011206605_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428752_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10P_src20401259_e0037.txt,narrow_5_children_20_simulations,1-59,3,6,120,6h,72h,10000,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2011206605
9,action_id,2082152039,off,stage1,validation_selected,35,20401264,20429130,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.109794/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-faf7d6/snapshots/snapshot_12_1.000",/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401264_Tr_counters_counters_orig_novh_c.1_s2082152039_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,narrow_5_children_20_simulations,1-59,3,6,120,6h,72h,10000,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039
