seed,selected_epoch,pure_policy_score,action_id_success,action_id_classified,action_id_policy_success_failures,action_id_policy_success_unclassified,policy_prior_success,policy_prior_classified,policy_prior_policy_success_failures,policy_prior_policy_success_unclassified,pair_state,checkpoint_provenance,policy_log_provenance,action_id_completion_provenance,policy_prior_completion_provenance
534933607,43,59,20,31,11,28,19,34,15,25,live,manifest.csv row 2,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429101_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20401263_e0043.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/534933607/21233925_0.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10.completed.jsonl
923500475,12,59,28,28,0,31,28,29,1,30,live,manifest.csv row 3,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429173_Ev_counters_counters_orig_novh_c.1_s923500475_SR10P_src20401266_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/923500475/21233925_1.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/923500475/21233925_11.completed.jsonl
1073581256,3,59,59,59,0,0,59,59,0,0,complete,manifest.csv row 4,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428778_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10P_src20401260_e0003.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1073581256/21233925_2.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/1073581256/21233925_12.completed.jsonl
1239739722,5,17,17,59,0,0,17,59,0,0,complete,manifest.csv row 5,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428780_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10P_src20401261_e0005.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1239739722/21233925_3.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/1239739722/21233925_13.completed.jsonl
1472491096,20,38,38,40,0,0,38,38,0,0,live,manifest.csv row 6,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428811_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10P_src20401262_e0020.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1472491096/21233925_4.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/1472491096/21233925_14.completed.jsonl
1510771779,1,10,18,53,0,0,17,51,0,0,live,manifest.csv row 7,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429156_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10P_src20401265_e0001.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1510771779/21233925_5.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/1510771779/21233925_15.completed.jsonl
1963100312,101,17,22,47,0,0,22,47,0,0,live,manifest.csv row 8,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1963100312/21233925_6.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/1963100312/21233925_16.completed.jsonl
1972442430,53,12,14,44,0,0,14,44,0,0,live,manifest.csv row 9,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429194_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10P_src20401267_e0053.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/1972442430/21233925_7.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/1972442430/21233925_17.completed.jsonl
2011206605,37,19,20,59,0,0,20,59,0,0,complete,manifest.csv row 10,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428752_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10P_src20401259_e0037.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2011206605/21233925_8.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/2011206605/21233925_18.completed.jsonl
2082152039,12,35,19,36,15,1,19,42,16,0,live,manifest.csv row 11,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/2082152039/21233925_19.completed.jsonl
