experiment_id,value_head,seed,policy_score,mcts_score,paired_change,policy_log,mcts_log,mcts_val_valid,mcts_val_invalid
MAIN-TERM,off,534933607,9,10,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541785_Ev_drone_drone_orig_novh_c.1_s534933607_SR10TCP_src20489426_e0038.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559540_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489426_e0038.txt,10,0
MAIN-TERM,off,923500475,5,9,4,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541807_Ev_drone_drone_orig_novh_c.1_s923500475_SR10TCP_src20489427_e0064.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559541_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489427_e0064.txt,9,0
MAIN-TERM,off,1073581256,13,11,-2,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541829_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10TCP_src20489428_e0002.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559542_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCM_src20489428_e0002.txt,11,0
MAIN-VAL,off,1073581256,12,8,-4,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523246_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20451800_e0014.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage2_mcts_eval/20559493_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20451800_e0014.txt,8,0
MAIN-TERM,off,1239739722,4,9,5,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541869_Ev_drone_drone_orig_novh_c.1_s1239739722_SR10TCP_src20489429_e0034.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559543_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCM_src20489429_e0034.txt,9,0
MAIN-TERM,off,1472491096,11,12,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541891_Ev_drone_drone_orig_novh_c.1_s1472491096_SR10TCP_src20489430_e0012.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559544_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489430_e0012.txt,12,0
MAIN-VAL,off,1472491096,12,13,1,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523269_Ev_drone_drone_orig_novh_c.1_s1472491096_SR10P_src20451801_e0014.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage2_mcts_eval/20559494_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20451801_e0014.txt,13,0
MAIN-TERM,off,1510771779,6,10,4,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541913_Ev_drone_drone_orig_novh_c.1_s1510771779_SR10TCP_src20489431_e0086.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559546_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489431_e0086.txt,10,0
MAIN-VAL,off,1963100312,9,9,0,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523202_Ev_drone_drone_orig_novh_c.1_s1963100312_SR10P_src20451799_e0010.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage2_mcts_eval/20559492_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20451799_e0010.txt,9,0
MAIN-TERM,off,1963100312,6,8,2,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541935_Ev_drone_drone_orig_novh_c.1_s1963100312_SR10TCP_src20489432_e0098.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559547_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCM_src20489432_e0098.txt,8,0
