job_id,job_name,domain,value_head,seed,tag,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,exit_code,elapsed,successes,total,val_valid,val_invalid,classified_instances,successful_instance_runtime_seconds,source_evaluation_log,source_training_log
20559540,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489426_e0038,drone,off,534933607,SR10TCM,20489426,38,main_term_stage2_selected_mcts,COMPLETED,0:0,07:28:48,10,20,10,0,18,50.93;51.43;52.90;88.68;455.69;759.71;721.79;94.43;375.53;561.51,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559540_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489426_e0038.txt,
20559541,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489427_e0064,drone,off,923500475,SR10TCM,20489427,64,main_term_stage2_selected_mcts,COMPLETED,0:0,12:10:02,9,20,9,0,16,43.15;43.73;46.94;80.39;123.49;2328.11;102.21;303.65;412.39,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559541_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489427_e0064.txt,
20559542,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCM_src20489428_e0002,drone,off,1073581256,SR10TCM,20489428,2,main_term_stage2_selected_mcts,COMPLETED,0:0,12:08:10,11,20,11,0,16,56.44;59.96;63.21;92.70;390.03;746.44;879.56;115.50;403.38;736.43;1378.78,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559542_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCM_src20489428_e0002.txt,
20559493,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20451800_e0014,drone,off,1073581256,SR10M,20451800,14,main_val_stage2_selected_mcts,COMPLETED,0:0,12:05:19,8,20,8,0,16,58.83;60.39;62.50;80.92;768.71;800.27;113.04;330.61,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage2_mcts_eval/20559493_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20451800_e0014.txt,
20559543,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCM_src20489429_e0034,drone,off,1239739722,SR10TCM,20489429,34,main_term_stage2_selected_mcts,COMPLETED,0:0,12:19:26,9,20,9,0,16,48.46;53.19;54.69;110.46;172.64;1524.87;122.53;305.98;520.90,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559543_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCM_src20489429_e0034.txt,
20559544,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489430_e0012,drone,off,1472491096,SR10TCM,20489430,12,main_term_stage2_selected_mcts,COMPLETED,0:0,12:07:59,12,20,12,0,16,47.59;49.54;53.78;83.66;332.38;325.55;146.13;704.25;893.05;113.98;311.87;467.25,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559544_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489430_e0012.txt,
20559494,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20451801_e0014,drone,off,1472491096,SR10M,20451801,14,main_val_stage2_selected_mcts,COMPLETED,0:0,09:36:02,13,20,13,0,17,42.64;45.20;47.97;72.37;357.84;263.23;140.09;824.86;1095.60;117.22;363.82;520.60;1919.15,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage2_mcts_eval/20559494_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20451801_e0014.txt,
20559652,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10LONGM_src20451697_e0204,drone,off,1472491096,SR10LONGM,20451697,204,long_training_final_mcts,COMPLETED,0:0,12:10:08,13,20,13,0,16,53.93;55.59;59.34;195.35;96.42;349.24;667.05;140.26;799.43;770.31;110.97;310.95;1874.56,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage1_long_mcts_eval/20559652_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10LONGM_src20451697_e0204.txt,
20559546,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489431_e0086,drone,off,1510771779,SR10TCM,20489431,86,main_term_stage2_selected_mcts,COMPLETED,0:0,12:03:57,10,20,10,0,16,44.57;45.07;49.42;85.41;281.60;891.18;918.20;109.72;280.87;468.25,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559546_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489431_e0086.txt,
20559492,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20451799_e0010,drone,off,1963100312,SR10M,20451799,10,main_val_stage2_selected_mcts,COMPLETED,0:0,09:05:17,9,20,9,0,17,41.43;42.42;46.44;72.13;627.19;803.60;97.46;313.17;1429.49,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage2_mcts_eval/20559492_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20451799_e0010.txt,
20559547,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCM_src20489432_e0098,drone,off,1963100312,SR10TCM,20489432,98,main_term_stage2_selected_mcts,COMPLETED,0:0,07:33:58,8,20,8,0,18,50.88;51.45;54.42;76.25;993.66;108.21;330.47;574.44,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559547_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCM_src20489432_e0098.txt,
20559651,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10LONGM_src20451696_e0300,drone,off,1963100312,SR10LONGM,20451696,300,long_training_final_mcts,COMPLETED,0:0,12:08:32,9,20,9,0,16,50.10;53.13;56.66;86.87;1070.62;684.01;715.04;116.47;1269.27,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage1_long_mcts_eval/20559651_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10LONGM_src20451696_e0300.txt,
