experiment,job_id,job_name,state,exit_code,elapsed,start,end,node,requested_cpus,requested_memory,classified_instances,success_30m,success_2h,success_6h,success_full_record,explicit_instance_timeouts,latest_final_success,latest_final_total,val_valid,val_invalid,source_evaluation_log,source_completion_ledgers
Rover interrupted-instance MCTS recovery,21107687_7,ROVER_INTERRUPTION_RECOVERY,PENDING,0:0,00:00:00,Unknown,Unknown,None assigned,4,160G,2,0,0,0,0,2,,,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_7.sbatch.out,
Rover interrupted-instance MCTS recovery follow-up,21114871_0,ROVER_INTERRUPTION_RECOVERY_FOLLOWUP,RUNNING,0:0,05:50:43,2026-09-08T10:13:21,Unknown,ise-cpu256-13,2,160G,0,0,0,0,0,0,,,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery_followup/21114871_0.sbatch.out,
TPP catastrophic-seed MCTS diagnostic,21084616,tppbad-fixed-normal,RUNNING,0:0,23:58:03,2026-09-07T16:06:01,Unknown,ise-cpu256-06,6,120G,13,4,4,4,4,9,,,,,slurm-21084616.out,/home/hersco/training_new_domains/2026-09-07/tpp_catastrophic_seed_mcts/completion/21084616.jsonl
TPP catastrophic-seed MCTS diagnostic,21084619,tppbad-pw70,RUNNING,0:0,23:58:03,2026-09-07T16:06:01,Unknown,ise-cpu256-18,6,120G,10,4,5,7,7,3,,,,,slurm-21084619.out,/home/hersco/training_new_domains/2026-09-07/tpp_catastrophic_seed_mcts/completion/21084619.jsonl
PW70 cross-domain correction,20755796,pw70-kmin3-counters-off-2011206605-s1,RUNNING,0:0,2-02:34:10,2026-09-06T13:29:54,Unknown,ise-cpu256-13,6,120G,44,21,21,21,21,23,,,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-off-2011206605-s1_20755796.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20755796.jsonl
FO Counters terminal-led Stage-2 MCTS,20559575,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077,RUNNING,0:0,2-03:30:07,2026-09-06T12:33:57,Unknown,ise-cpu256-13,6,120G,19,5,5,5,5,14,,,,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559575_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559575.eval_completed.jsonl
Counters PW divergence recovery,20863185,pw-counters-divergence-off-534933607-sim70,RUNNING,0:0,2-10:00:59,2026-09-06T06:03:05,Unknown,cs-cpu-11,6,120G,48,19,21,22,22,26,,,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20863185_pw-counters-divergence-off-534933607-sim70.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20863185.jsonl
Stage-2 MCTS branch completion — Counters,20974346,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20489405_e0036,OUT_OF_MEMORY,0:125,2-06:21:27,2026-09-05T12:57:34,2026-09-07T19:19:01,cs-cpu-05,6,120G,59,8,8,8,8,16,8.0,59.0,8,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974346_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20489405_e0036.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974346.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974537,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20489406_e0024,COMPLETED,0:0,03:57:07,2026-09-05T13:10:03,2026-09-05T17:07:10,ise-cpu-intl-22,6,120G,59,49,59,59,59,0,59.0,59.0,59,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974537_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20489406_e0024.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974537.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974538,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20489407_e0031,OUT_OF_MEMORY,0:125,23:39:00,2026-09-06T12:33:57,2026-09-07T12:12:57,ise-cpu256-13,6,120G,57,36,36,36,36,8,36.0,59.0,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974538_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20489407_e0031.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974538.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974539,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20489408_e0018,COMPLETED,0:0,19:31:54,2026-09-06T12:33:57,2026-09-07T08:05:51,ise-cpu256-12,6,120G,59,37,37,37,37,5,37.0,59.0,37,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974539_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20489408_e0018.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974539.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974540,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20489409_e0002,TIMEOUT,0:0,3-00:00:08,2026-09-05T13:10:03,2026-09-08T13:10:11,ise-cpu128-05,6,120G,56,35,35,35,35,15,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974540_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20489409_e0002.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974540.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974542,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20489410_e0045,OUT_OF_MEMORY,0:125,2-13:43:58,2026-09-05T13:10:08,2026-09-08T02:54:06,ise-cpu128-05,6,120G,58,34,34,34,34,17,34.0,59.0,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974542_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20489410_e0045.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974542.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974543,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20489413_e0003,COMPLETED,0:0,03:43:34,2026-09-05T13:10:08,2026-09-05T16:53:42,ise-cpu128-06,6,120G,59,52,59,59,59,0,59.0,59.0,59,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974543_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20489413_e0003.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974543.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974544,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20489414_e0082,OUT_OF_MEMORY,0:125,21:30:29,2026-09-05T13:10:08,2026-09-06T10:40:37,ise-cpu128-10,6,120G,59,29,29,29,29,2,29.0,59.0,29,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974544_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20489414_e0082.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974544.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974353,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20489411_e0042,COMPLETED,0:0,12:19:01,2026-09-05T12:57:49,2026-09-06T01:16:50,ise-cpu-intl-18,6,120G,59,39,51,57,57,0,57.0,59.0,57,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974353_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20489411_e0042.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974353.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974354,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20489412_e0094,OUT_OF_MEMORY,0:125,2-04:25:06,2026-09-05T12:57:49,2026-09-07T17:22:55,ise-cpu-intl-19,6,120G,58,30,30,30,30,20,30.0,59.0,30,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974354_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20489412_e0094.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974354.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974545,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20489415_e0006,COMPLETED,0:0,11:49:35,2026-09-05T13:10:08,2026-09-06T00:59:43,ise-cpu128-11,6,120G,59,39,55,59,59,0,59.0,59.0,59,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974545_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20489415_e0006.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974545.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974546,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20489416_e0030,TIMEOUT,0:0,3-00:00:03,2026-09-05T13:10:08,2026-09-08T13:10:11,ise-cpu128-11,6,120G,45,6,6,6,6,5,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974546_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20489416_e0030.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974546.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974359,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20489417_e0070,COMPLETED,0:0,1-23:21:33,2026-09-05T12:57:49,2026-09-07T12:19:22,ise-cpu-intl-06,6,120G,59,7,7,7,7,12,7.0,59.0,7,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974359_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20489417_e0070.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974359.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974360,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20489418_e0062,COMPLETED,0:0,1-04:21:22,2026-09-05T12:57:49,2026-09-06T17:19:11,ise-cpu-intl-06,6,120G,59,18,19,19,19,1,19.0,59.0,19,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974360_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20489418_e0062.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974360.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974361,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20489419_e0070,OUT_OF_MEMORY,0:125,2-22:03:17,2026-09-05T12:57:49,2026-09-08T11:01:06,ise-cpu-intl-02,6,120G,58,8,8,8,8,28,8.0,59.0,8,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974361_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20489419_e0070.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974361.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974362,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20489420_e0001,OUT_OF_MEMORY,0:125,1-02:50:24,2026-09-06T13:29:54,2026-09-07T16:20:18,ise-cpu256-11,6,120G,59,31,31,31,31,10,31.0,59.0,31,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974362_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20489420_e0001.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974362.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974363,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20489421_e0000,FAILED,1:0,00:02:31,2026-09-06T06:03:05,2026-09-06T06:05:36,ise-cpu-intl-09,6,120G,24,19,22,22,22,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974363_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20489421_e0000.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974363.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974364,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20489422_e0028,OUT_OF_MEMORY,0:125,18:46:05,2026-09-06T06:03:05,2026-09-07T00:49:10,ise-cpu-intl-22,6,120G,59,34,35,35,35,6,35.0,59.0,35,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974364_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20489422_e0028.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974364.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974365,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20489424_e0029,COMPLETED,0:0,20:45:21,2026-09-05T12:57:49,2026-09-06T09:43:10,cs-cpu-11,6,120G,59,17,17,17,17,0,17.0,59.0,17,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974365_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20489424_e0029.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974365.eval_completed.jsonl
Stage-2 MCTS branch completion — Counters,20974366,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489425_e0002,COMPLETED,0:0,1-08:09:30,2026-09-05T12:57:49,2026-09-06T21:07:19,ise-cpu128-08,6,120G,59,20,20,20,20,0,20.0,59.0,20,0,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974366_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489425_e0002.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974366.eval_completed.jsonl
PW70 ten-seed FO/Rover expansion,21039201,pw70-ten-fo_counters-off-1239739722-s1,COMPLETED,0:0,18:21:46,2026-09-06T12:21:29,2026-09-07T06:43:15,ise-cpu256-30,6,120G,20,10,10,10,10,6,10.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039201_pw70-ten-fo_counters-off-1239739722-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039201.jsonl
PW70 ten-seed FO/Rover expansion,21039202,pw70-ten-fo_counters-off-1472491096-s1,COMPLETED,0:0,1-00:02:51,2026-09-06T12:21:33,2026-09-07T12:24:24,ise-cpu256-24,6,120G,20,9,9,9,9,10,9.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039202_pw70-ten-fo_counters-off-1472491096-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039202.jsonl
PW70 ten-seed FO/Rover expansion,21039203,pw70-ten-fo_counters-off-1510771779-s1,OUT_OF_MEMORY,0:125,1-00:03:38,2026-09-06T12:21:33,2026-09-07T12:25:11,ise-cpu256-17,6,120G,20,9,9,9,9,11,9.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039203_pw70-ten-fo_counters-off-1510771779-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039203.jsonl
PW70 ten-seed FO/Rover expansion,21039204,pw70-ten-fo_counters-off-1972442430-s1,COMPLETED,0:0,07:31:27,2026-09-06T12:21:33,2026-09-06T19:53:00,ise-cpu256-28,6,120G,20,9,9,9,9,1,9.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039204_pw70-ten-fo_counters-off-1972442430-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039204.jsonl
PW70 ten-seed FO/Rover expansion,21039205,pw70-ten-fo_counters-off-2082152039-s1,OUT_OF_MEMORY,0:125,1-04:02:21,2026-09-06T12:21:33,2026-09-07T16:23:54,ise-cpu256-28,6,120G,19,7,7,7,7,9,7.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039205_pw70-ten-fo_counters-off-2082152039-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039205.jsonl
PW70 ten-seed FO/Rover expansion,21039206,pw70-ten-fo_counters-on-1239739722-s1,OUT_OF_MEMORY,0:125,1-00:03:36,2026-09-06T12:21:58,2026-09-07T12:25:34,ise-cpu256-30,6,120G,18,8,8,8,8,10,8.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039206_pw70-ten-fo_counters-on-1239739722-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039206.jsonl
