job_id,job_name,domain,value_head,seed,tag,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,exit_code,elapsed,successes,total,val_valid,val_invalid,classified_instances,successful_instance_runtime_seconds,source_evaluation_log,source_training_log
20559496,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489385_e0000,block_grouping,off,534933607,SR10TCM,20489385,0,main_term_stage2_selected_mcts,COMPLETED,0:0,07:42:42,18,20,18,0,20,23.82;36.64;1148.68;68.65;687.42;17.03;19.80;77.17;66.14;154.31;2689.78;2446.83;285.61;8922.81;8763.20;2892.57;6007.29;13942.08,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559496_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489385_e0000.txt,
20559497,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489386_e0026,block_grouping,off,923500475,SR10TCM,20489386,26,main_term_stage2_selected_mcts,FAILED,1:0,03:45:48,14,16,,,16,22.05;44.60;808.00;65.87;864.57;15.28;16.78;67.88;76.90;1958.14;133.23;2261.35;1047.75;7500.02,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559497_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489386_e0026.txt,
20559498,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCM_src20489387_e0014,block_grouping,off,1073581256,SR10TCM,20489387,14,main_term_stage2_selected_mcts,FAILED,1:0,02:26:56,13,14,,,14,17.54;19.04;795.99;49.33;488.59;12.27;12.27;42.06;141.48;107.93;1703.23;3199.47;574.24,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559498_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCM_src20489387_e0014.txt,
20559499,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCM_src20489388_e0000,block_grouping,off,1239739722,SR10TCM,20489388,0,main_term_stage2_selected_mcts,FAILED,1:0,03:56:22,12,15,,,15,21.57;28.84;644.17;45.09;400.03;15.28;16.54;65.62;59.87;125.49;191.88;6978.81,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559499_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCM_src20489388_e0000.txt,
20559500,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489389_e0001,block_grouping,off,1472491096,SR10TCM,20489389,1,main_term_stage2_selected_mcts,COMPLETED,0:0,05:19:51,18,20,18,0,20,20.05;26.06;1102.09;90.65;1532.66;12.27;13.77;116.70;78.41;683.30;131.06;3363.29;332.63;5164.45;8453.33;2839.75;6790.30;8759.36,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559500_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489389_e0001.txt,
20559501,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489390_e0003,block_grouping,off,1510771779,SR10TCM,20489390,3,main_term_stage2_selected_mcts,COMPLETED,0:0,09:05:15,16,20,16,0,19,18.54;27.58;708.06;47.33;491.39;13.02;15.28;59.87;45.58;111.18;2078.93;1902.48;200.15;6849.08;7960.74;8124.14,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559501_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489390_e0003.txt,
20559502,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCM_src20489391_e0000,block_grouping,off,1963100312,SR10TCM,20489391,0,main_term_stage2_selected_mcts,COMPLETED,0:0,09:10:53,12,20,12,0,18,22.05;27.56;2682.50;40.32;14.52;15.78;55.11;83.15;126.23;515.19;163.07;6557.86,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559502_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCM_src20489391_e0000.txt,
20559503,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10TCM_src20489392_e0002,block_grouping,off,1972442430,SR10TCM,20489392,2,main_term_stage2_selected_mcts,FAILED,1:0,03:45:59,13,16,,,16,21.56;24.82;1235.36;52.09;1738.67;14.03;15.78;54.34;542.00;72.26;127.35;3387.03;9299.56,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559503_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10TCM_src20489392_e0002.txt,
20559505,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10TCM_src20489393_e0001,block_grouping,off,2011206605,SR10TCM,20489393,1,main_term_stage2_selected_mcts,COMPLETED,0:0,06:33:33,18,20,18,0,20,20.30;24.81;1116.26;51.59;530.48;15.28;14.27;50.84;1804.84;67.76;114.10;3478.33;251.70;9180.28;7932.29;9835.82;9149.20;11245.95,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559505_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10TCM_src20489393_e0001.txt,
20559506,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489394_e0003,block_grouping,off,2082152039,SR10TCM,20489394,3,main_term_stage2_selected_mcts,FAILED,1:0,03:50:17,11,15,,,15,24.32;26.59;976.09;44.58;521.45;15.53;14.53;59.86;85.17;144.28;194.38,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559506_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489394_e0003.txt,
