manifest_id,task_type,domain,value_head,seed,stage,status,teacher,source_checkpoint_ref,source_training_job_id,snapshot_epoch,analysis_roles,training_state,training_log
preserve4-delivery-off-534933607-stage2-a30-policy-e0000,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-28T22:36:26.274880/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917230-3c74d66/snapshots/snapshot_0_1.0000",20669726,0,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_delivery_stage2_confirmation/20669726_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20522935.txt
preserve4-delivery-off-534933607-stage2-a30-policy-e0005,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-28T22:36:26.274880/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917230-3c74d66/snapshots/snapshot_5_1.0000",20669726,5,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_delivery_stage2_confirmation/20669726_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20522935.txt
preserve4-delivery-off-534933607-stage2-a30-policy-e0010,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-28T22:36:26.274880/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917230-3c74d66/snapshots/snapshot_10_1.0000",20669726,10,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_delivery_stage2_confirmation/20669726_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20522935.txt
preserve4-delivery-off-534933607-stage2-a30-policy-e0015,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-28T22:36:26.274880/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917230-3c74d66/snapshots/snapshot_15_1.0000",20669726,15,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_delivery_stage2_confirmation/20669726_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20522935.txt
preserve4-delivery-off-534933607-stage2-a30-policy-e0020,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-28T22:36:26.274880/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917230-3c74d66/snapshots/snapshot_20_1.0000",20669726,20,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_delivery_stage2_confirmation/20669726_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20522935.txt
preserve4-delivery-off-534933607-stage2-a30-policy-e0025,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-28T22:36:26.274880/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917230-3c74d66/snapshots/snapshot_25_1.0000",20669726,25,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_delivery_stage2_confirmation/20669726_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20522935.txt
preserve4-delivery-off-534933607-stage2-a30-policy-e0030,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-28T22:36:26.274880/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917230-3c74d66/snapshots/snapshot_30_1.0000",20669726,30,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_delivery_stage2_confirmation/20669726_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20522935.txt
preserve4-delivery-off-534933607-stage2-a30-policy-e0035,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-28T22:36:26.274880/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917230-3c74d66/snapshots/snapshot_35_1.0000",20669726,35,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_delivery_stage2_confirmation/20669726_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20522935.txt
preserve4-delivery-off-534933607-stage2-a30-policy-e0040,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-28T22:36:26.274880/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917230-3c74d66/snapshots/snapshot_40_1.0000",20669726,40,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_delivery_stage2_confirmation/20669726_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20522935.txt
preserve4-delivery-off-534933607-stage2-a30-policy-e0045,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-28T22:36:26.274880/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917230-3c74d66/snapshots/snapshot_45_1.0000",20669726,45,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_delivery_stage2_confirmation/20669726_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20522935.txt
