experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,preserve4-delivery-off-534933607-stage2-a30-policy-e0000,delivery,stage2,off,534933607,pw_kmin3,,,,20717927,20669726,0,preserve4_stage2_policy_curve,COMPLETED,00:06:11,20.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717927_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0000.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0005,delivery,stage2,off,534933607,pw_kmin3,,,,20717928,20669726,5,preserve4_stage2_policy_curve,COMPLETED,00:06:31,20.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717928_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0005.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0010,delivery,stage2,off,534933607,pw_kmin3,,,,20717929,20669726,10,preserve4_stage2_policy_curve,COMPLETED,00:29:16,17.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717929_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0010.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0015,delivery,stage2,off,534933607,pw_kmin3,,,,20717930,20669726,15,preserve4_stage2_policy_curve,COMPLETED,00:13:23,18.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717930_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0015.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0020,delivery,stage2,off,534933607,pw_kmin3,,,,20717931,20669726,20,preserve4_stage2_policy_curve,COMPLETED,00:12:52,18.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717931_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0020.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0025,delivery,stage2,off,534933607,pw_kmin3,,,,20717932,20669726,25,preserve4_stage2_policy_curve,COMPLETED,00:12:18,18.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717932_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0025.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0030,delivery,stage2,off,534933607,pw_kmin3,,,,20717933,20669726,30,preserve4_stage2_policy_curve,COMPLETED,00:10:30,18.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717933_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0030.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0035,delivery,stage2,off,534933607,pw_kmin3,,,,20717934,20669726,35,preserve4_stage2_policy_curve,COMPLETED,00:11:50,18.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717934_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0035.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0040,delivery,stage2,off,534933607,pw_kmin3,,,,20717935,20669726,40,preserve4_stage2_policy_curve,COMPLETED,00:11:55,18.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717935_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0040.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0045,delivery,stage2,off,534933607,pw_kmin3,,,,20717936,20669726,45,preserve4_stage2_policy_curve,COMPLETED,00:12:02,18.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717936_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0045.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0050,delivery,stage2,off,534933607,pw_kmin3,,,,20717937,20669726,50,preserve4_stage2_policy_curve,COMPLETED,00:20:23,17.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717937_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0050.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0055,delivery,stage2,off,534933607,pw_kmin3,,,,20717938,20669726,55,preserve4_stage2_policy_curve,COMPLETED,00:29:37,17.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717938_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0055.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0060,delivery,stage2,off,534933607,pw_kmin3,,,,20717939,20669726,60,preserve4_stage2_policy_curve,COMPLETED,00:32:40,15.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717939_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0060.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0065,delivery,stage2,off,534933607,pw_kmin3,,,,20717940,20669726,65,preserve4_stage2_policy_curve,COMPLETED,00:15:25,18.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717940_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0065.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0070,delivery,stage2,off,534933607,pw_kmin3,,,,20717942,20669726,70,preserve4_stage2_policy_curve,COMPLETED,00:23:40,15.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717942_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0070.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0075,delivery,stage2,off,534933607,pw_kmin3,,,,20717943,20669726,75,preserve4_stage2_policy_curve,COMPLETED,00:20:42,16.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717943_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0075.txt
,preserve4-delivery-off-534933607-stage2-a30-policy-e0080,delivery,stage2,off,534933607,pw_kmin3,,,,20717944,20669726,80,preserve4_stage2_policy_curve,COMPLETED,00:20:42,15.0,20,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20717944_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0080.txt
