manifest_id	experiment_id	domain	value_head	seed	anchor	source_training_job_id	source_epoch	source_checkpoint	status	teacher	slurm_job_id	submitted_at
preserve3-term-delivery-on-534933607-a30	PRESERVE-3-TERM	delivery	on	534933607	30	20522918	86	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:01:37.491566/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911495-3c74d66/snapshots/snapshot_86_0.750	ready	hadd-astar	20755730	2026-08-30T21:07:33.503156+00:00
preserve3-term-delivery-on-923500475-a30	PRESERVE-3-TERM	delivery	on	923500475	30	20522921	79	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:08:56.831101/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911503-5194f74/snapshots/snapshot_79_0.750	ready	hadd-astar	20755731	2026-08-30T21:07:33.668097+00:00
preserve3-term-delivery-on-1073581256-a30	PRESERVE-3-TERM	delivery	on	1073581256	30	20522915	55	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T22:45:51.971797/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911479-1247c09/snapshots/snapshot_55_0.750	ready	hadd-astar	20755732	2026-08-30T21:07:33.850963+00:00
preserve3-term-delivery-on-1239739722-a30	PRESERVE-3-TERM	delivery	on	1239739722	30	20522916	58	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T22:56:34.413780/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911490-7d9a779/snapshots/snapshot_58_0.750	ready	hadd-astar	20755734	2026-08-30T21:07:34.011021+00:00
preserve3-term-delivery-on-1472491096-a30	PRESERVE-3-TERM	delivery	on	1472491096	30	20522917	99	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:01:37.491561/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911495-43e0a7a/snapshots/snapshot_99_0.750	ready	hadd-astar	20755735	2026-08-30T21:07:34.176513+00:00
preserve3-term-delivery-on-1510771779-a30	PRESERVE-3-TERM	delivery	on	1510771779	30	20522920	58	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:06:10.817050/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911500-17cc32a/snapshots/snapshot_58_0.750	ready	hadd-astar	20755736	2026-08-30T21:07:34.343834+00:00
preserve3-term-delivery-on-1963100312-a30	PRESERVE-3-TERM	delivery	on	1963100312	30	20522913	52	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T22:39:50.266801/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911473-2fc32f3/snapshots/snapshot_52_0.750	ready	hadd-astar	20755737	2026-08-30T21:07:34.509870+00:00
preserve3-term-delivery-on-1972442430-a30	PRESERVE-3-TERM	delivery	on	1972442430	30	20522922	59	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:10:17.272473/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911504-72aea46/snapshots/snapshot_59_0.750	ready	hadd-astar	20755738	2026-08-30T21:07:34.660432+00:00
preserve3-term-delivery-on-2011206605-a30	PRESERVE-3-TERM	delivery	on	2011206605	30	20522914	70	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T22:44:21.692359/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911478-067843/snapshots/snapshot_70_0.750	ready	hadd-astar	20755739	2026-08-30T21:07:34.810036+00:00
preserve3-term-delivery-on-2082152039-a30	PRESERVE-3-TERM	delivery	on	2082152039	30	20522919	55	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:03:24.162624/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911497-faf7d6/snapshots/snapshot_55_0.750	ready	hadd-astar	20755740	2026-08-30T21:07:34.948717+00:00
