job_id,state,elapsed,time_limit,epoch,max_epoch,latest_validation,source_log
20755719,RUNNING,03:08:52,3-00:00:00,9,100,0.6333333333333333,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
20755720,RUNNING,03:08:13,3-00:00:00,9,100,0.6666666666666666,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755720_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s923500475_K0_P3TERMS2A30_src20522942.txt
20755721,RUNNING,03:07:13,3-00:00:00,10,100,0.8666666666666667,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755721_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1073581256_K0_P3TERMS2A30_src20522926.txt
20755722,RUNNING,03:06:13,3-00:00:00,8,100,0.5666666666666667,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755722_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1239739722_K0_P3TERMS2A30_src20522929.txt
20755723,RUNNING,03:05:43,3-00:00:00,8,100,0.7333333333333333,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755723_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1472491096_K0_P3TERMS2A30_src20522932.txt
20755725,RUNNING,03:05:32,3-00:00:00,8,100,0.6333333333333333,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755725_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1510771779_K0_P3TERMS2A30_src20522939.txt
20755726,RUNNING,03:04:42,3-00:00:00,9,100,0.6333333333333333,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755726_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_P3TERMS2A30_src20522923.txt
20755727,RUNNING,03:04:12,3-00:00:00,9,100,0.5666666666666667,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755727_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1972442430_K0_P3TERMS2A30_src20522945.txt
20755728,RUNNING,03:03:02,3-00:00:00,10,100,0.7333333333333333,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755728_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s2011206605_K0_P3TERMS2A30_src20522924.txt
20755729,RUNNING,03:02:13,3-00:00:00,21,100,0.3333333333333333,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755729_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s2082152039_K0_P3TERMS2A30_src20522937.txt
20755730,RUNNING,02:59:27,3-00:00:00,8,100,0.7666666666666667,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755730_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522918.txt
20755731,RUNNING,02:57:17,3-00:00:00,10,100,0.8666666666666667,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755731_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s923500475_K0_P3TERMS2A30_src20522921.txt
20755732,RUNNING,02:57:00,3-00:00:00,9,100,1.0,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755732_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s1073581256_K0_P3TERMS2A30_src20522915.txt
20755734,RUNNING,02:54:11,3-00:00:00,8,100,0.6666666666666666,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755734_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s1239739722_K0_P3TERMS2A30_src20522916.txt
20755735,RUNNING,02:52:41,3-00:00:00,8,100,0.8333333333333334,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755735_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A30_src20522917.txt
20755736,RUNNING,02:50:45,3-00:00:00,9,100,0.8666666666666667,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755736_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s1510771779_K0_P3TERMS2A30_src20522920.txt
20755737,RUNNING,00:45:09,3-00:00:00,2,100,0.7666666666666667,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755737_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s1963100312_K0_P3TERMS2A30_src20522913.txt
