manifest_id,experiment_id,domain,value_head,seed,anchor,source_training_job_id,source_epoch,source_checkpoint,status,teacher
preserve3-term-delivery-off-534933607-a30,PRESERVE-3-TERM,delivery,off,534933607,30,20522935,53,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:22:31.723148/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911576-3c74d66/snapshots/snapshot_53_0.750",ready,hadd-astar
preserve3-term-delivery-off-923500475-a30,PRESERVE-3-TERM,delivery,off,923500475,30,20522942,55,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:30:30.692412/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911584-5194f74/snapshots/snapshot_55_0.750",ready,hadd-astar
preserve3-term-delivery-off-1073581256-a30,PRESERVE-3-TERM,delivery,off,1073581256,30,20522926,97,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:46:21.540438/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911540-1247c09/snapshots/snapshot_97_0.750",ready,hadd-astar
preserve3-term-delivery-off-1239739722-a30,PRESERVE-3-TERM,delivery,off,1239739722,30,20522929,64,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:00:50.587504/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911555-7d9a779/snapshots/snapshot_64_0.750",ready,hadd-astar
preserve3-term-delivery-off-1472491096-a30,PRESERVE-3-TERM,delivery,off,1472491096,30,20522932,63,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:14:32.372361/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911568-43e0a7a/snapshots/snapshot_63_0.750",ready,hadd-astar
preserve3-term-delivery-off-1510771779-a30,PRESERVE-3-TERM,delivery,off,1510771779,30,20522939,57,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:28:51.102737/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911582-17cc32a/snapshots/snapshot_57_0.750",ready,hadd-astar
preserve3-term-delivery-off-1963100312-a30,PRESERVE-3-TERM,delivery,off,1963100312,30,20522923,68,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:21:11.682972/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911515-2fc32f3/snapshots/snapshot_68_0.750",ready,hadd-astar
preserve3-term-delivery-off-1972442430-a30,PRESERVE-3-TERM,delivery,off,1972442430,30,20522945,52,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:30:30.692405/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911584-72aea46/snapshots/snapshot_52_0.750",ready,hadd-astar
preserve3-term-delivery-off-2011206605-a30,PRESERVE-3-TERM,delivery,off,2011206605,30,20522924,52,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:39:21.083487/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911533-067843/snapshots/snapshot_52_0.750",ready,hadd-astar
preserve3-term-delivery-off-2082152039-a30,PRESERVE-3-TERM,delivery,off,2082152039,30,20522937,60,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:28:22.773562/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911582-faf7d6/snapshots/snapshot_60_0.750",ready,hadd-astar
preserve3-term-delivery-on-534933607-a30,PRESERVE-3-TERM,delivery,on,534933607,30,20522918,86,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:01:37.491566/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911495-3c74d66/snapshots/snapshot_86_0.750",ready,hadd-astar
preserve3-term-delivery-on-923500475-a30,PRESERVE-3-TERM,delivery,on,923500475,30,20522921,79,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:08:56.831101/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911503-5194f74/snapshots/snapshot_79_0.750",ready,hadd-astar
preserve3-term-delivery-on-1073581256-a30,PRESERVE-3-TERM,delivery,on,1073581256,30,20522915,55,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T22:45:51.971797/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911479-1247c09/snapshots/snapshot_55_0.750",ready,hadd-astar
preserve3-term-delivery-on-1239739722-a30,PRESERVE-3-TERM,delivery,on,1239739722,30,20522916,58,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T22:56:34.413780/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911490-7d9a779/snapshots/snapshot_58_0.750",ready,hadd-astar
preserve3-term-delivery-on-1472491096-a30,PRESERVE-3-TERM,delivery,on,1472491096,30,20522917,99,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:01:37.491561/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911495-43e0a7a/snapshots/snapshot_99_0.750",ready,hadd-astar
preserve3-term-delivery-on-1510771779-a30,PRESERVE-3-TERM,delivery,on,1510771779,30,20522920,58,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:06:10.817050/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911500-17cc32a/snapshots/snapshot_58_0.750",ready,hadd-astar
preserve3-term-delivery-on-1963100312-a30,PRESERVE-3-TERM,delivery,on,1963100312,30,20522913,52,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T22:39:50.266801/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911473-2fc32f3/snapshots/snapshot_52_0.750",ready,hadd-astar
preserve3-term-delivery-on-1972442430-a30,PRESERVE-3-TERM,delivery,on,1972442430,30,20522922,59,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:10:17.272473/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911504-72aea46/snapshots/snapshot_59_0.750",ready,hadd-astar
preserve3-term-delivery-on-2011206605-a30,PRESERVE-3-TERM,delivery,on,2011206605,30,20522914,70,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T22:44:21.692359/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911478-067843/snapshots/snapshot_70_0.750",ready,hadd-astar
preserve3-term-delivery-on-2082152039-a30,PRESERVE-3-TERM,delivery,on,2082152039,30,20522919,55,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:03:24.162624/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911497-faf7d6/snapshots/snapshot_55_0.750",ready,hadd-astar
preserve3-term-tpp-off-534933607-a3,PRESERVE-3-TERM,tpp,off,534933607,3,20523050,62,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:18:01.542289/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911932-3c74d66/snapshots/snapshot_62_1.000",ready,hadd-astar
preserve3-term-tpp-off-923500475-a3,PRESERVE-3-TERM,tpp,off,923500475,3,20523059,72,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:51:49.243266/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911966-5194f74/snapshots/snapshot_72_1.000",ready,hadd-astar
preserve3-term-tpp-off-1073581256-a3,PRESERVE-3-TERM,tpp,off,1073581256,3,20523041,51,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:56:19.498678/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911910-1247c09/snapshots/snapshot_51_1.000",ready,hadd-astar
preserve3-term-tpp-off-1239739722-a3,PRESERVE-3-TERM,tpp,off,1239739722,3,20523044,51,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:00:18.492230/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911914-7d9a779/snapshots/snapshot_51_1.000",ready,hadd-astar
preserve3-term-tpp-off-1472491096-a3,PRESERVE-3-TERM,tpp,off,1472491096,3,20523047,51,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:10:05.633138/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911924-43e0a7a/snapshots/snapshot_51_1.000",ready,hadd-astar
preserve3-term-tpp-off-1510771779-a3,PRESERVE-3-TERM,tpp,off,1510771779,3,20523056,51,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:37:26.818356/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911951-17cc32a/snapshots/snapshot_51_1.000",ready,hadd-astar
preserve3-term-tpp-off-1963100312-a3,PRESERVE-3-TERM,tpp,off,1963100312,3,20523035,53,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:52:19.740677/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911906-2fc32f3/snapshots/snapshot_53_1.000",ready,hadd-astar
preserve3-term-tpp-off-1972442430-a3,PRESERVE-3-TERM,tpp,off,1972442430,3,20523062,65,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:58:34.413651/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911972-72aea46/snapshots/snapshot_65_1.000",ready,hadd-astar
preserve3-term-tpp-off-2011206605-a3,PRESERVE-3-TERM,tpp,off,2011206605,3,20523038,51,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:54:32.232440/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911908-067843/snapshots/snapshot_51_1.000",ready,hadd-astar
preserve3-term-tpp-off-2082152039-a3,PRESERVE-3-TERM,tpp,off,2082152039,3,20523053,55,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:23:43.293616/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911937-faf7d6/snapshots/snapshot_55_1.000",ready,hadd-astar
