manifest_id	experiment_id	domain	value_head	seed	anchor	source_training_job_id	source_epoch	source_checkpoint	status	teacher	slurm_job_id	submitted_at
preserve3-term-tpp-off-534933607-a3	PRESERVE-3-TERM	tpp	off	534933607	3	20523050	62	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:18:01.542289/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911932-3c74d66/snapshots/snapshot_62_1.000	ready	hadd-astar	20755741	2026-08-30T21:07:35.102495+00:00
preserve3-term-tpp-off-923500475-a3	PRESERVE-3-TERM	tpp	off	923500475	3	20523059	72	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:51:49.243266/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911966-5194f74/snapshots/snapshot_72_1.000	ready	hadd-astar	20755743	2026-08-30T21:07:35.256310+00:00
preserve3-term-tpp-off-1073581256-a3	PRESERVE-3-TERM	tpp	off	1073581256	3	20523041	51	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:56:19.498678/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911910-1247c09/snapshots/snapshot_51_1.000	ready	hadd-astar	20755744	2026-08-30T21:07:35.412364+00:00
preserve3-term-tpp-off-1239739722-a3	PRESERVE-3-TERM	tpp	off	1239739722	3	20523044	51	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:00:18.492230/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911914-7d9a779/snapshots/snapshot_51_1.000	ready	hadd-astar	20755745	2026-08-30T21:07:35.561256+00:00
preserve3-term-tpp-off-1472491096-a3	PRESERVE-3-TERM	tpp	off	1472491096	3	20523047	51	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:10:05.633138/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911924-43e0a7a/snapshots/snapshot_51_1.000	ready	hadd-astar	20755746	2026-08-30T21:07:35.717030+00:00
preserve3-term-tpp-off-1510771779-a3	PRESERVE-3-TERM	tpp	off	1510771779	3	20523056	51	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:37:26.818356/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911951-17cc32a/snapshots/snapshot_51_1.000	ready	hadd-astar	20755747	2026-08-30T21:07:35.868971+00:00
preserve3-term-tpp-off-1963100312-a3	PRESERVE-3-TERM	tpp	off	1963100312	3	20523035	53	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:52:19.740677/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911906-2fc32f3/snapshots/snapshot_53_1.000	ready	hadd-astar	20755748	2026-08-30T21:07:36.031424+00:00
preserve3-term-tpp-off-1972442430-a3	PRESERVE-3-TERM	tpp	off	1972442430	3	20523062	65	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:58:34.413651/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911972-72aea46/snapshots/snapshot_65_1.000	ready	hadd-astar	20755749	2026-08-30T21:07:36.190002+00:00
preserve3-term-tpp-off-2011206605-a3	PRESERVE-3-TERM	tpp	off	2011206605	3	20523038	51	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:54:32.232440/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911908-067843/snapshots/snapshot_51_1.000	ready	hadd-astar	20755750	2026-08-30T21:07:36.345556+00:00
preserve3-term-tpp-off-2082152039-a3	PRESERVE-3-TERM	tpp	off	2082152039	3	20523053	55	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:23:43.293616/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911937-faf7d6/snapshots/snapshot_55_1.000	ready	hadd-astar	20755752	2026-08-30T21:07:36.500758+00:00
