manifest_id,task_type,domain,value_head,seed,stage,status,teacher,source_checkpoint_ref,source_training_job_id,snapshot_epoch,analysis_roles,training_state,training_log,excluded_nodes,notes
preserve3-term-tpp-off-1073581256-a3-policy-e0090-node-retry1,policy_eval,tpp,off,1073581256,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:33:24.871385/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921247-1247c09/snapshots/snapshot_90_1.0000",20755744,90,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755744_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1073581256_K0_P3TERMS2A3_src20523041.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact curve-point retry of job 20890737; failed before inference with node-local POSIX-semaphore ENOSPC. The two selected-endpoint gaps already have separate active retry2 jobs and are excluded here.
preserve3-term-tpp-off-1073581256-a3-policy-e0099-node-retry1,policy_eval,tpp,off,1073581256,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:33:24.871385/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921247-1247c09/snapshots/snapshot_99_1.0000",20755744,99,preserve3_terminal_tpp_off_learning_curve;preserve3_terminal_tpp_off_final_policy,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755744_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1073581256_K0_P3TERMS2A3_src20523041.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact curve-point retry of job 20890739; failed before inference with node-local POSIX-semaphore ENOSPC. The two selected-endpoint gaps already have separate active retry2 jobs and are excluded here.
preserve3-term-tpp-off-1239739722-a3-policy-e0010-node-retry1,policy_eval,tpp,off,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:00:54.461271/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921275-7d9a779/snapshots/snapshot_10_0.6667",20755745,10,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755745_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1239739722_K0_P3TERMS2A3_src20523044.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact curve-point retry of job 20890742; failed before inference with node-local POSIX-semaphore ENOSPC. The two selected-endpoint gaps already have separate active retry2 jobs and are excluded here.
preserve3-term-tpp-off-1239739722-a3-policy-e0015-node-retry1,policy_eval,tpp,off,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:00:54.461271/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921275-7d9a779/snapshots/snapshot_15_0.6667",20755745,15,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755745_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1239739722_K0_P3TERMS2A3_src20523044.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact curve-point retry of job 20890743; failed before inference with node-local POSIX-semaphore ENOSPC. The two selected-endpoint gaps already have separate active retry2 jobs and are excluded here.
preserve3-term-tpp-off-1239739722-a3-policy-e0020-node-retry1,policy_eval,tpp,off,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:00:54.461271/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921275-7d9a779/snapshots/snapshot_20_0.6667",20755745,20,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755745_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1239739722_K0_P3TERMS2A3_src20523044.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact curve-point retry of job 20890744; failed before inference with node-local POSIX-semaphore ENOSPC. The two selected-endpoint gaps already have separate active retry2 jobs and are excluded here.
preserve3-term-tpp-off-1239739722-a3-policy-e0025-node-retry1,policy_eval,tpp,off,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:00:54.461271/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921275-7d9a779/snapshots/snapshot_25_0.6667",20755745,25,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755745_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1239739722_K0_P3TERMS2A3_src20523044.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact curve-point retry of job 20890745; failed before inference with node-local POSIX-semaphore ENOSPC. The two selected-endpoint gaps already have separate active retry2 jobs and are excluded here.
preserve3-term-tpp-off-1239739722-a3-policy-e0030-node-retry1,policy_eval,tpp,off,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:00:54.461271/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921275-7d9a779/snapshots/snapshot_30_0.6667",20755745,30,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755745_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1239739722_K0_P3TERMS2A3_src20523044.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact curve-point retry of job 20890746; failed before inference with node-local POSIX-semaphore ENOSPC. The two selected-endpoint gaps already have separate active retry2 jobs and are excluded here.
preserve3-term-tpp-off-1239739722-a3-policy-e0035-node-retry1,policy_eval,tpp,off,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:00:54.461271/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921275-7d9a779/snapshots/snapshot_35_0.6667",20755745,35,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755745_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1239739722_K0_P3TERMS2A3_src20523044.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact curve-point retry of job 20890747; failed before inference with node-local POSIX-semaphore ENOSPC. The two selected-endpoint gaps already have separate active retry2 jobs and are excluded here.
preserve3-term-tpp-off-1239739722-a3-policy-e0040-node-retry1,policy_eval,tpp,off,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:00:54.461271/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921275-7d9a779/snapshots/snapshot_40_0.6667",20755745,40,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755745_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1239739722_K0_P3TERMS2A3_src20523044.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact curve-point retry of job 20890748; failed before inference with node-local POSIX-semaphore ENOSPC. The two selected-endpoint gaps already have separate active retry2 jobs and are excluded here.
preserve3-term-tpp-off-1472491096-a3-policy-e0024-node-retry1,policy_eval,tpp,off,1472491096,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:04:22.718999/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921278-43e0a7a/snapshots/snapshot_24_0.7500",20755746,24,preserve3_terminal_tpp_off_learning_curve;preserve3_terminal_tpp_off_validation_selected_policy,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755746_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1472491096_K0_P3TERMS2A3_src20523047.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact curve-point retry of job 20890769; failed before inference with node-local POSIX-semaphore ENOSPC. The two selected-endpoint gaps already have separate active retry2 jobs and are excluded here.
