manifest_id,task_type,domain,value_head,seed,stage,status,teacher,source_checkpoint_ref,source_training_job_id,snapshot_epoch,analysis_roles,training_state,training_log
preserve3-term-tpp-off-534933607-a3-policy-e0000,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:31:36.257747/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921245-3c74d66/snapshots/snapshot_0_1.0000",20755741,0,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755741_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050.txt
preserve3-term-tpp-off-534933607-a3-policy-e0005,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:31:36.257747/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921245-3c74d66/snapshots/snapshot_5_0.6667",20755741,5,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755741_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050.txt
preserve3-term-tpp-off-534933607-a3-policy-e0010,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:31:36.257747/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921245-3c74d66/snapshots/snapshot_10_0.6667",20755741,10,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755741_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050.txt
preserve3-term-tpp-off-534933607-a3-policy-e0015,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:31:36.257747/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921245-3c74d66/snapshots/snapshot_15_0.6667",20755741,15,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755741_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050.txt
preserve3-term-tpp-off-534933607-a3-policy-e0020,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:31:36.257747/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921245-3c74d66/snapshots/snapshot_20_0.6667",20755741,20,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755741_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050.txt
preserve3-term-tpp-off-534933607-a3-policy-e0025,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:31:36.257747/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921245-3c74d66/snapshots/snapshot_25_0.6667",20755741,25,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755741_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050.txt
preserve3-term-tpp-off-534933607-a3-policy-e0030,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:31:36.257747/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921245-3c74d66/snapshots/snapshot_30_0.6667",20755741,30,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755741_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050.txt
preserve3-term-tpp-off-534933607-a3-policy-e0035,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:31:36.257747/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921245-3c74d66/snapshots/snapshot_35_0.6667",20755741,35,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755741_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050.txt
preserve3-term-tpp-off-534933607-a3-policy-e0040,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:31:36.257747/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921245-3c74d66/snapshots/snapshot_40_0.6667",20755741,40,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755741_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050.txt
preserve3-term-tpp-off-534933607-a3-policy-e0045,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:31:36.257747/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921245-3c74d66/snapshots/snapshot_45_0.6667",20755741,45,preserve3_terminal_tpp_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755741_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050.txt
