manifest_id	experiment_id	domain	value_head	seed	anchor	source_training_job_id	source_epoch	source_checkpoint	status	teacher	slurm_job_id	submitted_at
preserve3-term-tpp-on-534933607-a10	PRESERVE-3-TERM	tpp	on	534933607	10	20523020	53	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:48:37.457295/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911842-3c74d66/snapshots/snapshot_53_1.000	ready	hadd-astar	20755753	2026-08-30T21:07:36.652094+00:00
preserve3-term-tpp-on-923500475-a10	PRESERVE-3-TERM	tpp	on	923500475	10	20523029	51	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:06:25.960956/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911860-5194f74/snapshots/snapshot_51_1.000	ready	hadd-astar	20755754	2026-08-30T21:07:36.820064+00:00
preserve3-term-tpp-on-1073581256-a10	PRESERVE-3-TERM	tpp	on	1073581256	10	20523010	90	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:43:42.416701/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911837-1247c09/snapshots/snapshot_90_1.000	ready	hadd-astar	20755755	2026-08-30T21:07:36.977724+00:00
preserve3-term-tpp-on-1239739722-a10	PRESERVE-3-TERM	tpp	on	1239739722	10	20523013	67	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:45:38.484370/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911839-7d9a779/snapshots/snapshot_67_1.000	ready	hadd-astar	20755756	2026-08-30T21:07:37.123410+00:00
preserve3-term-tpp-on-1472491096-a10	PRESERVE-3-TERM	tpp	on	1472491096	10	20523017	52	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:45:04.741685/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911839-43e0a7a/snapshots/snapshot_52_1.000	ready	hadd-astar	20755757	2026-08-30T21:07:37.485218+00:00
preserve3-term-tpp-on-1510771779-a10	PRESERVE-3-TERM	tpp	on	1510771779	10	20523026	62	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:54:58.757497/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911849-17cc32a/snapshots/snapshot_62_1.000	ready	hadd-astar	20755759	2026-08-30T21:07:37.647333+00:00
preserve3-term-tpp-on-1963100312-a10	PRESERVE-3-TERM	tpp	on	1963100312	10	20523005	62	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:18:00.936166/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911812-2fc32f3/snapshots/snapshot_62_1.000	ready	hadd-astar	20755760	2026-08-30T21:07:37.804380+00:00
preserve3-term-tpp-on-1972442430-a10	PRESERVE-3-TERM	tpp	on	1972442430	10	20523032	58	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:11:34.514537/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911865-72aea46/snapshots/snapshot_58_1.000	ready	hadd-astar	20755761	2026-08-30T21:07:37.955720+00:00
preserve3-term-tpp-on-2011206605-a10	PRESERVE-3-TERM	tpp	on	2011206605	10	20523008	51	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:32:31.342171/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911826-067843/snapshots/snapshot_51_1.000	ready	hadd-astar	20755762	2026-08-30T21:07:38.100444+00:00
preserve3-term-tpp-on-2082152039-a10	PRESERVE-3-TERM	tpp	on	2082152039	10	20523023	59	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:52:43.460075/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911846-faf7d6/snapshots/snapshot_59_1.000	ready	hadd-astar	20755763	2026-08-30T21:07:38.268403+00:00
