manifest_id	experiment_id	domain	value_head	seed	anchor	source_training_job_id	source_epoch	source_checkpoint	status	teacher	slurm_job_id	submitted_at
preserve3-term-zenotravel-off-534933607-a30	PRESERVE-3-TERM	zenotravel	off	534933607	30	20523092	58	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T10:01:19.601151/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912155-3c74d66/snapshots/snapshot_58_0.500	ready	hadd-gbfs	20755764	2026-08-30T21:07:38.450106+00:00
preserve3-term-zenotravel-off-923500475-a30	PRESERVE-3-TERM	zenotravel	off	923500475	30	20523095	82	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T10:11:59.572840/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912166-5194f74/snapshots/snapshot_82_0.500	ready	hadd-gbfs	20755765	2026-08-30T21:07:38.612839+00:00
preserve3-term-zenotravel-off-1073581256-a30	PRESERVE-3-TERM	zenotravel	off	1073581256	30	20523089	164	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:48:56.884403/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912143-1247c09/snapshots/snapshot_164_0.500	ready	hadd-gbfs	20755766	2026-08-30T21:07:38.765062+00:00
preserve3-term-zenotravel-off-1239739722-a30	PRESERVE-3-TERM	zenotravel	off	1239739722	30	20523090	84	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:48:56.884404/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912143-7d9a779/snapshots/snapshot_84_0.500	ready	hadd-gbfs	20755768	2026-08-30T21:07:38.923943+00:00
preserve3-term-zenotravel-off-1472491096-a30	PRESERVE-3-TERM	zenotravel	off	1472491096	30	20523091	55	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:51:14.154764/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912145-43e0a7a/snapshots/snapshot_55_0.500	ready	hadd-gbfs	20755769	2026-08-30T21:07:39.384916+00:00
preserve3-term-zenotravel-off-1510771779-a30	PRESERVE-3-TERM	zenotravel	off	1510771779	30	20523094	92	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T10:09:56.848744/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912164-17cc32a/snapshots/snapshot_92_0.500	ready	hadd-gbfs	20755770	2026-08-30T21:07:39.540077+00:00
preserve3-term-zenotravel-off-1963100312-a30	PRESERVE-3-TERM	zenotravel	off	1963100312	30	20523086	58	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:26:54.514271/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912120-2fc32f3/snapshots/snapshot_58_0.500	ready	hadd-gbfs	20755771	2026-08-30T21:07:39.695538+00:00
preserve3-term-zenotravel-off-1972442430-a30	PRESERVE-3-TERM	zenotravel	off	1972442430	30	20523096	93	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T10:13:38.207105/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912167-72aea46/snapshots/snapshot_93_0.500	ready	hadd-gbfs	20755772	2026-08-30T21:07:39.849504+00:00
preserve3-term-zenotravel-off-2011206605-a30	PRESERVE-3-TERM	zenotravel	off	2011206605	30	20523088	60	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:42:52.195316/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912136-067843/snapshots/snapshot_60_0.500	ready	hadd-gbfs	20755773	2026-08-30T21:07:39.996958+00:00
preserve3-term-zenotravel-off-2082152039-a30	PRESERVE-3-TERM	zenotravel	off	2082152039	30	20523093	57	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T10:03:50.744304/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912157-faf7d6/snapshots/snapshot_57_0.500	ready	hadd-gbfs	20755776	2026-08-30T21:07:40.150463+00:00
