manifest_id	experiment_id	domain	value_head	seed	anchor	source_training_job_id	source_epoch	source_checkpoint	status	teacher	slurm_job_id	submitted_at
preserve3-term-zenotravel-on-534933607-a0p3	PRESERVE-3-TERM	zenotravel	on	534933607	0.3	20523080	54	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T08:13:48.892928/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912047-3c74d66/snapshots/snapshot_54_0.500	ready	hadd-gbfs	20755777	2026-08-30T21:07:40.302979+00:00
preserve3-term-zenotravel-on-923500475-a0p3	PRESERVE-3-TERM	zenotravel	on	923500475	0.3	20523084	57	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:23:08.132742/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912117-5194f74/snapshots/snapshot_57_0.500	ready	hadd-gbfs	20755778	2026-08-30T21:07:40.445951+00:00
preserve3-term-zenotravel-on-1073581256-a0p3	PRESERVE-3-TERM	zenotravel	on	1073581256	0.3	20523072	91	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T07:30:31.749127/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912004-1247c09/snapshots/snapshot_91_0.500	ready	hadd-gbfs	20755779	2026-08-30T21:07:40.595827+00:00
preserve3-term-zenotravel-on-1239739722-a0p3	PRESERVE-3-TERM	zenotravel	on	1239739722	0.3	20523074	57	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T07:44:03.276017/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912018-7d9a779/snapshots/snapshot_57_0.500	ready	hadd-gbfs	20755780	2026-08-30T21:07:40.751682+00:00
preserve3-term-zenotravel-on-1472491096-a0p3	PRESERVE-3-TERM	zenotravel	on	1472491096	0.3	20523077	110	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T08:08:17.748467/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912042-43e0a7a/snapshots/snapshot_110_0.500	ready	hadd-gbfs	20755781	2026-08-30T21:07:40.894135+00:00
preserve3-term-zenotravel-on-1510771779-a0p3	PRESERVE-3-TERM	zenotravel	on	1510771779	0.3	20523083	55	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:20:20.149184/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912114-17cc32a/snapshots/snapshot_55_0.500	ready	hadd-gbfs	20755782	2026-08-30T21:07:41.050426+00:00
preserve3-term-zenotravel-on-1963100312-a0p3	PRESERVE-3-TERM	zenotravel	on	1963100312	0.3	20523066	54	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T07:18:54.934962/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911993-2fc32f3/snapshots/snapshot_54_0.500	ready	hadd-gbfs	20755783	2026-08-30T21:07:41.199100+00:00
preserve3-term-zenotravel-on-1972442430-a0p3	PRESERVE-3-TERM	zenotravel	on	1972442430	0.3	20523085	57	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:22:51.141989/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912116-72aea46/snapshots/snapshot_57_0.500	ready	hadd-gbfs	20755785	2026-08-30T21:07:41.349103+00:00
preserve3-term-zenotravel-on-2011206605-a0p3	PRESERVE-3-TERM	zenotravel	on	2011206605	0.3	20523069	59	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T07:25:17.150315/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911999-067843/snapshots/snapshot_59_0.500	ready	hadd-gbfs	20755786	2026-08-30T21:07:41.506269+00:00
preserve3-term-zenotravel-on-2082152039-a0p3	PRESERVE-3-TERM	zenotravel	on	2082152039	0.3	20523082	72	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:02:29.989382/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912096-faf7d6/snapshots/snapshot_72_0.500	ready	hadd-gbfs	20755787	2026-08-30T21:07:41.665050+00:00
