manifest_id,domain,value_head,seed,anchor,original_job_id,final_job_id,original_state,final_state,validation_points,validation_auc,peak_validation,final_validation,original_log,final_log
cd4-anchor-tpp-off-1963100312-a0-stage2-train,tpp,off,1963100312,0,20553940,20553940,COMPLETED,COMPLETED,100,0.277666667,1.000000000,0.166666667,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553940_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523035_e0003_a0.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553940_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523035_e0003_a0.txt
cd4-anchor-tpp-off-1963100312-a0p03-stage2-train,tpp,off,1963100312,0.03,20553941,20553941,COMPLETED,COMPLETED,100,0.315333333,1.000000000,0.166666667,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553941_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523035_e0003_a0p03.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553941_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523035_e0003_a0p03.txt
cd4-anchor-tpp-off-1963100312-a0p3-stage2-train,tpp,off,1963100312,0.3,20553942,20595764,FAILED,COMPLETED,100,0.471333333,1.000000000,0.366666667,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553942_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523035_e0003_a0p3.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595764_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553942_ce0072_a0p3.txt
cd4-anchor-tpp-off-1963100312-a1-stage2-train,tpp,off,1963100312,1,20553943,20553943,COMPLETED,COMPLETED,100,0.975000000,1.000000000,0.633333333,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553943_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523035_e0003_a1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553943_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523035_e0003_a1.txt
cd4-anchor-tpp-off-1963100312-a10-stage2-train,tpp,off,1963100312,10,20553945,20553945,COMPLETED,COMPLETED,100,1.000000000,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553945_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523035_e0003_a10.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553945_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523035_e0003_a10.txt
cd4-anchor-tpp-off-1963100312-a3-stage2-train,tpp,off,1963100312,3,20553944,20595765,FAILED,COMPLETED,100,1.000000000,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553944_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523035_e0003_a3.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595765_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553944_ce0090_a3.txt
cd4-anchor-tpp-off-1963100312-a30-stage2-train,tpp,off,1963100312,30,20553946,20595766,FAILED,COMPLETED,100,1.000000000,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553946_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523035_e0003_a30.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595766_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553946_ce0092_a30.txt
cd4-anchor-tpp-off-2011206605-a0-stage2-train,tpp,off,2011206605,0,20553947,20595767,FAILED,COMPLETED,100,0.223666667,1.000000000,0.133333333,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553947_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20523038_e0001_a0.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595767_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4ATQCONT_src20553947_ce0076_a0.txt
cd4-anchor-tpp-off-2011206605-a0p03-stage2-train,tpp,off,2011206605,0.03,20553948,20595768,FAILED,COMPLETED,100,0.235000000,1.000000000,0.200000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553948_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20523038_e0001_a0p03.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595768_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4ATQCONT_src20553948_ce0061_a0p03.txt
cd4-anchor-tpp-off-2011206605-a0p3-stage2-train,tpp,off,2011206605,0.3,20553949,20595769,FAILED,COMPLETED,45,0.415555556,1.000000000,0.300000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553949_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20523038_e0001_a0p3.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595769_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4ATQCONT_src20553949_ce0071_a0p3.txt
