manifest_id,task_type,domain,value_head,seed,stage,status,teacher,source_checkpoint_ref,source_training_job_id,snapshot_epoch,analysis_roles,training_state,training_log
preserve4-tpp-off-534933607-stage2-a3-policy-e0000,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_0_1.0000",20684875,0,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0005,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_5_1.0000",20684875,5,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0010,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_10_1.0000",20684875,10,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0015,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_15_1.0000",20684875,15,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0020,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_20_1.0000",20684875,20,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0025,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_25_1.0000",20684875,25,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0030,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_30_1.0000",20684875,30,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0035,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_35_1.0000",20684875,35,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0040,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_40_1.0000",20684875,40,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0045,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_45_1.0000",20684875,45,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0050,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_50_1.0000",20684875,50,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0055,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_55_1.0000",20684875,55,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0060,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_60_1.0000",20684875,60,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0065,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_65_1.0000",20684875,65,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
preserve4-tpp-off-534933607-stage2-a3-policy-e0070,policy_eval,tpp,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_70_1.0000",20684875,70,preserve4_stage2_policy_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-28/preserve4_tpp_stage2_confirmation/20684875_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A3_src20523050.txt
