experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,preserve4-tpp-off-923500475-stage2-a3-policy-e0000,tpp,stage2,off,923500475,pw_kmin3,,,,20688004,20684876,0,preserve4_stage2_policy_curve,COMPLETED,01:05:20,1.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688004_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0000.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0005,tpp,stage2,off,923500475,pw_kmin3,,,,20688005,20684876,5,preserve4_stage2_policy_curve,COMPLETED,01:05:31,2.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688005_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0005.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0010,tpp,stage2,off,923500475,pw_kmin3,,,,20688006,20684876,10,preserve4_stage2_policy_curve,COMPLETED,00:08:59,20.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688006_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0010.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0015,tpp,stage2,off,923500475,pw_kmin3,,,,20688007,20684876,15,preserve4_stage2_policy_curve,COMPLETED,01:04:14,3.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688007_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0015.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0020,tpp,stage2,off,923500475,pw_kmin3,,,,20688008,20684876,20,preserve4_stage2_policy_curve,COMPLETED,00:09:18,20.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688008_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0020.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0025,tpp,stage2,off,923500475,pw_kmin3,,,,20688009,20684876,25,preserve4_stage2_policy_curve,COMPLETED,00:09:44,20.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688009_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0025.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0030,tpp,stage2,off,923500475,pw_kmin3,,,,20688010,20684876,30,preserve4_stage2_policy_curve,COMPLETED,00:08:24,20.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688010_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0030.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0035,tpp,stage2,off,923500475,pw_kmin3,,,,20688011,20684876,35,preserve4_stage2_policy_curve,COMPLETED,00:08:37,20.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688011_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0035.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0040,tpp,stage2,off,923500475,pw_kmin3,,,,20688012,20684876,40,preserve4_stage2_policy_curve,COMPLETED,00:10:04,20.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688012_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0040.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0045,tpp,stage2,off,923500475,pw_kmin3,,,,20688013,20684876,45,preserve4_stage2_policy_curve,COMPLETED,00:08:43,20.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688013_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0045.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0050,tpp,stage2,off,923500475,pw_kmin3,,,,20688014,20684876,50,preserve4_stage2_policy_curve,COMPLETED,00:08:36,20.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688014_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0050.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0055,tpp,stage2,off,923500475,pw_kmin3,,,,20688015,20684876,55,preserve4_stage2_policy_curve,COMPLETED,00:08:18,20.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688015_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0055.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0060,tpp,stage2,off,923500475,pw_kmin3,,,,20688016,20684876,60,preserve4_stage2_policy_curve,COMPLETED,00:08:27,20.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688016_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0060.txt
,preserve4-tpp-off-923500475-stage2-a3-policy-e0065,tpp,stage2,off,923500475,pw_kmin3,,,,20688017,20684876,65,preserve4_stage2_policy_curve,COMPLETED,00:08:35,20.0,20,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20688017_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0065.txt
