manifest_id,domain,value_head,seed,anchor,original_job_id,final_job_id,original_state,final_state,validation_points,validation_auc,peak_validation,final_validation,original_log,final_log
cd4-anchor-zenotravel-off-1963100312-a0-stage2-train,zenotravel,off,1963100312,0,20553968,20595775,FAILED,COMPLETED,41,0.973983740,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553968_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523086_e0008_a0.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595775_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553968_ce0094_a0.txt
cd4-anchor-zenotravel-off-1963100312-a0p03-stage2-train,zenotravel,off,1963100312,0.03,20553969,20553969,COMPLETED,COMPLETED,100,0.967666667,1.000000000,0.966666667,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553969_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523086_e0008_a0p03.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553969_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523086_e0008_a0p03.txt
cd4-anchor-zenotravel-off-1963100312-a0p3-stage2-train,zenotravel,off,1963100312,0.3,20553983,20553983,COMPLETED,COMPLETED,100,0.998666667,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553983_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523086_e0008_a0p3.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553983_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523086_e0008_a0p3.txt
cd4-anchor-zenotravel-off-1963100312-a1-stage2-train,zenotravel,off,1963100312,1,20553984,20595776,FAILED,COMPLETED,55,0.987272727,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553984_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523086_e0008_a1.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595776_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553984_ce0077_a1.txt
cd4-anchor-zenotravel-off-1963100312-a10-stage2-train,zenotravel,off,1963100312,10,20553986,20595778,FAILED,COMPLETED,41,1.000000000,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553986_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523086_e0008_a10.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595778_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553986_ce0092_a10.txt
cd4-anchor-zenotravel-off-1963100312-a3-stage2-train,zenotravel,off,1963100312,3,20553985,20595777,FAILED,COMPLETED,52,1.000000000,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553985_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523086_e0008_a3.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595777_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553985_ce0083_a3.txt
cd4-anchor-zenotravel-off-1963100312-a30-stage2-train,zenotravel,off,1963100312,30,20553987,20595779,FAILED,COMPLETED,63,1.000000000,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553987_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20523086_e0008_a30.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595779_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553987_ce0072_a30.txt
cd4-anchor-zenotravel-off-2011206605-a0-stage2-train,zenotravel,off,2011206605,0,20553989,20595780,FAILED,COMPLETED,67,0.967164179,1.000000000,0.933333333,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553989_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20523088_e0010_a0.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595780_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4ATQCONT_src20553989_ce0070_a0.txt
cd4-anchor-zenotravel-off-2011206605-a0p03-stage2-train,zenotravel,off,2011206605,0.03,20553990,20595781,FAILED,COMPLETED,65,0.962051282,1.000000000,0.933333333,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553990_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20523088_e0010_a0p03.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595781_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4ATQCONT_src20553990_ce0066_a0p03.txt
cd4-anchor-zenotravel-off-2011206605-a0p3-stage2-train,zenotravel,off,2011206605,0.3,20553991,20553991,COMPLETED,COMPLETED,100,0.973333333,1.000000000,0.966666667,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553991_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20523088_e0010_a0p3.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553991_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20523088_e0010_a0p3.txt
