manifest_id	domain	value_head	seed	slurm_job_id	policy_scope
preserve4-zenotravel-off-534933607-stage2-a30	zenotravel	off	534933607	20630369	selected_only
preserve4-zenotravel-off-923500475-stage2-a30	zenotravel	off	923500475	20630370	selected_only
preserve4-zenotravel-off-1073581256-stage2-a30	zenotravel	off	1073581256	20630371	selected_only
preserve4-zenotravel-off-1239739722-stage2-a30	zenotravel	off	1239739722	20630372	selected_only
preserve4-zenotravel-off-1472491096-stage2-a30	zenotravel	off	1472491096	20630373	selected_only
preserve4-zenotravel-off-1510771779-stage2-a30	zenotravel	off	1510771779	20630374	selected_only
preserve4-zenotravel-off-1972442430-stage2-a30	zenotravel	off	1972442430	20630375	selected_only
preserve4-zenotravel-off-2082152039-stage2-a30	zenotravel	off	2082152039	20630376	selected_only
preserve4-zenotravel-on-534933607-stage2-a0p3	zenotravel	on	534933607	20630378	selected_only
preserve4-zenotravel-on-923500475-stage2-a0p3	zenotravel	on	923500475	20630379	selected_only
preserve4-zenotravel-on-1073581256-stage2-a0p3	zenotravel	on	1073581256	20630380	selected_only
preserve4-zenotravel-on-1239739722-stage2-a0p3	zenotravel	on	1239739722	20630381	selected_only
preserve4-zenotravel-on-1472491096-stage2-a0p3	zenotravel	on	1472491096	20630382	selected_only
preserve4-zenotravel-on-1510771779-stage2-a0p3	zenotravel	on	1510771779	20630383	selected_only
preserve4-zenotravel-on-1972442430-stage2-a0p3	zenotravel	on	1972442430	20630384	selected_only
preserve4-zenotravel-on-2082152039-stage2-a0p3	zenotravel	on	2082152039	20630385	selected_only
preserve4-zenotravel-off-1963100312-stage2-a30	zenotravel	off	1963100312	20595779	all
preserve4-zenotravel-off-2011206605-stage2-a30	zenotravel	off	2011206605	20595785	all
preserve4-zenotravel-on-1963100312-stage2-a0p3	zenotravel	on	1963100312	20553956	all
preserve4-zenotravel-on-2011206605-stage2-a0p3	zenotravel	on	2011206605	20553963	all
