job_id,job_name,domain,value_head,seed,tag,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,exit_code,elapsed,successes,total,val_valid,val_invalid,classified_instances,successful_instance_runtime_seconds,source_evaluation_log,source_training_log
20720645,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOTRAVELS2P_src20630369_e0004,zenotravel,off,534933607,P4ZENOTRAVELS2P,20630369,4,stage2_policy_curve;stage2_validation_selected_policy,COMPLETED,0:0,00:12:34,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720645_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOTRAVELS2P_src20630369_e0004.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630369_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20523092.txt
20720646,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s923500475_K0_P4ZENOTRAVELS2P_src20630370_e0001,zenotravel,off,923500475,P4ZENOTRAVELS2P,20630370,1,stage2_policy_curve;stage2_validation_selected_policy,COMPLETED,0:0,00:11:05,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720646_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s923500475_K0_P4ZENOTRAVELS2P_src20630370_e0001.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630370_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s923500475_K0_P4S2A30_src20523095.txt
20720647,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1073581256_K0_P4ZENOTRAVELS2P_src20630371_e0008,zenotravel,off,1073581256,P4ZENOTRAVELS2P,20630371,8,stage2_policy_curve;stage2_validation_selected_policy,COMPLETED,0:0,00:10:54,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720647_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1073581256_K0_P4ZENOTRAVELS2P_src20630371_e0008.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630371_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1073581256_K0_P4S2A30_src20523089.txt
20720648,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1239739722_K0_P4ZENOTRAVELS2P_src20630372_e0007,zenotravel,off,1239739722,P4ZENOTRAVELS2P,20630372,7,stage2_policy_curve;stage2_validation_selected_policy,COMPLETED,0:0,00:13:38,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720648_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1239739722_K0_P4ZENOTRAVELS2P_src20630372_e0007.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630372_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1239739722_K0_P4S2A30_src20523090.txt
20720649,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1472491096_K0_P4ZENOTRAVELS2P_src20630373_e0083,zenotravel,off,1472491096,P4ZENOTRAVELS2P,20630373,83,stage2_policy_curve;stage2_validation_selected_policy,COMPLETED,0:0,00:14:51,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720649_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1472491096_K0_P4ZENOTRAVELS2P_src20630373_e0083.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630373_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1472491096_K0_P4S2A30_src20523091.txt
20720650,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1510771779_K0_P4ZENOTRAVELS2P_src20630374_e0000,zenotravel,off,1510771779,P4ZENOTRAVELS2P,20630374,0,stage2_policy_curve;stage2_validation_selected_policy,COMPLETED,0:0,00:15:17,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720650_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1510771779_K0_P4ZENOTRAVELS2P_src20630374_e0000.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630374_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1510771779_K0_P4S2A30_src20523094.txt
20720661,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0000,zenotravel,off,1963100312,P4ZENOTRAVELS2P,20595779,0,stage2_policy_curve,COMPLETED,0:0,00:12:35,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720661_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0000.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595779_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553987_ce0072_a30.txt
20720662,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0005,zenotravel,off,1963100312,P4ZENOTRAVELS2P,20595779,5,stage2_policy_curve,COMPLETED,0:0,00:10:24,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720662_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0005.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595779_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553987_ce0072_a30.txt
20720663,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0010,zenotravel,off,1963100312,P4ZENOTRAVELS2P,20595779,10,stage2_policy_curve,COMPLETED,0:0,00:11:55,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720663_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0010.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595779_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553987_ce0072_a30.txt
20720664,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0015,zenotravel,off,1963100312,P4ZENOTRAVELS2P,20595779,15,stage2_policy_curve,COMPLETED,0:0,00:08:44,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720664_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0015.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595779_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553987_ce0072_a30.txt
20720665,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0020,zenotravel,off,1963100312,P4ZENOTRAVELS2P,20595779,20,stage2_policy_curve,COMPLETED,0:0,00:08:56,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720665_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0020.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595779_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553987_ce0072_a30.txt
20720666,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0025,zenotravel,off,1963100312,P4ZENOTRAVELS2P,20595779,25,stage2_policy_curve,COMPLETED,0:0,00:13:13,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720666_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0025.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595779_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553987_ce0072_a30.txt
20720667,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0026,zenotravel,off,1963100312,P4ZENOTRAVELS2P,20595779,26,stage2_policy_curve;stage2_final_policy,COMPLETED,0:0,00:12:24,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720667_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20595779_e0026.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595779_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553987_ce0072_a30.txt
20720651,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1972442430_K0_P4ZENOTRAVELS2P_src20630375_e0000,zenotravel,off,1972442430,P4ZENOTRAVELS2P,20630375,0,stage2_policy_curve;stage2_validation_selected_policy,COMPLETED,0:0,00:12:12,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720651_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1972442430_K0_P4ZENOTRAVELS2P_src20630375_e0000.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630375_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1972442430_K0_P4S2A30_src20523096.txt
