job_id,job_name,domain,value_head,seed,tag,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,exit_code,elapsed,successes,total,val_valid,val_invalid,classified_instances,successful_instance_runtime_seconds,source_evaluation_log,source_training_log
20668600,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0000,zenotravel,off,534933607,P4ZENOS2P,20630369,0,stage2_policy_curve,COMPLETED,0:0,00:13:37,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-28/preserve4_zenotravel_stage2_policy_eval/20668600_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0000.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630369_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20523092.txt
20668603,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0005,zenotravel,off,534933607,P4ZENOS2P,20630369,5,stage2_policy_curve,COMPLETED,0:0,00:12:17,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-28/preserve4_zenotravel_stage2_policy_eval/20668603_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0005.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630369_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20523092.txt
20668605,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0010,zenotravel,off,534933607,P4ZENOS2P,20630369,10,stage2_policy_curve,COMPLETED,0:0,00:12:09,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-28/preserve4_zenotravel_stage2_policy_eval/20668605_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0010.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630369_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20523092.txt
20668607,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0015,zenotravel,off,534933607,P4ZENOS2P,20630369,15,stage2_policy_curve,COMPLETED,0:0,00:11:12,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-28/preserve4_zenotravel_stage2_policy_eval/20668607_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0015.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630369_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20523092.txt
20668609,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0020,zenotravel,off,534933607,P4ZENOS2P,20630369,20,stage2_policy_curve,COMPLETED,0:0,00:11:05,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-28/preserve4_zenotravel_stage2_policy_eval/20668609_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0020.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630369_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20523092.txt
20668611,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0025,zenotravel,off,534933607,P4ZENOS2P,20630369,25,stage2_policy_curve,COMPLETED,0:0,00:09:50,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-28/preserve4_zenotravel_stage2_policy_eval/20668611_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0025.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630369_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20523092.txt
20668613,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0030,zenotravel,off,534933607,P4ZENOS2P,20630369,30,stage2_policy_curve,COMPLETED,0:0,00:12:48,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-28/preserve4_zenotravel_stage2_policy_eval/20668613_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0030.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630369_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20523092.txt
20668615,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0035,zenotravel,off,534933607,P4ZENOS2P,20630369,35,stage2_policy_curve,COMPLETED,0:0,00:09:53,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-28/preserve4_zenotravel_stage2_policy_eval/20668615_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0035.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630369_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20523092.txt
20668617,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0040,zenotravel,off,534933607,P4ZENOS2P,20630369,40,stage2_policy_curve,COMPLETED,0:0,00:12:57,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-28/preserve4_zenotravel_stage2_policy_eval/20668617_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0040.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630369_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20523092.txt
20668619,Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0045,zenotravel,off,534933607,P4ZENOS2P,20630369,45,stage2_policy_curve,COMPLETED,0:0,00:09:33,20,20,20,0,0,,/home/hersco/training_new_domains/2026-08-28/preserve4_zenotravel_stage2_policy_eval/20668619_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOS2P_src20630369_e0045.txt,/home/hersco/training_new_domains/2026-08-27/preserve4_zenotravel_stage2_confirmation/20630369_Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P4S2A30_src20523092.txt
