pair_index,domain,seed,seed_role,historical_epoch0_score,legacy_score,deterministic_score,total,legacy_training_job,deterministic_training_job,legacy_endpoint_job,deterministic_endpoint_job,legacy_training_log,deterministic_training_log,legacy_endpoint_log,deterministic_endpoint_log,causal_status
0,block_grouping,42,weak,13,14,15,20,21415209_0,21415209_1,21415210_0,21415210_1,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_0.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_1.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_0.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_1.txt,descriptive_replay_not_frozen
1,block_grouping,2026,control,14,13,15,20,21415209_2,21415209_3,21428593_2,21428593_3,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_2.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_3.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21428593_2.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21428593_3.txt,descriptive_replay_not_frozen
2,drone,2026,weak,4,5,5,20,21415209_4,21415209_5,21415210_4,21415210_5,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_4.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_5.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_4.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_5.txt,descriptive_replay_not_frozen
3,drone,42,control,4,6,4,20,21415209_6,21415209_7,21415210_6,21415210_7,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_6.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_7.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_6.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_7.txt,descriptive_replay_not_frozen
4,fo_counters,2026,weak,10,6,6,20,21415209_8,21415209_9,21428593_8,21428593_9,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_8.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_9.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21428593_8.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21428593_9.txt,descriptive_replay_not_frozen
5,fo_counters,42,control,5,7,4,20,21415209_10,21415209_11,21428593_10,21428593_11,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_10.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_11.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21428593_10.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21428593_11.txt,descriptive_replay_not_frozen
6,rover,42,weak,4,4,4,20,21415209_12,21415209_13,21415210_12,21415210_13,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_12.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_13.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_12.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_13.txt,descriptive_replay_not_frozen
7,rover,2026,control,4,4,4,20,21415209_14,21415209_15,21415210_14,21415210_15,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_14.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_15.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_14.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_15.txt,descriptive_replay_not_frozen
8,counters,534933607,weak,4,6,44,59,21415209_16,21415209_17,21415210_16,21415210_17,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_16.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_17.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_16.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_17.txt,descriptive_replay_not_frozen
9,counters,2082152039,control,59,47,47,59,21415209_18,21415209_19,21415210_18,21415210_19,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_18.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/train_21415209_19.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_18.txt,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/endpoint_21415210_19.txt,descriptive_replay_not_frozen
