domain,seed,seed_role,legacy_endpoint_score,deterministic_endpoint_score,total,legacy_first_weighted_anchor_gradient_l2,deterministic_first_weighted_anchor_gradient_l2,legacy_first_policy_anchor_cosine,deterministic_first_policy_anchor_cosine,optimizer_rng_schedule_equal,replay_batch_identity_verified,causal_endpoint_interpretation,legacy_audit_log,deterministic_audit_log
block_grouping,42,weak,14,15,20,0.308516562,0.000000060,-0.766250312,-0.682787657,true,false,descriptive_only,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/block_grouping_42_now_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/block_grouping_42_deterministic_current/first_update_audit.jsonl
block_grouping,2026,control,13,15,20,0.312831432,0.000000213,-0.318059951,0.869384527,true,false,descriptive_only,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/block_grouping_2026_now_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/block_grouping_2026_deterministic_current/first_update_audit.jsonl
drone,2026,weak,5,5,20,2.282370090,0.000000188,-0.432048589,-0.005632219,true,false,descriptive_only,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/drone_2026_now_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/drone_2026_deterministic_current/first_update_audit.jsonl
drone,42,control,6,4,20,3.882774115,0.000000205,0.338581473,0.358102888,true,false,descriptive_only,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/drone_42_now_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/drone_42_deterministic_current/first_update_audit.jsonl
fo_counters,2026,weak,6,6,20,1.299070358,0.000000220,0.744246840,-0.210290849,true,false,descriptive_only,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/fo_counters_2026_now_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/fo_counters_2026_deterministic_current/first_update_audit.jsonl
fo_counters,42,control,7,4,20,0.998256564,0.000000240,0.805396378,0.183270156,true,false,descriptive_only,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/fo_counters_42_now_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/fo_counters_42_deterministic_current/first_update_audit.jsonl
rover,42,weak,4,4,20,9.120746613,0.000000771,-0.486118734,0.248424873,true,false,descriptive_only,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/rover_42_now_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/rover_42_deterministic_current/first_update_audit.jsonl
rover,2026,control,4,4,20,9.921906471,0.000000973,-0.488700747,0.627898157,true,false,descriptive_only,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/rover_2026_now_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/rover_2026_deterministic_current/first_update_audit.jsonl
counters,534933607,weak,6,44,59,0.667394519,0.000000138,-0.054735426,0.846315563,true,false,descriptive_only,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/counters_534933607_now_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/counters_534933607_deterministic_current/first_update_audit.jsonl
counters,2082152039,control,47,47,59,1.126833797,0.000000095,0.530870676,-0.164045438,true,false,descriptive_only,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/counters_2082152039_now_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/counters_2082152039_deterministic_current/first_update_audit.jsonl
