pair_index,domain,seed,legacy_anchor_gradient_l2,deterministic_anchor_gradient_l2,legacy_policy_gradient_l2,deterministic_policy_gradient_l2,legacy_total_gradient_l2,deterministic_total_gradient_l2,legacy_audit,deterministic_audit
0,block_grouping,42,0.30851656198501587,1.4740689380232652e-07,2.2965495586395264,2.2965495586395264,2.0667335987091064,2.2939066886901855,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/block_grouping_42_frozen_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/block_grouping_42_frozen_deterministic_current/first_update_audit.jsonl
1,block_grouping,2026,0.31283143162727356,5.771422024736239e-07,2.208714008331299,2.208714008331299,2.126584529876709,2.2054052352905273,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/block_grouping_2026_frozen_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/block_grouping_2026_frozen_deterministic_current/first_update_audit.jsonl
2,drone,2026,2.282370090484619,1.1687934176052295e-07,0.7011480331420898,0.7011480331420898,2.083434581756592,0.7086007595062256,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/drone_2026_frozen_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/drone_2026_frozen_deterministic_current/first_update_audit.jsonl
3,drone,42,3.8827741146087646,2.0515317089575547e-07,0.965324342250824,0.965324342250824,4.311522006988525,0.9747000932693481,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/drone_42_frozen_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/drone_42_frozen_deterministic_current/first_update_audit.jsonl
4,fo_counters,2026,1.2990703582763672,1.774526907638574e-07,2.2991080284118652,2.2991080284118652,3.379389524459839,2.296992063522339,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/fo_counters_2026_frozen_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/fo_counters_2026_frozen_deterministic_current/first_update_audit.jsonl
5,fo_counters,42,0.9982565641403198,2.478919327586482e-07,1.886566162109375,1.886566162109375,2.7551681995391846,1.8847671747207642,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/fo_counters_42_frozen_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/fo_counters_42_frozen_deterministic_current/first_update_audit.jsonl
6,rover,42,9.120746612548828,7.710390832471603e-07,5.844837665557861,5.844837665557861,8.096624374389648,5.843352317810059,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/rover_42_frozen_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/rover_42_frozen_deterministic_current/first_update_audit.jsonl
7,rover,2026,9.921906471252441,9.72525185716222e-07,8.77716064453125,8.77716064453125,9.508515357971191,8.776598930358887,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/rover_2026_frozen_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/rover_2026_frozen_deterministic_current/first_update_audit.jsonl
8,counters,534933607,0.6673945188522339,1.8438483095906122e-07,0.7396879196166992,0.7396879196166992,0.9789663553237915,0.7374326586723328,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/counters_534933607_frozen_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/counters_534933607_frozen_deterministic_current/first_update_audit.jsonl
9,counters,2082152039,1.1268337965011597,7.543857805103471e-08,1.358511209487915,1.358511209487915,2.188044309616089,1.3605620861053467,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/counters_2082152039_frozen_legacy/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/outputs/counters_2082152039_frozen_deterministic_current/first_update_audit.jsonl
