pair_index,domain,seed,checkpoint_file,checkpoint_sha256,replay_file_count,checksum_manifest
0,block_grouping,42,/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_dynamic-2025-01-20T12:05:26.798164_41_hours_not_completed_properly/P/snapshots/snapshot_948_0.250000.pkl,8d61b5fc8d60e27bb00286cbce26c25d10d0905a2894cab89b96280ec2a55a25,60,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/frozen_input_checksums/pair_0.sha256
1,block_grouping,2026,/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_dynamic-2025-01-20T12:05:26.798164_41_hours_not_completed_properly/P/snapshots/snapshot_948_0.250000.pkl,8d61b5fc8d60e27bb00286cbce26c25d10d0905a2894cab89b96280ec2a55a25,60,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/frozen_input_checksums/pair_1.sha256
2,drone,2026,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T12:05:18.384799/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[603000]-04339159-1d27f5b/snapshots/snapshot_56_0.250000.pkl",e4e8e3c6ca9f4d706e829c5fb11be2bd9e9e1bdd7917254ee83d04869851920f,60,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/frozen_input_checksums/pair_2.sha256
3,drone,42,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T12:05:18.384799/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[603000]-04339159-1d27f5b/snapshots/snapshot_56_0.250000.pkl",e4e8e3c6ca9f4d706e829c5fb11be2bd9e9e1bdd7917254ee83d04869851920f,60,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/frozen_input_checksums/pair_3.sha256
4,fo_counters,2026,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture.actprop_2l_fluent-2025-07-22T16:32:02.325216/P[domain,instance_2,instance_3,instance_4]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[603000]-04337986-2745680/snapshots/snapshot_228_1.000000.pkl",c4af7fa5a1d6a80bcb78575208e3efd5e92aeefe0c12e74f70f7b0aa247a2ce3,60,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/frozen_input_checksums/pair_4.sha256
5,fo_counters,42,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture.actprop_2l_fluent-2025-07-22T16:32:02.325216/P[domain,instance_2,instance_3,instance_4]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[603000]-04337986-2745680/snapshots/snapshot_228_1.000000.pkl",c4af7fa5a1d6a80bcb78575208e3efd5e92aeefe0c12e74f70f7b0aa247a2ce3,60,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/frozen_input_checksums/pair_5.sha256
6,rover,42,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T15:45:28.566224/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[603000]-04339379-6de1a75/snapshots/snapshot_145_0.750000.pkl",deb8007ca164cda064ebe53d2f46383e0318a186f3933dd94037c4b83fe343f3,60,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/frozen_input_checksums/pair_6.sha256
7,rover,2026,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T15:45:28.566224/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[603000]-04339379-6de1a75/snapshots/snapshot_145_0.750000.pkl",deb8007ca164cda064ebe53d2f46383e0318a186f3933dd94037c4b83fe343f3,60,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/frozen_input_checksums/pair_7.sha256
8,counters,534933607,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.114960/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_43_1.000/weights.joblib",3771827ba9c9c1b08f06cd579516631069ad903e0fe0aa6cf29d9c5c5a4a0a72,60,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/frozen_input_checksums/pair_8.sha256
9,counters,2082152039,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.109794/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-faf7d6/snapshots/snapshot_12_1.000/weights.joblib",f67076237a28e81613843986ec2e7bafb5e31782392a690d20406831c491e252,60,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/frozen_input_checksums/pair_9.sha256
