pair_index,domain,seed_role,seed,total,source_checkpoint,frozen_replay_directory,legacy_task,deterministic_task,optimizer_rng_base_seed,status
0,block_grouping,weak,42,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_dynamic-2025-01-20T12:05:26.798164_41_hours_not_completed_properly/P/snapshots/snapshot_948_0.250000.pkl",/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/block_grouping_42_now_legacy/first_update_audit.jsonl.batches,0,1,880000,approved_submission
1,block_grouping,control,2026,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_dynamic-2025-01-20T12:05:26.798164_41_hours_not_completed_properly/P/snapshots/snapshot_948_0.250000.pkl",/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/block_grouping_2026_now_legacy/first_update_audit.jsonl.batches,2,3,880001,approved_submission
2,drone,weak,2026,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T12:05:18.384799/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[603000]-04339159-1d27f5b/snapshots/snapshot_56_0.250000.pkl",/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/drone_2026_now_legacy/first_update_audit.jsonl.batches,4,5,880002,approved_submission
3,drone,control,42,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T12:05:18.384799/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[603000]-04339159-1d27f5b/snapshots/snapshot_56_0.250000.pkl",/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/drone_42_now_legacy/first_update_audit.jsonl.batches,6,7,880003,approved_submission
4,fo_counters,weak,2026,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture.actprop_2l_fluent-2025-07-22T16:32:02.325216/P[domain,instance_2,instance_3,instance_4]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[603000]-04337986-2745680/snapshots/snapshot_228_1.000000.pkl",/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/fo_counters_2026_now_legacy/first_update_audit.jsonl.batches,8,9,880004,approved_submission
5,fo_counters,control,42,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture.actprop_2l_fluent-2025-07-22T16:32:02.325216/P[domain,instance_2,instance_3,instance_4]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[603000]-04337986-2745680/snapshots/snapshot_228_1.000000.pkl",/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/fo_counters_42_now_legacy/first_update_audit.jsonl.batches,10,11,880005,approved_submission
6,rover,weak,42,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T15:45:28.566224/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[603000]-04339379-6de1a75/snapshots/snapshot_145_0.750000.pkl",/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/rover_42_now_legacy/first_update_audit.jsonl.batches,12,13,880006,approved_submission
7,rover,control,2026,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T15:45:28.566224/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[603000]-04339379-6de1a75/snapshots/snapshot_145_0.750000.pkl",/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/rover_2026_now_legacy/first_update_audit.jsonl.batches,14,15,880007,approved_submission
8,counters,weak,534933607,59,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.114960/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_43_1.000",/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/counters_534933607_now_legacy/first_update_audit.jsonl.batches,16,17,880008,approved_submission
9,counters,control,2082152039,59,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.109794/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-faf7d6/snapshots/snapshot_12_1.000",/home/hersco/training_new_domains/2026-09-16/imperfect_kl_semantics_screen/v2_exact_legacy_architecture/counters_2082152039_now_legacy/first_update_audit.jsonl.batches,18,19,880009,approved_submission
