snapshot_time_idt,pair_index,domain,seed,total,legacy_task,legacy_score,deterministic_task,deterministic_score,deterministic_minus_legacy,status,legacy_log,deterministic_log,verification_file
2026-09-17T15:28:11+03:00,0,block_grouping,42,20,0,,1,15,,legacy_endpoint_held,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_0.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_1.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/pair_verification.csv
2026-09-17T15:28:11+03:00,1,block_grouping,2026,20,2,13,3,15,2,complete,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_2.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_3.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/pair_verification.csv
2026-09-17T15:28:11+03:00,2,drone,2026,20,4,5,5,5,0,complete,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_4.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_5.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/pair_verification.csv
2026-09-17T15:28:11+03:00,3,drone,42,20,6,6,7,4,-2,complete,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_6.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_7.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/pair_verification.csv
2026-09-17T15:28:11+03:00,4,fo_counters,2026,20,8,6,9,3,-3,complete,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_8.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_9.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/pair_verification.csv
2026-09-17T15:28:11+03:00,5,fo_counters,42,20,10,7,11,4,-3,complete,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_10.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_11.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/pair_verification.csv
2026-09-17T15:28:11+03:00,6,rover,42,20,12,4,13,4,0,complete,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_12.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_13.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/pair_verification.csv
2026-09-17T15:28:11+03:00,7,rover,2026,20,14,4,15,4,0,complete,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_14.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_15.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/pair_verification.csv
2026-09-17T15:28:11+03:00,8,counters,534933607,59,16,6,17,35,29,complete,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_16.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_17.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/pair_verification.csv
2026-09-17T15:28:11+03:00,9,counters,2082152039,59,18,59,19,38,-21,complete,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_18.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/endpoint_21430553_19.txt,/home/hersco/training_new_domains/2026-09-17/imperfect_kl_frozen_replay_crossover/pair_verification.csv
