lineage_index,new_pair_index,domain,seed,total,source_training_job_id,source_policy_job_id,starting_policy_score,source_checkpoint,source_checkpoint_epoch,source_training_log,source_policy_log,optimizer_rng_base_seed,reuse_status,existing_pair_index
0,0,block_grouping,534933607,20,20401192,20425164,17,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.922313/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-3c74d66/snapshots/snapshot_12_0.333",12,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401192_Tr_block_grouping_block_grouping_orig_novh_c.1_s534933607_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425164_Ev_block_grouping_block_grouping_orig_novh_c.1_s534933607_SR10P_src20401192_e0012.txt,890000,new_capture_and_pair,
1,1,block_grouping,923500475,20,20401195,20425208,16,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:03.058457/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905447-5194f74/snapshots/snapshot_8_0.333",8,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401195_Tr_block_grouping_block_grouping_orig_novh_c.1_s923500475_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425208_Ev_block_grouping_block_grouping_orig_novh_c.1_s923500475_SR10P_src20401195_e0008.txt,890001,new_capture_and_pair,
2,2,block_grouping,1073581256,20,20401189,20424895,15,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920504/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-1247c09/snapshots/snapshot_23_0.333",23,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401189_Tr_block_grouping_block_grouping_orig_novh_c.1_s1073581256_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,890002,new_capture_and_pair,
3,3,block_grouping,1239739722,20,20401190,20425135,17,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920505/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-7d9a779/snapshots/snapshot_27_0.333",27,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401190_Tr_block_grouping_block_grouping_orig_novh_c.1_s1239739722_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425135_Ev_block_grouping_block_grouping_orig_novh_c.1_s1239739722_SR10P_src20401190_e0027.txt,890003,new_capture_and_pair,
4,4,block_grouping,1472491096,20,20401191,20425141,15,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920498/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-43e0a7a/snapshots/snapshot_30_0.500",30,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401191_Tr_block_grouping_block_grouping_orig_novh_c.1_s1472491096_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425141_Ev_block_grouping_block_grouping_orig_novh_c.1_s1472491096_SR10P_src20401191_e0030.txt,890004,new_capture_and_pair,
5,5,block_grouping,1510771779,20,20401194,20425196,18,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920887/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-17cc32a/snapshots/snapshot_34_0.333",34,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401194_Tr_block_grouping_block_grouping_orig_novh_c.1_s1510771779_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425196_Ev_block_grouping_block_grouping_orig_novh_c.1_s1510771779_SR10P_src20401194_e0034.txt,890005,new_capture_and_pair,
6,6,block_grouping,1963100312,20,20401187,20424828,18,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920511/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_44_0.333",44,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401187_Tr_block_grouping_block_grouping_orig_novh_c.1_s1963100312_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424828_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20401187_e0044.txt,890006,new_capture_and_pair,
7,7,block_grouping,1972442430,20,20401196,20425222,17,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:03.074053/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905447-72aea46/snapshots/snapshot_17_0.500",17,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401196_Tr_block_grouping_block_grouping_orig_novh_c.1_s1972442430_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425222_Ev_block_grouping_block_grouping_orig_novh_c.1_s1972442430_SR10P_src20401196_e0017.txt,890007,new_capture_and_pair,
8,8,block_grouping,2011206605,20,20401188,20424847,15,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920497/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_40_0.250",40,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401188_Tr_block_grouping_block_grouping_orig_novh_c.1_s2011206605_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424847_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10P_src20401188_e0040.txt,890008,new_capture_and_pair,
9,9,block_grouping,2082152039,20,20401193,20425179,15,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920514/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-faf7d6/snapshots/snapshot_18_0.333",18,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401193_Tr_block_grouping_block_grouping_orig_novh_c.1_s2082152039_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425179_Ev_block_grouping_block_grouping_orig_novh_c.1_s2082152039_SR10P_src20401193_e0018.txt,890009,new_capture_and_pair,
10,10,drone,534933607,20,20401213,20450836,11,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913938/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_69_0.500",69,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401213_Tr_drone_drone_orig_novh_c.1_s534933607_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450836_Ev_drone_drone_orig_novh_c.1_s534933607_SR10P_src20401213_e0069.txt,890010,new_capture_and_pair,
11,11,drone,923500475,20,20401216,20425862,2,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913677/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-5194f74/snapshots/snapshot_1_0.000",1,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401216_Tr_drone_drone_orig_novh_c.1_s923500475_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425862_Ev_drone_drone_orig_novh_c.1_s923500475_SR10P_src20401216_e0001.txt,890011,new_capture_and_pair,
12,12,drone,1073581256,20,20401209,20450765,5,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913241/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_90_0.625",90,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401209_Tr_drone_drone_orig_novh_c.1_s1073581256_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450765_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20401209_e0090.txt,890012,new_capture_and_pair,
13,13,drone,1239739722,20,20401210,20425819,5,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913253/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-7d9a779/snapshots/snapshot_51_0.625",51,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401210_Tr_drone_drone_orig_novh_c.1_s1239739722_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425819_Ev_drone_drone_orig_novh_c.1_s1239739722_SR10P_src20401210_e0051.txt,890013,new_capture_and_pair,
14,14,drone,1472491096,20,20401212,20450812,10,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913424/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-43e0a7a/snapshots/snapshot_92_0.750",92,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401212_Tr_drone_drone_orig_novh_c.1_s1472491096_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450812_Ev_drone_drone_orig_novh_c.1_s1472491096_SR10P_src20401212_e0092.txt,890014,new_capture_and_pair,
15,15,drone,1510771779,20,20401215,20425851,3,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913650/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-17cc32a/snapshots/snapshot_16_0.250",16,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401215_Tr_drone_drone_orig_novh_c.1_s1510771779_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425851_Ev_drone_drone_orig_novh_c.1_s1510771779_SR10P_src20401215_e0016.txt,890015,new_capture_and_pair,
