lineage_index,domain,seed,total,starting_policy,legacy_epoch0,deterministic_epoch0,det_minus_legacy,reuse_status,source_checkpoint,source_checkpoint_sha256,source_policy_job_id
0,block_grouping,534933607,20,17,14,17,3,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.922313/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-3c74d66/snapshots/snapshot_12_0.333",0897ed09f9151b62afdc61c87527dd873a6a2e70025dddd6d312be01902ffd8b,20425164
1,block_grouping,923500475,20,16,14,15,1,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:03.058457/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905447-5194f74/snapshots/snapshot_8_0.333",5a89d5c43a869e1e0c2424d011e764982dc5d69f42333ea79060dcd97ae7eeec,20425208
2,block_grouping,1073581256,20,15,16,16,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920504/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-1247c09/snapshots/snapshot_23_0.333",bff5f3a4bc39ec85529632bdeb7968850901337033f8d17e566651564112aec2,20424895
3,block_grouping,1239739722,20,17,16,16,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920505/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-7d9a779/snapshots/snapshot_27_0.333",8aab34813e1d0ef190b7e1a9376e3aa91a11aaaed3ba1828bec85ff3e2539104,20425135
4,block_grouping,1472491096,20,15,13,13,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920498/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-43e0a7a/snapshots/snapshot_30_0.500",5b19457ee189efc007fe2f0f6dd66701ba15b6c688024237252d42ef798f3077,20425141
5,block_grouping,1510771779,20,18,17,15,-2,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920887/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-17cc32a/snapshots/snapshot_34_0.333",f93aec020ab516841eba05646057c541fc4aeb2752886f4d2bc4c054b389b650,20425196
6,block_grouping,1963100312,20,18,16,14,-2,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920511/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_44_0.333",497ae9ebaab8cd6ceefda733007fffa81da2807a73a153548b95bfd897dee7dd,20424828
7,block_grouping,1972442430,20,17,15,16,1,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:03.074053/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905447-72aea46/snapshots/snapshot_17_0.500",7f871c0dcfa2b1a5d1dee94c039a20ce2f09c68b842ba4f0bb6f4112f8412813,20425222
8,block_grouping,2011206605,20,15,15,15,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920497/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_40_0.250",5585df6a59164e68f68cd7dec87b78ec3383d229bdb42bceca977a620aa66b6f,20424847
9,block_grouping,2082152039,20,15,10,15,5,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920514/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-faf7d6/snapshots/snapshot_18_0.333",1472bc919ac5b54a6e20f696bb63a1039857eedde512c903ae6296381480a8c9,20425179
