domain,value_head,branch,n,total,stage1_mean,stage2_mean,mean_change_plans,change_percentage_points,ci95_low_percentage_points,ci95_high_percentage_points,p_value,p_adjustment,provisional,source_seed_or_statistics_ledger
block_grouping,off,validation,10,20,16.3,16.0,-0.3,-1.5,-5.976626966813294,2.976626966813294,1.0,Holm,False,experiment_tracking/experiment_statistics.csv
block_grouping,off,terminal,10,20,16.3,16.3,0.0,0.0,-4.7687147115339155,4.7687147115339155,1.0,Holm,False,experiment_tracking/experiment_statistics.csv
block_grouping,on,validation,10,20,15.9,12.8,-3.1,-15.5,-25.817684866286623,-5.182315133713378,0.15625,Holm,False,experiment_tracking/experiment_statistics.csv
block_grouping,on,terminal,10,20,15.0,11.6,-3.4,-17.0,-26.265307118493155,-7.7346928815068425,0.078125,Holm,False,experiment_tracking/experiment_statistics.csv
drone,off,validation,10,20,5.9,6.7,0.8,4.0,-6.36578622199011,14.36578622199011,1.0,Holm,False,experiment_tracking/experiment_statistics.csv
drone,off,terminal,10,20,7.4,7.8,0.4,2.0,-6.6299244492637355,10.629924449263736,1.0,Holm,False,experiment_tracking/experiment_statistics.csv
drone,on,validation,10,20,5.1,5.0,-0.1,-0.5,-6.683259739004986,5.683259739004984,1.0,Holm,False,experiment_tracking/experiment_statistics.csv
drone,on,terminal,10,20,7.2,6.5,-0.7,-3.5,-8.844897473291699,1.8448974732917,1.0,Holm,False,experiment_tracking/experiment_statistics.csv
fo_counters,off,validation,10,20,4.2,2.9,-1.3,-6.5,-11.844897473291699,-1.1551025267083004,0.421875,Holm,False,experiment_tracking/experiment_statistics.csv
fo_counters,off,terminal,10,20,3.6,2.8,-0.8,-4.0,-7.286609803429668,-0.7133901965703321,0.4375,Holm,False,experiment_tracking/experiment_statistics.csv
fo_counters,on,validation,10,20,3.7,3.1,-0.6,-3.0,-7.523999999999999,1.5239999999999998,1.0,Holm,False,experiment_tracking/experiment_statistics.csv
fo_counters,on,terminal,10,20,3.3,3.8,0.5,2.5,-2.0396811562046944,7.039681156204695,1.0,Holm,False,experiment_tracking/experiment_statistics.csv
rover,off,validation,10,20,4.0,4.0,0.0,0.0,0.0,0.0,1.0,Holm,False,experiment_tracking/experiment_statistics.csv
rover,off,terminal,10,20,3.8,3.8,0.0,0.0,-1.685995255034841,1.685995255034841,1.0,Holm,False,experiment_tracking/experiment_statistics.csv
rover,on,validation,10,20,3.8,3.9,0.1,0.5,-1.5302071322897082,2.530207132289708,1.0,Holm,False,experiment_tracking/experiment_statistics.csv
