branch,domain,value_head,seed,stage1,stage2,change,stage1_log,stage2_log
validation,delivery,off,534933607,20.0,18.0,-2.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544474_Ev_delivery_delivery_orig_novh_c.1_s534933607_CD4P_src20522935_e0003.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20720628_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P4DELIVERYS2P_src20669726_e0031.txt
validation,delivery,off,923500475,20.0,18.0,-2.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541034_Ev_delivery_delivery_orig_novh_c.1_s923500475_CD4P_src20522942_e0005.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20747764_Ev_delivery_delivery_mcts_orig_novh_c.1_s923500475_K0_P4DELIVERYS2P_src20669727_e0000.txt
validation,delivery,off,1073581256,18.0,20.0,2.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20559361_Ev_delivery_delivery_orig_novh_c.1_s1073581256_CD4P_src20522926_e0083.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20721122_Ev_delivery_delivery_mcts_orig_novh_c.1_s1073581256_K0_P4DELIVERYS2P_src20669728_e0001.txt
validation,delivery,off,1239739722,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20553511_Ev_delivery_delivery_orig_novh_c.1_s1239739722_CD4P_src20522929_e0014.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20720630_Ev_delivery_delivery_mcts_orig_novh_c.1_s1239739722_K0_P4DELIVERYS2P_src20669729_e0007.txt
validation,delivery,off,1472491096,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20553526_Ev_delivery_delivery_orig_novh_c.1_s1472491096_CD4P_src20522932_e0013.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20740589_Ev_delivery_delivery_mcts_orig_novh_c.1_s1472491096_K0_P4DELIVERYS2P_src20669730_e0002.txt
validation,delivery,off,1510771779,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546045_Ev_delivery_delivery_orig_novh_c.1_s1510771779_CD4P_src20522939_e0007.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20720632_Ev_delivery_delivery_mcts_orig_novh_c.1_s1510771779_K0_P4DELIVERYS2P_src20669731_e0004.txt
validation,delivery,off,1963100312,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546021_Ev_delivery_delivery_orig_novh_c.1_s1963100312_CD4P_src20522923_e0018.txt,/home/hersco/training_new_domains/2026-09-01/preserve4_delivery_stage2_policy_eval/20835064_Ev_delivery_delivery_mcts_orig_novh_c.1_s1963100312_K0_P4DELIVERYS2P_TUNINGSEL_src20553890_e0003.txt
validation,delivery,off,1972442430,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541056_Ev_delivery_delivery_orig_novh_c.1_s1972442430_CD4P_src20522945_e0002.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20720634_Ev_delivery_delivery_mcts_orig_novh_c.1_s1972442430_K0_P4DELIVERYS2P_src20669732_e0003.txt
validation,delivery,off,2011206605,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544462_Ev_delivery_delivery_orig_novh_c.1_s2011206605_CD4P_src20522924_e0002.txt,/home/hersco/training_new_domains/2026-09-01/preserve4_delivery_stage2_policy_eval/20835065_Ev_delivery_delivery_mcts_orig_novh_c.1_s2011206605_K0_P4DELIVERYS2P_TUNINGSEL_src20553897_e0001.txt
validation,delivery,off,2082152039,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541023_Ev_delivery_delivery_orig_novh_c.1_s2082152039_CD4P_src20522937_e0010.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20720432_Ev_delivery_delivery_mcts_orig_novh_c.1_s2082152039_K0_P4DELIVERYS2P_src20669733_e0000.txt
validation,delivery,on,534933607,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20553497_Ev_delivery_delivery_orig_vh_c.1_s534933607_CD4P_src20522918_e0036.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20747807_Ev_delivery_delivery_mcts_orig_vh_c.1_s534933607_K0_P4DELIVERYS2P_src20669734_e0090.txt
validation,delivery,on,923500475,17.0,20.0,3.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20545993_Ev_delivery_delivery_orig_vh_c.1_s923500475_CD4P_src20522921_e0029.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20720636_Ev_delivery_delivery_mcts_orig_vh_c.1_s923500475_K0_P4DELIVERYS2P_src20669735_e0001.txt
validation,delivery,on,1073581256,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544403_Ev_delivery_delivery_orig_vh_c.1_s1073581256_CD4P_src20522915_e0005.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20720454_Ev_delivery_delivery_mcts_orig_vh_c.1_s1073581256_K0_P4DELIVERYS2P_src20669736_e0000.txt
validation,delivery,on,1239739722,17.0,17.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20545965_Ev_delivery_delivery_orig_vh_c.1_s1239739722_CD4P_src20522916_e0008.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20740636_Ev_delivery_delivery_mcts_orig_vh_c.1_s1239739722_K0_P4DELIVERYS2P_src20669737_e0007.txt
validation,delivery,on,1472491096,20.0,19.0,-1.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20559333_Ev_delivery_delivery_orig_vh_c.1_s1472491096_CD4P_src20522917_e0065.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20720638_Ev_delivery_delivery_mcts_orig_vh_c.1_s1472491096_K0_P4DELIVERYS2P_src20669738_e0001.txt
validation,delivery,on,1510771779,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544437_Ev_delivery_delivery_orig_vh_c.1_s1510771779_CD4P_src20522920_e0008.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20725062_Ev_delivery_delivery_mcts_orig_vh_c.1_s1510771779_K0_P4DELIVERYS2P_src20669740_e0012.txt
validation,delivery,on,1963100312,19.0,20.0,1.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544402_Ev_delivery_delivery_orig_vh_c.1_s1963100312_CD4P_src20522913_e0002.txt,/home/hersco/training_new_domains/2026-09-01/preserve4_delivery_stage2_policy_eval/20835066_Ev_delivery_delivery_mcts_orig_vh_c.1_s1963100312_K0_P4DELIVERYS2P_TUNINGSEL_src20553876_e0001.txt
validation,delivery,on,1972442430,19.0,20.0,1.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544450_Ev_delivery_delivery_orig_vh_c.1_s1972442430_CD4P_src20522922_e0009.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20747810_Ev_delivery_delivery_mcts_orig_vh_c.1_s1972442430_K0_P4DELIVERYS2P_src20669741_e0000.txt
validation,delivery,on,2011206605,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20545942_Ev_delivery_delivery_orig_vh_c.1_s2011206605_CD4P_src20522914_e0020.txt,/home/hersco/training_new_domains/2026-09-01/preserve4_delivery_stage2_policy_eval/20835067_Ev_delivery_delivery_mcts_orig_vh_c.1_s2011206605_K0_P4DELIVERYS2P_TUNINGSEL_src20595750_e0038.txt
validation,delivery,on,2082152039,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544414_Ev_delivery_delivery_orig_vh_c.1_s2082152039_CD4P_src20522919_e0005.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_delivery_stage2_policy_eval/20718036_Ev_delivery_delivery_mcts_orig_vh_c.1_s2082152039_K0_P4DELIVERYS2P_src20669742_e0000.txt
