domain,branch,value_head,mean_change,source
block_grouping,validation,off,-0.3,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
block_grouping,validation,on,-3.1,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
block_grouping,terminal,off,0.0,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
block_grouping,terminal,on,-3.4,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
drone,validation,off,0.8,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
drone,validation,on,-0.1,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
drone,terminal,off,0.4,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
drone,terminal,on,-0.7,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
fo_counters,validation,off,-1.3,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
fo_counters,validation,on,-0.6,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
fo_counters,terminal,off,-0.8,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
fo_counters,terminal,on,0.5,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
rover,validation,off,0.0,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
rover,validation,on,0.1,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
rover,terminal,off,0.0,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
rover,terminal,on,-0.1,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
counters,validation,off,4.4,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
counters,validation,on,3.2,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
counters,terminal,off,16.4,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
counters,terminal,on,-0.4,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
mprime,validation,off,0.2,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
mprime,validation,on,0.6,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
mprime,terminal,off,0.5,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
mprime,terminal,on,1.3,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
delivery,validation,off,-0.2,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
delivery,validation,on,0.4,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
delivery,terminal,off,1.3,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
delivery,terminal,on,1.7,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
tpp,validation,off,-1.1,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
tpp,validation,on,-0.5,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
tpp,terminal,off,0.4,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
tpp,terminal,on,-0.6,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
zenotravel,validation,off,0.0,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
zenotravel,validation,on,-0.1,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
zenotravel,terminal,off,-0.2,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
zenotravel,terminal,on,0.2,experiment_statistics.csv or branch-specific stable/MPrime seed ledger
