research_question,domain,epoch,n_runs,total_runs,stage1_baseline_percent,paper_baseline_percent,minimum_percent,maximum_percent,mean_percent,median_percent,best_configuration,best_configuration_mean_percent
RQ1,block_grouping,0,22,22,85.0,85.0,65.0,75.0,67.72727272727273,65.0,beta=30.0,75.0
RQ1,block_grouping,5,22,22,85.0,85.0,50.0,75.0,63.86363636363637,65.0,beta=30.0,75.0
RQ1,block_grouping,10,22,22,85.0,85.0,50.0,75.0,61.81818181818182,65.0,beta=30.0,75.0
RQ1,block_grouping,15,22,22,85.0,85.0,45.0,75.0,61.13636363636363,65.0,beta=30.0,75.0
RQ1,block_grouping,20,22,22,85.0,85.0,45.0,75.0,61.36363636363637,65.0,beta=30.0,75.0
RQ1,block_grouping,25,22,22,85.0,85.0,45.0,75.0,60.90909090909091,65.0,beta=30.0,75.0
RQ1,block_grouping,30,22,22,85.0,85.0,45.0,75.0,60.45454545454545,65.0,beta=30.0,75.0
RQ1,block_grouping,35,22,22,85.0,85.0,45.0,75.0,60.90909090909091,65.0,beta=30.0,75.0
RQ1,block_grouping,40,22,22,85.0,85.0,45.0,75.0,60.68181818181818,65.0,beta=30.0,75.0
RQ1,block_grouping,45,22,22,85.0,85.0,45.0,75.0,59.77272727272727,60.0,beta=30.0,75.0
RQ1,block_grouping,50,22,22,85.0,85.0,45.0,75.0,60.45454545454545,65.0,beta=30.0,75.0
RQ1,block_grouping,55,22,22,85.0,85.0,45.0,75.0,60.22727272727273,65.0,beta=30.0,75.0
RQ1,block_grouping,60,22,22,85.0,85.0,45.0,75.0,60.22727272727273,65.0,beta=30.0,75.0
RQ1,block_grouping,65,22,22,85.0,85.0,45.0,75.0,60.22727272727273,65.0,beta=30.0,75.0
RQ1,block_grouping,70,22,22,85.0,85.0,45.0,75.0,60.0,65.0,beta=30.0,75.0
RQ1,block_grouping,75,22,22,85.0,85.0,45.0,75.0,60.22727272727273,65.0,beta=30.0,75.0
RQ1,block_grouping,80,22,22,85.0,85.0,45.0,75.0,60.0,65.0,beta=30.0,75.0
RQ1,block_grouping,85,22,22,85.0,85.0,45.0,75.0,60.22727272727273,65.0,beta=30.0,75.0
RQ1,block_grouping,90,22,22,85.0,85.0,45.0,75.0,60.22727272727273,65.0,beta=30.0,75.0
RQ1,block_grouping,95,22,22,85.0,85.0,45.0,75.0,59.77272727272727,65.0,beta=30.0,75.0
RQ1,block_grouping,99,22,22,85.0,85.0,45.0,75.0,60.0,65.0,beta=30.0,75.0
RQ1,counters,0,16,16,25.423728813559322,28.8135593220339,33.898305084745765,55.932203389830505,42.05508474576271,40.67796610169491,beta=1.0,43.22033898305085
RQ1,counters,5,16,16,25.423728813559322,28.8135593220339,50.847457627118644,100.0,75.3177966101695,72.03389830508475,beta=1.0,100.0
RQ1,counters,10,16,16,25.423728813559322,28.8135593220339,30.508474576271187,100.0,83.47457627118644,100.0,beta=1.0,100.0
RQ1,counters,15,16,16,25.423728813559322,28.8135593220339,38.983050847457626,100.0,88.98305084745763,100.0,beta=1.0,100.0
RQ1,counters,20,16,16,25.423728813559322,28.8135593220339,32.20338983050848,100.0,80.08474576271186,90.67796610169492,beta=1.0,100.0
RQ1,counters,25,16,16,25.423728813559322,28.8135593220339,32.20338983050848,100.0,82.94491525423729,98.30508474576271,beta=1.0,100.0
