evaluation_job_id,stage2_training_job_id,research_question,domain,policy_architecture,value_head,estimator,tree_sampling,seed,stage1_successes,stage1_total,epoch,successes,total,score,evaluation_elapsed,snapshot,source_training_log,evaluation_log
19701993,19668733,RQ3,block_grouping,comparison,on,0.0,-1,42,16,20,0,11,20,0.55,00:03:23,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_mcts_hadd_gbfs-2026-07-31T22:06:33.129304/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[561600]-04876880-1c80318/snapshots/snapshot_0_1.0000",/home/hersco/training_new_domains/2026-07-31/RQ3_anchored_100/19668733_Re-Tr_block_grouping_comp_mcts_hadd_gbfs_orig_vh_c.1_s42_K-1_RQ3_anchored_100.txt,/home/hersco/training_new_domains/2026-08-02/RQ1_RQ3_anchored_every5_policy_only_eval/19701993_Ev_block_grouping_comp_orig_vh_c.1_s42_src19668733_ep0000.txt
19701995,19668733,RQ3,block_grouping,comparison,on,0.0,-1,42,16,20,5,14,20,0.7,00:03:49,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_mcts_hadd_gbfs-2026-07-31T22:06:33.129304/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[561600]-04876880-1c80318/snapshots/snapshot_5_1.0000",/home/hersco/training_new_domains/2026-07-31/RQ3_anchored_100/19668733_Re-Tr_block_grouping_comp_mcts_hadd_gbfs_orig_vh_c.1_s42_K-1_RQ3_anchored_100.txt,/home/hersco/training_new_domains/2026-08-02/RQ1_RQ3_anchored_every5_policy_only_eval/19701995_Ev_block_grouping_comp_orig_vh_c.1_s42_src19668733_ep0005.txt
19701996,19668733,RQ3,block_grouping,comparison,on,0.0,-1,42,16,20,10,14,20,0.7,00:03:39,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_mcts_hadd_gbfs-2026-07-31T22:06:33.129304/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[561600]-04876880-1c80318/snapshots/snapshot_10_1.0000",/home/hersco/training_new_domains/2026-07-31/RQ3_anchored_100/19668733_Re-Tr_block_grouping_comp_mcts_hadd_gbfs_orig_vh_c.1_s42_K-1_RQ3_anchored_100.txt,/home/hersco/training_new_domains/2026-08-02/RQ1_RQ3_anchored_every5_policy_only_eval/19701996_Ev_block_grouping_comp_orig_vh_c.1_s42_src19668733_ep0010.txt
19701997,19668733,RQ3,block_grouping,comparison,on,0.0,-1,42,16,20,15,14,20,0.7,00:03:08,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_mcts_hadd_gbfs-2026-07-31T22:06:33.129304/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[561600]-04876880-1c80318/snapshots/snapshot_15_1.0000",/home/hersco/training_new_domains/2026-07-31/RQ3_anchored_100/19668733_Re-Tr_block_grouping_comp_mcts_hadd_gbfs_orig_vh_c.1_s42_K-1_RQ3_anchored_100.txt,/home/hersco/training_new_domains/2026-08-02/RQ1_RQ3_anchored_every5_policy_only_eval/19701997_Ev_block_grouping_comp_orig_vh_c.1_s42_src19668733_ep0015.txt
19701998,19668733,RQ3,block_grouping,comparison,on,0.0,-1,42,16,20,20,13,20,0.65,00:04:23,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_mcts_hadd_gbfs-2026-07-31T22:06:33.129304/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[561600]-04876880-1c80318/snapshots/snapshot_20_1.0000",/home/hersco/training_new_domains/2026-07-31/RQ3_anchored_100/19668733_Re-Tr_block_grouping_comp_mcts_hadd_gbfs_orig_vh_c.1_s42_K-1_RQ3_anchored_100.txt,/home/hersco/training_new_domains/2026-08-02/RQ1_RQ3_anchored_every5_policy_only_eval/19701998_Ev_block_grouping_comp_orig_vh_c.1_s42_src19668733_ep0020.txt
19701999,19668733,RQ3,block_grouping,comparison,on,0.0,-1,42,16,20,25,14,20,0.7,00:02:53,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_mcts_hadd_gbfs-2026-07-31T22:06:33.129304/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[561600]-04876880-1c80318/snapshots/snapshot_25_1.0000",/home/hersco/training_new_domains/2026-07-31/RQ3_anchored_100/19668733_Re-Tr_block_grouping_comp_mcts_hadd_gbfs_orig_vh_c.1_s42_K-1_RQ3_anchored_100.txt,/home/hersco/training_new_domains/2026-08-02/RQ1_RQ3_anchored_every5_policy_only_eval/19701999_Ev_block_grouping_comp_orig_vh_c.1_s42_src19668733_ep0025.txt
19702000,19668733,RQ3,block_grouping,comparison,on,0.0,-1,42,16,20,30,14,20,0.7,00:02:50,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_mcts_hadd_gbfs-2026-07-31T22:06:33.129304/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[561600]-04876880-1c80318/snapshots/snapshot_30_1.0000",/home/hersco/training_new_domains/2026-07-31/RQ3_anchored_100/19668733_Re-Tr_block_grouping_comp_mcts_hadd_gbfs_orig_vh_c.1_s42_K-1_RQ3_anchored_100.txt,/home/hersco/training_new_domains/2026-08-02/RQ1_RQ3_anchored_every5_policy_only_eval/19702000_Ev_block_grouping_comp_orig_vh_c.1_s42_src19668733_ep0030.txt
19702001,19668733,RQ3,block_grouping,comparison,on,0.0,-1,42,16,20,35,14,20,0.7,00:02:34,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_mcts_hadd_gbfs-2026-07-31T22:06:33.129304/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[561600]-04876880-1c80318/snapshots/snapshot_35_1.0000",/home/hersco/training_new_domains/2026-07-31/RQ3_anchored_100/19668733_Re-Tr_block_grouping_comp_mcts_hadd_gbfs_orig_vh_c.1_s42_K-1_RQ3_anchored_100.txt,/home/hersco/training_new_domains/2026-08-02/RQ1_RQ3_anchored_every5_policy_only_eval/19702001_Ev_block_grouping_comp_orig_vh_c.1_s42_src19668733_ep0035.txt
19702002,19668733,RQ3,block_grouping,comparison,on,0.0,-1,42,16,20,40,14,20,0.7,00:02:39,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_mcts_hadd_gbfs-2026-07-31T22:06:33.129304/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[561600]-04876880-1c80318/snapshots/snapshot_40_1.0000",/home/hersco/training_new_domains/2026-07-31/RQ3_anchored_100/19668733_Re-Tr_block_grouping_comp_mcts_hadd_gbfs_orig_vh_c.1_s42_K-1_RQ3_anchored_100.txt,/home/hersco/training_new_domains/2026-08-02/RQ1_RQ3_anchored_every5_policy_only_eval/19702002_Ev_block_grouping_comp_orig_vh_c.1_s42_src19668733_ep0040.txt
19702003,19668733,RQ3,block_grouping,comparison,on,0.0,-1,42,16,20,45,15,20,0.75,00:02:55,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_mcts_hadd_gbfs-2026-07-31T22:06:33.129304/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[561600]-04876880-1c80318/snapshots/snapshot_45_1.0000",/home/hersco/training_new_domains/2026-07-31/RQ3_anchored_100/19668733_Re-Tr_block_grouping_comp_mcts_hadd_gbfs_orig_vh_c.1_s42_K-1_RQ3_anchored_100.txt,/home/hersco/training_new_domains/2026-08-02/RQ1_RQ3_anchored_every5_policy_only_eval/19702003_Ev_block_grouping_comp_orig_vh_c.1_s42_src19668733_ep0045.txt
