job_id,job_name,state,elapsed,start,end,node,requested_cpus,requested_memory,classified_instances,success_30m,success_2h,success_6h,success_full_record,ordinary_unsolved,logged_timeouts,latest_eval_final_success,latest_eval_final_total,val_valid,val_invalid,log_path,completion_record_path
20559579,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCM_src20489463_e0069,RUNNING,1-10:56:15,2026-09-04T02:20:01,Unknown,ise-cpu256-27,6,120G,4,4,4,4,4,0,13,,,,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559579_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCM_src20489463_e0069.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559579.eval_completed.jsonl
20755796,pw70-kmin3-counters-off-2011206605-s1,RUNNING,1-22:25:22,2026-09-03T14:50:54,Unknown,ise-cpu-intl-04,6,120G,21,21,21,21,21,0,21,,,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20755796_pw70-kmin3-counters-off-2011206605-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20755796.jsonl
20946115,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430398_e0031,RUNNING,20:58:05,2026-09-04T16:18:11,Unknown,ise-cpu256-01,6,120G,4,4,4,4,4,0,9,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20946115_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430398_e0031.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20946115.eval_completed.jsonl
20559575,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077,RUNNING,1-22:55:13,2026-09-03T14:21:03,Unknown,ise-cpu128-02,6,120G,5,5,5,5,5,0,6,,,,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559575_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559575.eval_completed.jsonl
20946114,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20430406_e0000,RUNNING,22:43:44,2026-09-04T14:32:32,Unknown,ise-cpu256-07,6,120G,9,5,5,5,5,4,8,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20946114_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20430406_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20946114.eval_completed.jsonl
20946113,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20430404_e0000,RUNNING,22:46:41,2026-09-04T14:29:35,Unknown,ise-cpu256-18,6,120G,7,5,5,5,5,2,9,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20946113_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20430404_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20946113.eval_completed.jsonl
20945846,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430378_e0046,RUNNING,22:55:33,2026-09-04T14:20:43,Unknown,ise-cpu256-07,6,120G,6,5,6,6,6,0,6,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945846_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430378_e0046.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945846.eval_completed.jsonl
20945845,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430395_e0009,RUNNING,22:59:04,2026-09-04T14:17:12,Unknown,ise-cpu256-17,6,120G,7,7,7,7,7,0,4,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945845_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430395_e0009.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945845.eval_completed.jsonl
20945827,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20430405_e0002,RUNNING,23:02:04,2026-09-04T14:14:12,Unknown,ise-cpu256-18,6,120G,3,3,3,3,3,0,9,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945827_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20430405_e0002.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945827.eval_completed.jsonl
20945826,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430408_e0000,RUNNING,23:02:20,2026-09-04T14:13:56,Unknown,ise-cpu256-28,6,120G,5,4,4,4,4,1,9,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945826_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430408_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945826.eval_completed.jsonl
