snapshot,experiment,state,jobs,cpus,ram_gib,reason
2026-09-01T08:52:02+03:00,ALL,running,127,994,6088,
2026-09-01T08:52:02+03:00,ALL,completing,4,40,80,
2026-09-01T08:52:02+03:00,ALL,ordinary_pending,33,322,716,QOSMaxMemoryPerUser
2026-09-01T08:52:02+03:00,ALL,dependency_pending,5,10,5,Dependency
2026-09-01T08:52:02+03:00,ALL,user_held,58,340,4130,JobHeldUser
2026-09-01T08:52:02+03:00,PRESERVE-3-TERM,running_training,41,246,1968,
2026-09-01T08:52:02+03:00,PRESERVE-3-TERM,pending_training,2,12,96,QOSMaxMemoryPerUser
2026-09-01T08:52:02+03:00,PRESERVE-3-TERM,running_policy,58,580,1160,
2026-09-01T08:52:02+03:00,PRESERVE-3-TERM,completing_policy,4,40,80,
2026-09-01T08:52:02+03:00,PRESERVE-3-TERM,pending_policy,31,310,620,QOSMaxMemoryPerUser
2026-09-01T08:52:02+03:00,PRESERVE-3-TERM,dependency_controllers,5,10,5,Dependency
2026-09-01T08:52:02+03:00,MPRIME-ANCHOR-CORRECTED-VAL,running,4,24,80,
2026-09-01T08:52:02+03:00,MCTS-PW70-CROSS-DOMAIN,running,12,72,1440,
2026-09-01T08:52:02+03:00,MCTS-HORIZON-COUNTERS,running,8,48,960,
2026-09-01T08:52:02+03:00,MAIN-VAL-S2-MCTS,running,1,6,120,
2026-09-01T08:52:02+03:00,MCTS-RESOURCE-ROVER,running,3,18,360,
2026-09-01T08:52:02+03:00,MAIN-EXT6-MPRIME,user_held,17,100,770,JobHeldUser
2026-09-01T08:52:02+03:00,MAIN-TERM-EXT6-MPRIME,user_held,21,120,960,JobHeldUser
2026-09-01T08:52:02+03:00,MCTS-RESOURCE-FO,user_held,20,120,2400,JobHeldUser
