job_id,state,job_name,elapsed,time_limit,cpus,memory,reason_or_node,latest_epoch,epoch_limit,latest_validation_coverage,last_valid_checkpoint,source_training_log
20755762,RUNNING,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_P3TERMS2A10_src20523008,1-19:43:59,3-00:00:00,6,48G,ise-cpu128-12,71,100,1.0,,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755762_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_P3TERMS2A10_src20523008.txt
20755763,RUNNING,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2082152039_K0_P3TERMS2A10_src20523023,1-19:43:59,3-00:00:00,6,48G,ise-cpu128-08,82,100,0.36666666666666664,,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755763_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2082152039_K0_P3TERMS2A10_src20523023.txt
20755760,RUNNING,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_P3TERMS2A10_src20523005,1-19:58:12,3-00:00:00,6,48G,ise-cpu-intl-02,98,100,1.0,,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755760_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_P3TERMS2A10_src20523005.txt
20755761,RUNNING,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1972442430_K0_P3TERMS2A10_src20523032,1-19:58:12,3-00:00:00,6,48G,ise-cpu-intl-02,72,100,1.0,,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755761_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1972442430_K0_P3TERMS2A10_src20523032.txt
20755757,RUNNING,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A10_src20523017,1-21:12:26,3-00:00:00,6,48G,ise-cpu-intl-07,92,100,0.13333333333333333,,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755757_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A10_src20523017.txt
20755759,RUNNING,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1510771779_K0_P3TERMS2A10_src20523026,1-21:12:26,3-00:00:00,6,48G,ise-cpu128-09,91,100,1.0,,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755759_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1510771779_K0_P3TERMS2A10_src20523026.txt
20755755,RUNNING,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1073581256_K0_P3TERMS2A10_src20523010,1-21:15:00,3-00:00:00,6,48G,ise-cpu-intl-23,57,100,0.4,,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755755_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1073581256_K0_P3TERMS2A10_src20523010.txt
20755753,RUNNING,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020,1-22:25:58,3-00:00:00,6,48G,ise-cpu-intl-23,74,100,1.0,,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755753_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020.txt
20755750,RUNNING,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s2011206605_K0_P3TERMS2A3_src20523038,1-22:27:30,3-00:00:00,6,48G,ise-cpu128-11,91,100,1.0,,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755750_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s2011206605_K0_P3TERMS2A3_src20523038.txt
20755741,RUNNING,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050,1-23:30:15,3-00:00:00,6,48G,ise-cpu128-06,86,100,0.2,,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755741_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050.txt
20832900,RUNNING,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1073581256_K0_MPEXT6VA10_CORR_src20618728,21:22:22,3-00:00:00,6,48G,ise-cpu-intl-19,97,100,1.0,,/home/hersco/training_new_domains/2026-09-01/mprime_validation_led_stage2/20832900_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1073581256_K0_MPEXT6VA10_CORR_src20618728.txt
20832903,RUNNING,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1510771779_K0_MPEXT6VA10_CORR_src20618733,21:22:22,3-00:00:00,6,48G,ise-cpu-intl-17,98,100,1.0,,/home/hersco/training_new_domains/2026-09-01/mprime_validation_led_stage2/20832903_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1510771779_K0_MPEXT6VA10_CORR_src20618733.txt
20755747,RUNNING,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1510771779_K0_P3TERMS2A3_src20523056,1-08:00:41,3-00:00:00,6,48G,ise-cpu128-07,65,100,0.13333333333333333,,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755747_Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1510771779_K0_P3TERMS2A3_src20523056.txt
