manifest_id,cohort,seed,domain,domain_label,value_head,rq_scope,task_type,stage,variant,architecture,teacher,source_checkpoint_ref,supervised_lr,max_epochs,original_training_set,estimator,puct,tree_sampling,anchor,width,iterations,workers,jpddl_heap,cpus,memory,time_limit,instance_timeout,completion_mode,dependency_ref,checkpoint_selection,status,notes,source_training_job_id,snapshot_epoch,analysis_roles
counters-off-1963100312-stage2-mcts_eval-primary-narrow-w5-i20,prospective-ten,1963100312,counters,Counters,off,RQ1/RQ2,mcts_eval,stage2,primary_narrow_w5_i20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T15:48:52.673352/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906742-2fc32f3/snapshots/snapshot_33_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1963100312-stage2-train-primary,preselected dependency checkpoint,ready,Held replacement for obsolete width-20/70 MAIN-TERM Stage-2 endpoint; aligned with confirmatory Counters Stage-1 width-5/20 search,20430416,33,stage2_selected_mcts_counters_narrow_held
counters-off-2011206605-stage2-mcts_eval-primary-narrow-w5-i20,prospective-ten,2011206605,counters,Counters,off,RQ1/RQ2,mcts_eval,stage2,primary_narrow_w5_i20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T16:09:49.771406/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906763-067843/snapshots/snapshot_12_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-2011206605-stage2-train-primary,preselected dependency checkpoint,ready,Held replacement for obsolete width-20/70 MAIN-TERM Stage-2 endpoint; aligned with confirmatory Counters Stage-1 width-5/20 search,20430417,12,stage2_selected_mcts_counters_narrow_held
counters-off-1073581256-stage2-mcts_eval-primary-narrow-w5-i20,prospective-ten,1073581256,counters,Counters,off,RQ1/RQ2,mcts_eval,stage2,primary_narrow_w5_i20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T16:26:23.850750/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906780-1247c09/snapshots/snapshot_0_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1073581256-stage2-train-primary,preselected dependency checkpoint,ready,Held replacement for obsolete width-20/70 MAIN-TERM Stage-2 endpoint; aligned with confirmatory Counters Stage-1 width-5/20 search,20430419,0,stage2_selected_mcts_counters_narrow_held
counters-off-1239739722-stage2-mcts_eval-primary-narrow-w5-i20,prospective-ten,1239739722,counters,Counters,off,RQ1/RQ2,mcts_eval,stage2,primary_narrow_w5_i20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T16:48:25.701958/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906802-7d9a779/snapshots/snapshot_5_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1239739722-stage2-train-primary,preselected dependency checkpoint,ready,Held replacement for obsolete width-20/70 MAIN-TERM Stage-2 endpoint; aligned with confirmatory Counters Stage-1 width-5/20 search,20430420,5,stage2_selected_mcts_counters_narrow_held
counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,prospective-ten,1472491096,counters,Counters,off,RQ1/RQ2,mcts_eval,stage2,primary_narrow_w5_i20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T17:24:58.883939/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906839-43e0a7a/snapshots/snapshot_5_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1472491096-stage2-train-primary,preselected dependency checkpoint,ready,Held replacement for obsolete width-20/70 MAIN-TERM Stage-2 endpoint; aligned with confirmatory Counters Stage-1 width-5/20 search,20430421,5,stage2_selected_mcts_counters_narrow_held
counters-off-534933607-stage2-mcts_eval-primary-narrow-w5-i20,prospective-ten,534933607,counters,Counters,off,RQ1/RQ2,mcts_eval,stage2,primary_narrow_w5_i20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T18:14:27.409234/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906888-3c74d66/snapshots/snapshot_8_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-534933607-stage2-train-primary,preselected dependency checkpoint,ready,Held replacement for obsolete width-20/70 MAIN-TERM Stage-2 endpoint; aligned with confirmatory Counters Stage-1 width-5/20 search,20430422,8,stage2_selected_mcts_counters_narrow_held
counters-off-2082152039-stage2-mcts_eval-primary-narrow-w5-i20,prospective-ten,2082152039,counters,Counters,off,RQ1/RQ2,mcts_eval,stage2,primary_narrow_w5_i20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T18:41:44.811870/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906915-faf7d6/snapshots/snapshot_0_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-2082152039-stage2-train-primary,preselected dependency checkpoint,ready,Held replacement for obsolete width-20/70 MAIN-TERM Stage-2 endpoint; aligned with confirmatory Counters Stage-1 width-5/20 search,20430423,0,stage2_selected_mcts_counters_narrow_held
counters-off-1510771779-stage2-mcts_eval-primary-narrow-w5-i20,prospective-ten,1510771779,counters,Counters,off,RQ1/RQ2,mcts_eval,stage2,primary_narrow_w5_i20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T18:44:32.816535/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906918-17cc32a/snapshots/snapshot_37_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1510771779-stage2-train-primary,preselected dependency checkpoint,ready,Held replacement for obsolete width-20/70 MAIN-TERM Stage-2 endpoint; aligned with confirmatory Counters Stage-1 width-5/20 search,20430424,37,stage2_selected_mcts_counters_narrow_held
counters-off-923500475-stage2-mcts_eval-primary-narrow-w5-i20,prospective-ten,923500475,counters,Counters,off,RQ1/RQ2,mcts_eval,stage2,primary_narrow_w5_i20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T19:14:32.662371/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906948-5194f74/snapshots/snapshot_0_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-923500475-stage2-train-primary,preselected dependency checkpoint,ready,Held replacement for obsolete width-20/70 MAIN-TERM Stage-2 endpoint; aligned with confirmatory Counters Stage-1 width-5/20 search,20430425,0,stage2_selected_mcts_counters_narrow_held
counters-off-1972442430-stage2-mcts_eval-primary-narrow-w5-i20,prospective-ten,1972442430,counters,Counters,off,RQ1/RQ2,mcts_eval,stage2,primary_narrow_w5_i20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T19:15:56.129719/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906950-72aea46/snapshots/snapshot_82_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1972442430-stage2-train-primary,preselected dependency checkpoint,ready,Held replacement for obsolete width-20/70 MAIN-TERM Stage-2 endpoint; aligned with confirmatory Counters Stage-1 width-5/20 search,20430426,82,stage2_selected_mcts_counters_narrow_held
