manifest_id,cohort,seed,domain,domain_label,value_head,rq_scope,task_type,stage,variant,architecture,teacher,source_checkpoint_ref,supervised_lr,max_epochs,original_training_set,estimator,puct,tree_sampling,anchor,width,iterations,workers,jpddl_heap,cpus,memory,time_limit,instance_timeout,completion_mode,dependency_ref,checkpoint_selection,status,notes,source_training_job_id,snapshot_epoch,analysis_roles
counters-off-1963100312-stage1-mcts_eval-primary-narrow-w5-i20-puct01,prospective-ten,1963100312,counters,Counters,off,RQ1/RQ2,mcts_eval,stage1,narrow_w5_i20_puct01,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.096138/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_101_1.000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1963100312-stage1-train-primary,preselected dependency checkpoint,ready,Matched Counters branching-width sensitivity: width 5 with 20 simulations; compare only against the existing width-20/70 result. Width-5/70 is excluded.,20401258,101,stage1_counters_narrow_mcts_sensitivity
counters-off-2011206605-stage1-mcts_eval-primary-narrow-w5-i20-puct01,prospective-ten,2011206605,counters,Counters,off,RQ1/RQ2,mcts_eval,stage1,narrow_w5_i20_puct01,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.112993/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_37_1.000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-2011206605-stage1-train-primary,preselected dependency checkpoint,ready,Matched Counters branching-width sensitivity: width 5 with 20 simulations; compare only against the existing width-20/70 result. Width-5/70 is excluded.,20401259,37,stage1_counters_narrow_mcts_sensitivity
counters-off-1073581256-stage1-mcts_eval-primary-narrow-w5-i20-puct01,prospective-ten,1073581256,counters,Counters,off,RQ1/RQ2,mcts_eval,stage1,narrow_w5_i20_puct01,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.106124/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_3_1.000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1073581256-stage1-train-primary,preselected dependency checkpoint,ready,Matched Counters branching-width sensitivity: width 5 with 20 simulations; compare only against the existing width-20/70 result. Width-5/70 is excluded.,20401260,3,stage1_counters_narrow_mcts_sensitivity
counters-off-1239739722-stage1-mcts_eval-primary-narrow-w5-i20-puct01,prospective-ten,1239739722,counters,Counters,off,RQ1/RQ2,mcts_eval,stage1,narrow_w5_i20_puct01,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.097949/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-7d9a779/snapshots/snapshot_5_1.000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1239739722-stage1-train-primary,preselected dependency checkpoint,ready,Matched Counters branching-width sensitivity: width 5 with 20 simulations; compare only against the existing width-20/70 result. Width-5/70 is excluded.,20401261,5,stage1_counters_narrow_mcts_sensitivity
counters-off-1472491096-stage1-mcts_eval-primary-narrow-w5-i20-puct01,prospective-ten,1472491096,counters,Counters,off,RQ1/RQ2,mcts_eval,stage1,narrow_w5_i20_puct01,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.101726/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-43e0a7a/snapshots/snapshot_20_1.000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1472491096-stage1-train-primary,preselected dependency checkpoint,ready,Matched Counters branching-width sensitivity: width 5 with 20 simulations; compare only against the existing width-20/70 result. Width-5/70 is excluded.,20401262,20,stage1_counters_narrow_mcts_sensitivity
counters-off-534933607-stage1-mcts_eval-primary-narrow-w5-i20-puct01,prospective-ten,534933607,counters,Counters,off,RQ1/RQ2,mcts_eval,stage1,narrow_w5_i20_puct01,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.114960/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_43_1.000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-534933607-stage1-train-primary,preselected dependency checkpoint,ready,Matched Counters branching-width sensitivity: width 5 with 20 simulations; compare only against the existing width-20/70 result. Width-5/70 is excluded.,20401263,43,stage1_counters_narrow_mcts_sensitivity
counters-off-2082152039-stage1-mcts_eval-primary-narrow-w5-i20-puct01,prospective-ten,2082152039,counters,Counters,off,RQ1/RQ2,mcts_eval,stage1,narrow_w5_i20_puct01,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.109794/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-faf7d6/snapshots/snapshot_12_1.000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-2082152039-stage1-train-primary,preselected dependency checkpoint,ready,Matched Counters branching-width sensitivity: width 5 with 20 simulations; compare only against the existing width-20/70 result. Width-5/70 is excluded.,20401264,12,stage1_counters_narrow_mcts_sensitivity
counters-off-1510771779-stage1-mcts_eval-primary-narrow-w5-i20-puct01,prospective-ten,1510771779,counters,Counters,off,RQ1/RQ2,mcts_eval,stage1,narrow_w5_i20_puct01,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094320/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-17cc32a/snapshots/snapshot_1_0.000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1510771779-stage1-train-primary,preselected dependency checkpoint,ready,Matched Counters branching-width sensitivity: width 5 with 20 simulations; compare only against the existing width-20/70 result. Width-5/70 is excluded.,20401265,1,stage1_counters_narrow_mcts_sensitivity
counters-off-923500475-stage1-mcts_eval-primary-narrow-w5-i20-puct01,prospective-ten,923500475,counters,Counters,off,RQ1/RQ2,mcts_eval,stage1,narrow_w5_i20_puct01,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094323/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-5194f74/snapshots/snapshot_12_1.000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-923500475-stage1-train-primary,preselected dependency checkpoint,ready,Matched Counters branching-width sensitivity: width 5 with 20 simulations; compare only against the existing width-20/70 result. Width-5/70 is excluded.,20401266,12,stage1_counters_narrow_mcts_sensitivity
counters-off-1972442430-stage1-mcts_eval-primary-narrow-w5-i20-puct01,prospective-ten,1972442430,counters,Counters,off,RQ1/RQ2,mcts_eval,stage1,narrow_w5_i20_puct01,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094310/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-72aea46/snapshots/snapshot_53_1.000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,counters-off-1972442430-stage1-train-primary,preselected dependency checkpoint,ready,Matched Counters branching-width sensitivity: width 5 with 20 simulations; compare only against the existing width-20/70 result. Width-5/70 is excluded.,20401267,53,stage1_counters_narrow_mcts_sensitivity
