experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,counters-off-1963100312-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1963100312,fixed_narrow_w5,20,,,20649844,20430416,33,stage2_selected_mcts_counters_narrow_held,COMPLETED,18:05:22,49.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649844_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20430416_e0033.txt
,counters-off-2011206605-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,2011206605,fixed_narrow_w5,20,,,20649845,20430417,12,stage2_selected_mcts_counters_narrow_held,OUT_OF_MEMORY,1-11:20:22,40.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649845_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430417_e0012.txt
,counters-off-1073581256-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1073581256,fixed_narrow_w5,20,,,20649846,20430419,0,stage2_selected_mcts_counters_narrow_held,COMPLETED,15:04:03,51.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649846_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20430419_e0000.txt
,counters-off-1239739722-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1239739722,fixed_narrow_w5,20,,,20649847,20430420,5,stage2_selected_mcts_counters_narrow_held,COMPLETED,22:12:17,22.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649847_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20430420_e0005.txt
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,,,20649848,20430421,5,stage2_selected_mcts_counters_narrow_held,RUNNING,2-21:32:02,,,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt
,counters-off-534933607-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,534933607,fixed_narrow_w5,20,,,20649849,20430422,8,stage2_selected_mcts_counters_narrow_held,OUT_OF_MEMORY,2-10:10:55,9.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649849_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20430422_e0008.txt
,counters-off-2082152039-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,2082152039,fixed_narrow_w5,20,,,20649850,20430423,0,stage2_selected_mcts_counters_narrow_held,COMPLETED,03:58:23,59.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649850_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430423_e0000.txt
,counters-off-1510771779-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1510771779,fixed_narrow_w5,20,,,20649851,20430424,37,stage2_selected_mcts_counters_narrow_held,OUT_OF_MEMORY,21:21:28,48.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649851_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20430424_e0037.txt
,counters-off-923500475-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,923500475,fixed_narrow_w5,20,,,20649852,20430425,0,stage2_selected_mcts_counters_narrow_held,COMPLETED,1-00:17:30,33.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649852_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430425_e0000.txt
,counters-off-1972442430-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1972442430,fixed_narrow_w5,20,,,20649853,20430426,82,stage2_selected_mcts_counters_narrow_held,OUT_OF_MEMORY,1-16:45:57,38.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649853_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20430426_e0082.txt
,counters-on-1963100312-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,1963100312,fixed_narrow_w5,20,,,20649854,20430427,0,stage2_selected_mcts_counters_narrow_held,RUNNING,2-21:32:02,,,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649854_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20430427_e0000.txt
,counters-on-2011206605-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,2011206605,fixed_narrow_w5,20,,,20649855,20430428,67,stage2_selected_mcts_counters_narrow_held,COMPLETED,14:34:01,14.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649855_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430428_e0067.txt
,counters-on-1073581256-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,1073581256,fixed_narrow_w5,20,,,20649856,20430429,16,stage2_selected_mcts_counters_narrow_held,COMPLETED,12:39:49,56.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649856_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430429_e0016.txt
,counters-on-1239739722-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,1239739722,fixed_narrow_w5,20,,,20649857,20430430,28,stage2_selected_mcts_counters_narrow_held,COMPLETED,21:18:45,21.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649857_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20430430_e0028.txt
,counters-on-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,1472491096,fixed_narrow_w5,20,,,20649858,20430431,0,stage2_selected_mcts_counters_narrow_held,OUT_OF_MEMORY,2-17:27:45,7.0,59,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649858_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20430431_e0000.txt
