value_head,seed,policy,narrow_30m,narrow_2h,narrow_6h,recorded_instances,unclassified_instances,job_id,slurm_state,source_log
off,534933607,6,9,9,9,50,9,20649849,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649849_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20430422_e0008.txt
off,923500475,32,33,33,33,59,0,20649852,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649852_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430425_e0000.txt
off,1073581256,53,51,51,51,59,0,20649846,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649846_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20430419_e0000.txt
off,1239739722,21,22,22,22,59,0,20649847,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649847_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20430420_e0005.txt
off,1472491096,18,18,18,18,53,6,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt
off,1510771779,45,48,48,48,57,2,20649851,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649851_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20430424_e0037.txt
off,1963100312,59,40,49,49,59,0,20649844,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649844_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20430416_e0033.txt
off,1972442430,37,38,38,38,59,0,20649853,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649853_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20430426_e0082.txt
off,2011206605,39,40,40,40,58,1,20649845,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649845_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430417_e0012.txt
off,2082152039,59,50,59,59,59,0,20649850,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649850_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430423_e0000.txt
on,534933607,59,44,58,59,59,0,20649859,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649859_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20430432_e0002.txt
on,923500475,38,24,28,28,59,0,20649862,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649862_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20430435_e0001.txt
on,1073581256,55,36,50,56,59,0,20649856,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649856_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430429_e0016.txt
on,1239739722,14,18,21,21,59,0,20649857,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649857_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20430430_e0028.txt
on,1472491096,3,7,7,7,58,1,20649858,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649858_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20430431_e0000.txt
on,1510771779,4,21,22,22,57,2,20649861,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649861_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20430434_e0000.txt
on,1963100312,3,19,21,21,56,3,20649854,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649854_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20430427_e0000.txt
on,1972442430,23,24,24,24,58,1,20649863,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649863_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20430436_e0030.txt
on,2011206605,7,14,14,14,59,0,20649855,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649855_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430428_e0067.txt
on,2082152039,12,19,19,19,59,0,20649860,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649860_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20430433_e0004.txt
