job_id,manifest_id,released_at,status
20649844,counters-off-1963100312-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649845,counters-off-2011206605-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649846,counters-off-1073581256-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649847,counters-off-1239739722-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649848,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649849,counters-off-534933607-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649850,counters-off-2082152039-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649851,counters-off-1510771779-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649852,counters-off-923500475-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649853,counters-off-1972442430-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649854,counters-on-1963100312-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649855,counters-on-2011206605-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649856,counters-on-1073581256-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649857,counters-on-1239739722-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649858,counters-on-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649859,counters-on-534933607-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649860,counters-on-2082152039-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649861,counters-on-1510771779-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649862,counters-on-923500475-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
20649863,counters-on-1972442430-stage2-mcts_eval-primary-narrow-w5-i20,2026-08-28T10:44:00+03:00,released
