experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,job_id,slurm_state,source_log,instance_number,instance_path,status,elapsed_seconds,success,steps,success_le_1800s,success_le_7200s,success_le_21600s
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,1,../problems/numeric/counters/vanilla/fz_instance_2.pddl,success,7.29,True,1,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,2,../problems/numeric/counters/vanilla/fz_instance_3.pddl,success,8.54,True,3,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,3,../problems/numeric/counters/vanilla/fz_instance_4.pddl,success,8.54,True,6,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,4,../problems/numeric/counters/vanilla/fz_instance_5.pddl,success,9.04,True,10,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,5,../problems/numeric/counters/vanilla/fz_instance_6.pddl,success,9.55,True,15,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,6,../problems/numeric/counters/vanilla/fz_instance_7.pddl,success,10.05,True,21,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,7,../problems/numeric/counters/vanilla/fz_instance_8.pddl,success,12.31,True,28,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,8,../problems/numeric/counters/vanilla/fz_instance_9.pddl,success,13.31,True,36,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,9,../problems/numeric/counters/vanilla/fz_instance_10.pddl,success,14.81,True,45,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,10,../problems/numeric/counters/vanilla/fz_instance_11.pddl,success,16.81,True,55,1,1,1
