job_id,value_head,seed,policy_score,narrow_score,total,narrow_minus_policy,val_valid,val_invalid,elapsed,source_training_job_id,checkpoint_epoch,source_evaluation_log,status
20649844,off,1963100312,59,49,59,-10,49,0,18:05:22,20430416,33,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649844_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20430416_e0033.txt,terminal_val_confirmed
20649846,off,1073581256,53,51,59,-2,51,0,15:04:03,20430419,0,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649846_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20430419_e0000.txt,terminal_val_confirmed
20649847,off,1239739722,21,22,59,1,22,0,22:12:17,20430420,5,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649847_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20430420_e0005.txt,terminal_val_confirmed
20649850,off,2082152039,59,59,59,0,59,0,03:58:23,20430423,0,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649850_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430423_e0000.txt,terminal_val_confirmed
20649851,off,1510771779,45,48,59,3,48,0,21:21:28,20430424,37,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649851_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20430424_e0037.txt,terminal_partial_val_confirmed_lower_bound
20649852,off,923500475,32,33,59,1,33,0,1-00:17:30,20430425,0,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649852_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430425_e0000.txt,terminal_val_confirmed
20649855,on,2011206605,7,14,59,7,14,0,14:34:01,20430428,67,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649855_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430428_e0067.txt,terminal_val_confirmed
20649856,on,1073581256,55,56,59,1,56,0,12:39:49,20430429,16,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649856_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430429_e0016.txt,terminal_val_confirmed
20649857,on,1239739722,14,21,59,7,21,0,21:18:45,20430430,28,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649857_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20430430_e0028.txt,terminal_val_confirmed
20649859,on,534933607,59,59,59,0,59,0,08:15:16,20430432,2,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649859_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20430432_e0002.txt,terminal_val_confirmed
20649860,on,2082152039,12,19,59,7,19,0,1-02:43:00,20430433,4,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649860_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20430433_e0004.txt,terminal_val_confirmed
