job_id,value_head,seed,arm,score,total,val_valid,val_invalid,horizon_cutoffs,elapsed,source_evaluation_log,source_validation_log,status
20684975,off,1963100312,unaware,10,20,10,0,not_applicable,12:16:07,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684975_horizon-drone-off-1963100312-unaware.txt,slurm-20719059.out,terminal_val_confirmed
20684976,off,1963100312,aware,10,20,10,0,0,12:15:22,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684976_horizon-drone-off-1963100312-aware.txt,slurm-20719060.out,terminal_val_confirmed
20684977,off,2011206605,unaware,7,20,7,0,not_applicable,12:18:54,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684977_horizon-drone-off-2011206605-unaware.txt,slurm-20719061.out,terminal_val_confirmed
20684978,off,2011206605,aware,7,20,7,0,0,12:17:24,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684978_horizon-drone-off-2011206605-aware.txt,slurm-20719062.out,terminal_val_confirmed
20684979,off,1073581256,unaware,7,20,7,0,not_applicable,12:16:49,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684979_horizon-drone-off-1073581256-unaware.txt,slurm-20719063.out,terminal_val_confirmed
20684980,off,1073581256,aware,7,20,7,0,0,12:18:03,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684980_horizon-drone-off-1073581256-aware.txt,slurm-20719065.out,terminal_val_confirmed
20684981,off,1239739722,unaware,8,20,8,0,not_applicable,12:12:22,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684981_horizon-drone-off-1239739722-unaware.txt,slurm-20719066.out,terminal_val_confirmed
20684986,on,1963100312,aware,4,20,4,0,0,08:01:47,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684986_horizon-drone-on-1963100312-aware.txt,slurm-20719368.out,terminal_val_confirmed
20684982,off,1239739722,aware,8,20,8,0,0,12:14:23,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/horizon-drone-off-1239739722-aware_20684982.out,/home/hersco/bershco-nu-asnets/numeric-asnets-safe-context/slurm-20720820.out,terminal_val_confirmed
20684983,off,1472491096,unaware,12,20,12,0,not_applicable,12:10:54,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/horizon-drone-off-1472491096-unaware_20684983.out,/home/hersco/bershco-nu-asnets/numeric-asnets-safe-context/slurm-20720821.out,terminal_val_confirmed
20684984,off,1472491096,aware,12,20,12,0,0,12:12:44,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/horizon-drone-off-1472491096-aware_20684984.out,/home/hersco/bershco-nu-asnets/numeric-asnets-safe-context/slurm-20720822.out,terminal_val_confirmed
20684985,on,1963100312,unaware,4,20,4,0,not_applicable,12:12:54,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/horizon-drone-on-1963100312-unaware_20684985.out,/home/hersco/bershco-nu-asnets/numeric-asnets-safe-context/slurm-20720823.out,terminal_val_confirmed
20684987,on,2011206605,unaware,11,20,11,0,not_applicable,12:11:56,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684987_horizon-drone-on-2011206605-unaware.txt,/home/hersco/bershco-nu-asnets/numeric-asnets-safe-context/slurm-20723088.out,terminal_val_confirmed
20684988,on,2011206605,aware,11,20,11,0,0,12:13:21,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684988_horizon-drone-on-2011206605-aware.txt,/home/hersco/bershco-nu-asnets/numeric-asnets-safe-context/slurm-20723089.out,terminal_val_confirmed
20684989,on,1073581256,unaware,15,20,15,0,not_applicable,12:13:47,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684989_horizon-drone-on-1073581256-unaware.txt,/home/hersco/bershco-nu-asnets/numeric-asnets-safe-context/slurm-20723090.out,terminal_val_confirmed
20684990,on,1073581256,aware,16,20,16,0,1,12:13:35,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684990_horizon-drone-on-1073581256-aware.txt,/home/hersco/bershco-nu-asnets/numeric-asnets-safe-context/slurm-20723155.out,terminal_val_confirmed
20684991,on,1239739722,unaware,9,20,9,0,not_applicable,11:22:48,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684991_horizon-drone-on-1239739722-unaware.txt,/home/hersco/bershco-nu-asnets/numeric-asnets-safe-context/slurm-20723091.out,terminal_val_confirmed
20684992,on,1239739722,aware,6,20,6,0,0,08:51:28,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684992_horizon-drone-on-1239739722-aware.txt,/home/hersco/bershco-nu-asnets/numeric-asnets-safe-context/slurm-20746512.out,terminal_val_confirmed
20684993,on,1472491096,unaware,11,20,11,0,not_applicable,12:13:46,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684993_horizon-drone-on-1472491096-unaware.txt,/home/hersco/bershco-nu-asnets/numeric-asnets-safe-context/slurm-20726064.out,terminal_val_confirmed
