job_id,value_head,seed,horizon_score,baseline_job_id,baseline_score,paired_change,horizon_cutoffs,val_valid,val_invalid,evaluation_log,validation_log,status
20652251,off,1963100312,10,20451722,10,0,0,10,0,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652251_horizon-drone-off-1963100312.txt,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/posthoc_val_20652251.log,terminal_val_confirmed
20652252,off,2011206605,7,20430057,7,0,0,7,0,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652252_horizon-drone-off-2011206605.txt,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/posthoc_val_20652252.log,terminal_val_confirmed
20652253,off,1073581256,6,20451723,6,0,0,6,0,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652253_horizon-drone-off-1073581256.txt,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/posthoc_val_20652253.log,terminal_val_confirmed
20652254,off,1239739722,8,20430058,8,0,0,8,0,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652254_horizon-drone-off-1239739722.txt,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/posthoc_val_20652254.log,terminal_val_confirmed
20652255,off,1472491096,11,20451724,11,0,0,11,0,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652255_horizon-drone-off-1472491096.txt,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/posthoc_val_20652255.log,terminal_val_confirmed
20652256,on,1963100312,4,20430050,3,1,0,4,0,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652256_horizon-drone-on-1963100312.txt,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/posthoc_val_20652256.log,terminal_val_confirmed
20652257,on,2011206605,10,20430051,8,2,0,10,0,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652257_horizon-drone-on-2011206605.txt,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/posthoc_val_20652257.log,terminal_val_confirmed
20652258,on,1073581256,16,20431945,16,0,0,16,0,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652258_horizon-drone-on-1073581256.txt,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/posthoc_val_20652258.log,terminal_val_confirmed
20652259,on,1239739722,6,20430052,6,0,0,6,0,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652259_horizon-drone-on-1239739722.txt,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/posthoc_val_20652259.log,terminal_val_confirmed
20652260,on,1472491096,11,20430053,11,0,0,11,0,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652260_horizon-drone-on-1472491096.txt,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/posthoc_val_20652260.log,terminal_val_confirmed
