job_id,experiment_id,stage,value_head,seed,arm,source_log,source_ledgers
20430050,MAIN-VAL,stage1,on,1963100312,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430050_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401197_e0001.txt,experiment_results.csv
20430051,MAIN-VAL,stage1,on,2011206605,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430051_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401198_e0019.txt,experiment_results.csv
20430052,MAIN-VAL,stage1,on,1239739722,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430052_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401200_e0023.txt,experiment_results.csv
20430053,MAIN-VAL,stage1,on,1472491096,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt,experiment_results.csv
20430054,MAIN-VAL,stage1,on,2082152039,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430054_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20401203_e0026.txt,experiment_results.csv
20430055,MAIN-VAL,stage1,on,1510771779,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430055_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20401204_e0014.txt,experiment_results.csv
20430056,MAIN-VAL,stage1,on,1972442430,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430056_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20401206_e0021.txt,experiment_results.csv
20430057,MAIN-VAL,stage1,off,2011206605,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430057_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401208_e0040.txt,experiment_results.csv
20430058,MAIN-VAL,stage1,off,1239739722,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430058_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401210_e0051.txt,experiment_results.csv
20430059,MAIN-VAL,stage1,off,2082152039,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430059_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401214_e0038.txt,experiment_results.csv
20430060,MAIN-VAL,stage1,off,1510771779,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430060_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401215_e0016.txt,experiment_results.csv
20430061,MAIN-VAL,stage1,off,923500475,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430061_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401216_e0001.txt,experiment_results.csv
20431945,MAIN-VAL,stage1,on,1073581256,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt,experiment_results.csv
20451720,MAIN-VAL,stage1,on,534933607,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt,experiment_results.csv
